uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"a4d0f9a0-85c6-4004-9803-3841ca8404c9",27568,"Payload delivery","filename","xd.arm5","",0,1667505037,"","","","",""
"7f9c5d64-4124-49cc-904c-94e3b2d87a35",27568,"Payload delivery","md5","45dcef317e35890f49fb921974409e88","",1,1667505037,"","","","",""
"13d58326-0919-41fe-8640-08f1a14ddbea",27568,"Payload delivery","sha1","dc068c28ea800449c50d815b3bd6f1caaac36705","",1,1667505037,"","","","",""
"266a77c5-8d1c-45dd-a552-9f899710faad",27568,"Payload delivery","sha256","999898bd9868632ac2f69aa5db74f3d1819016e3fa61a26834d08447b6454545","",1,1667505037,"","","","",""
"d22fef37-e0b7-4db2-8c19-b888e27fb674",27568,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, no section header","",0,1667505037,"","","","",""
"6ec9febc-ce30-44cd-a0b7-e5d5c39077dd",27568,"Network activity","url","http://34.125.56.27/d/xd.arm5","",1,1667505037,"","","","",""
"de49cf05-6e14-4995-8d57-37d3f47c85d0",27568,"Network activity","ip-dst","34.125.56.27","",1,1667505037,"","","","",""
"dd79694d-e6cc-4fdd-920c-abc49fc4a876",27568,"External analysis","link","https://www.virustotal.com/gui/file/999898bd9868632ac2f69aa5db74f3d1819016e3fa61a26834d08447b6454545/detection","",0,1667505038,"permalink","","04d821b9-821a-49d7-9140-ee0d29593af7","virustotal-report","misc"
"ead24be7-268f-46ea-b52d-233a6cc10295",27568,"Other","datetime","2022-11-03T17:00:21.000000+0000","",0,1667505038,"last-submission","","04d821b9-821a-49d7-9140-ee0d29593af7","virustotal-report","misc"
"ad3a53ce-da69-4c8a-baeb-e0dab1bfcf44",27568,"Other","text","15/62","",0,1667505038,"detection-ratio","","04d821b9-821a-49d7-9140-ee0d29593af7","virustotal-report","misc"

