uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"9f107b19-8083-4520-b398-f1848688f2c8",24768,"Payload delivery","filename","29cddst.exe","",0,1596664073,"","","","",""
"b50b7ebb-30c2-4c85-acc4-64f00e5e9858",24768,"Payload delivery","md5","05bf4573b386dfd2a08b1162d6f001d6","",1,1596664073,"","","","",""
"1aa04ab2-1112-4bad-9a0b-41ccae1cf30b",24768,"Payload delivery","sha1","327300236812b8da49bb616e1d6900086206fd2a","",1,1596664073,"","","","",""
"b2b032b1-e213-4462-81fc-078fa1c3c14f",24768,"Payload delivery","sha256","c8b65f0f5a2382c2f24cc607613750af9c16cd5c1d93e0e95846f70b89353435","",1,1596664073,"","","","",""
"22d3fe00-a289-434f-bae8-133ad394f44a",24768,"Payload delivery","mime-type","PE32 executable (console) Intel 80386, for MS Windows","",0,1596664073,"","","","",""
"f8996bd1-ce74-4ae4-8b10-d4ec369c7493",24768,"Payload delivery","imphash","4a8c5544cd24df05aabef0164d767361","",0,1596664073,"","","","",""
"abe8f3ee-5a7c-4af1-965d-48cf30800ab6",24768,"Network activity","url","http://kiwizon.com/junkreps/29cddst.exe","",1,1596664073,"","","","",""
"6294d670-1bbe-4681-a8e7-3dade4411a38",24768,"Network activity","domain","kiwizon.com","",1,1596664073,"","","","",""
"32ce1a0a-32cb-47ff-bea5-25c2b646e4b3",24768,"Other","text",".text","",0,1596664074,"name","","8d5d33e9-b64e-41eb-82c7-f7fcb77e1629","pe-section","file"
"5f1bd94a-e1b6-4d11-a09b-2bc07c421149",24768,"Payload delivery","md5","c2737d577f1c4ff4b4bcd18c24538827","",1,1596664074,"md5","","8d5d33e9-b64e-41eb-82c7-f7fcb77e1629","pe-section","file"
"d5ca7ede-0a43-485e-9faa-ad11bd3dc0cd",24768,"Payload delivery","sha1","56df9742b0e301db4619f2b3e423b73bd58fd092","",1,1596664074,"sha1","","8d5d33e9-b64e-41eb-82c7-f7fcb77e1629","pe-section","file"
