uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"13e958bc-7032-4b3b-a84b-aaab515ab457",5200,"Payload delivery","filename","emptyfilename.tmp","",0,1642783756,"","","","",""
"10c752d7-73e2-48ed-8ada-783378392e10",5200,"Payload delivery","md5","43ca860f706a2f6331a39b586d973644","",1,1642783756,"","","","",""
"52e2425f-475d-41e0-bc92-8d56b1fa5619",5200,"Payload delivery","sha1","170e8caa2745516555717635d641705885f3de43","",1,1642783756,"","","","",""
"9c02d32d-de89-40a4-b8da-aed01d8fc716",5200,"Payload delivery","sha256","a8e89778eb837fbf847509c361e45b75fd859ac948b0fb2a505d37691e3a18a7","",1,1642783756,"","","","",""
"aa25aa30-3a53-4feb-ab3f-1af03ab21ade",5200,"Payload delivery","mime-type","PE32 executable (DLL) (GUI) Intel 80386, for MS Windows","",0,1642783756,"","","","",""
"bed56bdf-8d2a-4cfa-9302-5f577c191530",5200,"Payload delivery","imphash","24b46ffcf60dc8d39e8124f411ebd08e","",0,1642783756,"","","","",""
"ffb5d72b-7478-4260-9230-4dc7ea7b3da7",5200,"Network activity","url","http://clearph.flywheelsites.com/Fox-C/keCDee8C2D9GGNyQ/","",1,1642783756,"","","","",""
"50875c52-832f-4d20-ab6c-157d0ee57771",5200,"Network activity","domain","clearph.flywheelsites.com","",1,1642783756,"","","","",""
"812c7151-ade9-495f-b8e0-637243a7a298",5200,"Other","text",".text","",0,1642783759,"name","","0b9ca144-cf47-4ea6-8b0e-bfedcaaa691b","pe-section","file"
"d5c403d9-f478-4a4e-b676-35e741ea0796",5200,"Payload delivery","md5","e7cf3ea0d7b1a2a195c2da34dd9161cf","",1,1642783759,"md5","","0b9ca144-cf47-4ea6-8b0e-bfedcaaa691b","pe-section","file"
"cab31422-1517-4627-a1ad-d090b0d46052",5200,"Payload delivery","sha1","dbaac9aa094cd150390504f44b0f5efa08ea3097","",1,1642783759,"sha1","","0b9ca144-cf47-4ea6-8b0e-bfedcaaa691b","pe-section","file"
"bdf9d644-7cc6-49b2-9c12-c7031655a4f3",5200,"Payload delivery","sha256","c5150a9c9fb3dc0c21da11b8935237b24a9fd90211311a80d17dd628e1836124","",1,1642783759,"sha256","","0b9ca144-cf47-4ea6-8b0e-bfedcaaa691b","pe-section","file"
"f9a4a641-1e2f-420a-b2df-5037bda50e7a",5200,"Other","size-in-bytes",299008,"",0,1642783759,"size-in-bytes","","0b9ca144-cf47-4ea6-8b0e-bfedcaaa691b","pe-section","file"
"15dc6258-ef7d-40e6-af0a-938b7c6d5b91",5200,"Other","float",6.63105,"",0,1642783759,"entropy","","0b9ca144-cf47-4ea6-8b0e-bfedcaaa691b","pe-section","file"
"16d61ed6-cbc7-44c9-92f5-c77b8ca3f545",5200,"Other","text",".rdata","",0,1642783761,"name","","b97cc63d-bc5b-4335-8a5e-0d3a51b5613f","pe-section","file"
"2ff8bba7-3454-4f36-9ff0-835c78a080ad",5200,"Payload delivery","md5","3354603a435afd837d7bb4fad1cf61f1","",1,1642783761,"md5","","b97cc63d-bc5b-4335-8a5e-0d3a51b5613f","pe-section","file"
"0e1060c3-401a-4b65-b8b7-cae31843a709",5200,"Payload delivery","sha1","35421ab011e2274ab053cdfa9f95e2ff512e75cd","",1,1642783761,"sha1","","b97cc63d-bc5b-4335-8a5e-0d3a51b5613f","pe-section","file"
"c04c04a6-b760-416b-b49c-e30ab39964f1",5200,"Payload delivery","sha256","36b31c030bc39d151e18b0e622cea46de25c7ee2f617d7516862ccfdff4da2a0","",1,1642783761,"sha256","","b97cc63d-bc5b-4335-8a5e-0d3a51b5613f","pe-section","file"
"425ca3e2-e0a4-458f-a839-68c71a674887",5200,"Other","size-in-bytes",77824,"",0,1642783761,"size-in-bytes","","b97cc63d-bc5b-4335-8a5e-0d3a51b5613f","pe-section","file"
"3ca3b51f-dd36-4525-8b2c-919f7a4c1f4a",5200,"Other","float",4.89057,"",0,1642783761,"entropy","","b97cc63d-bc5b-4335-8a5e-0d3a51b5613f","pe-section","file"
"e2a838b9-851a-49d8-b303-b4040eff8f33",5200,"Other","text",".data","",0,1642783764,"name","","82c22319-8d23-4c41-a34f-121b04436acf","pe-section","file"
"5ea8c950-a44c-4709-bc2e-aeb8076413f9",5200,"Payload delivery","md5","71128e9fefccaecbc90b852284fb1d83","",1,1642783764,"md5","","82c22319-8d23-4c41-a34f-121b04436acf","pe-section","file"
"6b0121c8-522d-45f9-9766-d099880d4296",5200,"Payload delivery","sha1","3501a5d89e612ee68596612ea0795d1d8345583d","",1,1642783764,"sha1","","82c22319-8d23-4c41-a34f-121b04436acf","pe-section","file"
"60301197-6221-4a8b-8e05-5cf70f7c1d2e",5200,"Payload delivery","sha256","eaaeb54f23152d82d4ef7ee53964ec44a6fde99c278d089f13fbc3cf92f2b01c","",1,1642783764,"sha256","","82c22319-8d23-4c41-a34f-121b04436acf","pe-section","file"
"3542cde1-2c92-4005-8f3c-d16ad05ebeb3",5200,"Other","size-in-bytes",155648,"",0,1642783764,"size-in-bytes","","82c22319-8d23-4c41-a34f-121b04436acf","pe-section","file"
"97b28688-f638-442c-a191-feec2e09d7ef",5200,"Other","float",7.85872,"",0,1642783764,"entropy","","82c22319-8d23-4c41-a34f-121b04436acf","pe-section","file"
"2eb874d9-aa76-47ef-b984-59ae650c457a",5200,"Other","text",".rsrc","",0,1642783766,"name","","fdc5ce03-5246-4d75-9588-60fb63c39953","pe-section","file"
"b5da3d63-23b0-4ca8-bfdd-62d28abeba61",5200,"Payload delivery","md5","0422ba07a0c14de2fea7b6d0631e5d39","",1,1642783766,"md5","","fdc5ce03-5246-4d75-9588-60fb63c39953","pe-section","file"
"4d3495e4-bce4-45e3-9665-4f136b624fb4",5200,"Payload delivery","sha1","53d278a7e616c849f0330ad70cb1059eb8476df4","",1,1642783766,"sha1","","fdc5ce03-5246-4d75-9588-60fb63c39953","pe-section","file"
"03531f8a-1fc9-4f4e-b902-21dce9da1ce7",5200,"Payload delivery","sha256","5c536a8d1b764d273bab4c8c1e492cd2bd880850c763ec596297b74427e43231","",1,1642783766,"sha256","","fdc5ce03-5246-4d75-9588-60fb63c39953","pe-section","file"
"9f3cb8e5-8914-4d5f-841c-25e0c986b4ff",5200,"Other","size-in-bytes",49152,"",0,1642783766,"size-in-bytes","","fdc5ce03-5246-4d75-9588-60fb63c39953","pe-section","file"
"72311002-0a5d-4556-a9da-dacb79e4304b",5200,"Other","float",5.35096,"",0,1642783766,"entropy","","fdc5ce03-5246-4d75-9588-60fb63c39953","pe-section","file"
"2425240d-59f8-49e2-8c6d-4b430733fe68",5200,"Other","text",".reloc","",0,1642783768,"name","","e49f89b0-a63b-4d58-9a29-d52023b1c84c","pe-section","file"
"2ba90c02-5642-45f4-a172-07f992c44d76",5200,"Payload delivery","md5","58182d5ccbcd0a5128d7f5be657fc5e4","",1,1642783768,"md5","","e49f89b0-a63b-4d58-9a29-d52023b1c84c","pe-section","file"
"91f9b4f1-35c3-460e-9b08-7542ce102ad9",5200,"Payload delivery","sha1","12123c9c0e027d7b2f4be2beb22ed95811d201e2","",1,1642783768,"sha1","","e49f89b0-a63b-4d58-9a29-d52023b1c84c","pe-section","file"
"f72da403-4fe6-4a9a-8e96-269a40347d06",5200,"Payload delivery","sha256","4d95a742fc062395240caad7117ab3880b79f7e1b35c7705af3f1f2033d49ea5","",1,1642783768,"sha256","","e49f89b0-a63b-4d58-9a29-d52023b1c84c","pe-section","file"
"70bc53c1-ba00-42b5-99ef-89cc13d8c3f6",5200,"Other","size-in-bytes",40960,"",0,1642783768,"size-in-bytes","","e49f89b0-a63b-4d58-9a29-d52023b1c84c","pe-section","file"
"5e786a8a-7a92-45f4-9381-7bb28edd96d5",5200,"Other","float",4.50371,"",0,1642783768,"entropy","","e49f89b0-a63b-4d58-9a29-d52023b1c84c","pe-section","file"
"e711247d-2075-4490-89a2-f5cb8da0030a",5200,"External analysis","link","https://www.virustotal.com/gui/file/a8e89778eb837fbf847509c361e45b75fd859ac948b0fb2a505d37691e3a18a7/detection","",0,1642783770,"permalink","","c44226e9-47c3-4656-b2e9-bda468579c9d","virustotal-report","misc"
"5fdd01d6-13c6-4a7c-91be-911a2bbfbc87",5200,"Other","datetime","2022-01-21T15:27:47.000000+0000","",0,1642783770,"last-submission","","c44226e9-47c3-4656-b2e9-bda468579c9d","virustotal-report","misc"
"70dd4975-60b1-419e-8f23-6d8878143615",5200,"Other","text","7/62","",0,1642783770,"detection-ratio","","c44226e9-47c3-4656-b2e9-bda468579c9d","virustotal-report","misc"

