uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"d8893649-f859-4a39-8e8a-91ad80d89c4c",14491,"Payload delivery","filename","tuc5.exe","",0,1702656922,"","","","",""
"f9706fdf-e79c-4afa-8008-15cb498f74c8",14491,"Payload delivery","md5","2f134b7f6b2cca638201aa0bf6f53b04","",1,1702656922,"","","","",""
"765a3dfd-3187-42e8-87b9-e6d4be4ad1a9",14491,"Payload delivery","sha1","478279941507b51224d01fe77bd191324af85ef0","",1,1702656922,"","","","",""
"f1aace0c-b38a-4e96-b6fb-7a5e260300a8",14491,"Payload delivery","sha256","022e327810b915dd4d585b6db8aa7a505a7d1180fff938cb2db6a9bc13273f02","",1,1702656922,"","","","",""
"d4c921c1-9c52-4c3e-b4c6-33615a44d6f3",14491,"Payload delivery","mime-type","application/x-dosexec","",0,1702656922,"","","","",""
"1ef093d5-5483-4007-b4d2-adf8a363fabe",14491,"Payload delivery","imphash","884310b1928934402ea6fec1dbd3cf5e","",0,1702656922,"","","","",""
"31876fab-0ce2-4a1b-80c1-8730668f23ec",14491,"Network activity","url","https://stoon.hitsturbo.com/order/tuc5.exe","",1,1702656922,"","","","",""
"b41d4d6d-8615-447d-94a6-4f70dc9bdcfd",14491,"Network activity","domain","stoon.hitsturbo.com","",1,1702656922,"","","","",""
"fea9a0cc-95f8-4d8e-b0b9-7d34d81714cb",14491,"Other","text","CODE","",0,1702656922,"name","","dd4b2eb9-8514-442a-9ba2-e62553618140","pe-section","file"
"93974347-4a3f-4af4-8938-415e74eabd2f",14491,"Payload delivery","md5","0d7ac17dafcd52a9b3ea353c32256c1d","",1,1702656922,"md5","","dd4b2eb9-8514-442a-9ba2-e62553618140","pe-section","file"
"339ba7d0-0082-472b-bbc1-5b5a689d0f6e",14491,"Payload delivery","sha1","110175bfa6f09a21b5d185101b44af9027df5f69","",1,1702656922,"sha1","","dd4b2eb9-8514-442a-9ba2-e62553618140","pe-section","file"
"5367af14-406b-498d-b6b0-39ea0d526612",14491,"Payload delivery","sha256","ff523a52cbb5921c66593bd77e964b697cc2d5295030ddba0fbe7c0c964f5f0e","",1,1702656922,"sha256","","dd4b2eb9-8514-442a-9ba2-e62553618140","pe-section","file"
"17849c3d-4c18-4892-83e5-956d60ee160b",14491,"Other","size-in-bytes",37888,"",0,1702656922,"size-in-bytes","","dd4b2eb9-8514-442a-9ba2-e62553618140","pe-section","file"
"970e1e62-9f62-4bf9-9035-bfb6435a061b",14491,"Other","float",6.56223,"",0,1702656922,"entropy","","dd4b2eb9-8514-442a-9ba2-e62553618140","pe-section","file"
"45ebee7d-08bc-4be7-ada7-0534e8a25f6e",14491,"Other","text","DATA","",0,1702656923,"name","","65b54476-2221-4daf-8e0d-8b2f7e2706f9","pe-section","file"
"dd4d3524-c6c8-45b6-83bd-9bbf7f06170b",14491,"Payload delivery","md5","45829356498700390b8c7afa10ea05a4","",1,1702656923,"md5","","65b54476-2221-4daf-8e0d-8b2f7e2706f9","pe-section","file"
"2482eb46-40f8-4f98-8a56-02eae08bd553",14491,"Payload delivery","sha1","ea8bb94e37278a5b03d3b635d3abb7c85a78b28c","",1,1702656923,"sha1","","65b54476-2221-4daf-8e0d-8b2f7e2706f9","pe-section","file"
