uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"06fd23bf-ebe9-4746-8665-5f83de2161d9",18066,"Payload delivery","filename","KFS.i686","",0,1655759103,"","","","",""
"ca34a740-5f52-42e9-87bb-0bd0bcad5997",18066,"Payload delivery","md5","9d1ef43ce808c63a9e5bf6af0a640300","",1,1655759103,"","","","",""
"ede0175d-6ecf-419d-9a87-274cbf2d4b43",18066,"Payload delivery","sha1","cd7c37aa56505bfbcfb7f7577a0b08832a1e7a2f","",1,1655759103,"","","","",""
"25b8c89a-3b28-47ac-853d-ea494160cc3b",18066,"Payload delivery","sha256","6359be61f8b86a3b42120595f5f4f98c88a6c96d30a8ab2d1739e687a5c8ac65","",1,1655759103,"","","","",""
"0e4343b1-217f-48ab-9c81-8012c4335aba",18066,"Payload delivery","mime-type","ELF 32-bit LSB executable, Intel 80386, version 1 (GNU/Linux), statically linked, no section header","",0,1655759103,"","","","",""
"0c1e0d6d-803e-4e95-9327-477eedafc398",18066,"Network activity","url","http://172.245.210.119/.rIIo5x93/KFS.i686","",1,1655759103,"","","","",""
"635e41a0-6706-46c6-87de-d439facbde13",18066,"Network activity","ip-dst","172.245.210.119","",1,1655759103,"","","","",""
"d8b07dfb-6369-442f-9b86-dc2c7fb9d0d3",18066,"External analysis","link","https://www.virustotal.com/gui/file/6359be61f8b86a3b42120595f5f4f98c88a6c96d30a8ab2d1739e687a5c8ac65/detection","",0,1655759103,"permalink","","89199eef-0074-4010-8677-d29cd4450b1f","virustotal-report","misc"
"4a4cfde3-29e0-4a06-9eee-f31a68282b85",18066,"Other","datetime","2022-06-20T16:53:33.000000+0000","",0,1655759103,"last-submission","","89199eef-0074-4010-8677-d29cd4450b1f","virustotal-report","misc"
"288e7643-d4f4-4491-9dcf-512f494b0004",18066,"Other","text","20/59","",0,1655759103,"detection-ratio","","89199eef-0074-4010-8677-d29cd4450b1f","virustotal-report","misc"

