uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f1b7a15-2e3f-4e17-9e5b-66b5673f9846",17388,"Payload delivery","filename","emptyfilename.tmp","",0,1655076065,"","","","",""
"78874c89-d290-4c99-8692-6885440ab586",17388,"Payload delivery","md5","cd015a8574d509aa0166bf17044aee82","",1,1655076065,"","","","",""
"ecf09441-0587-4a61-8872-56469a4cb937",17388,"Payload delivery","sha1","c046e1730d8578bb2f82eca422bc62b1d46e2894","",1,1655076065,"","","","",""
"65553d34-7f25-49d9-9d5a-97b49a3c676c",17388,"Payload delivery","sha256","2d93073d3771bae9b6cf8427e2f34135dc03977ff6d78a131dcc640a8431243a","",1,1655076065,"","","","",""
"c950dcea-180a-4db3-b017-c47724128e96",17388,"Payload delivery","mime-type","PE32+ executable (DLL) (GUI) x86-64, for MS Windows","",0,1655076065,"","","","",""
"e6d21ae0-3b29-4b48-a6e5-4104c48d426c",17388,"Payload delivery","imphash","c8ac210c5f02761cdd749a050403b70e","",0,1655076065,"","","","",""
"b7dd3189-ba7e-4835-b48d-1489a6da4b1c",17388,"Network activity","url","http://136.243.217.250/application/OP4L7MV21hbub4/","",1,1655076065,"","","","",""
"f3b3b26d-a66e-4cf8-8092-5f2e8f3e10c5",17388,"Network activity","ip-dst","136.243.217.250","",1,1655076065,"","","","",""
"447ae1d2-3b70-4865-8c96-1a4336b6a38a",17388,"Other","text",".text","",0,1655076065,"name","","cca2623a-ecc8-4ebd-9e24-d1e7dd144f15","pe-section","file"
"b46c657a-9afd-4fa0-b012-9578b5dff320",17388,"Payload delivery","md5","35e1ed56508bafa7fe80c995f3b12159","",1,1655076065,"md5","","cca2623a-ecc8-4ebd-9e24-d1e7dd144f15","pe-section","file"
"601ca5e2-0a02-4e30-b086-d1c612c5ec0d",17388,"Payload delivery","sha1","e0d0bef14f116ed6889727378f04da0a0c0b2ddc","",1,1655076065,"sha1","","cca2623a-ecc8-4ebd-9e24-d1e7dd144f15","pe-section","file"
"26dc50ce-af00-4c7d-8832-d353d327967e",17388,"Payload delivery","sha256","cfdccb879c394a356381926d4a59b4e3a0413e1208a84ff07c117ac773d7e6e4","",1,1655076065,"sha256","","cca2623a-ecc8-4ebd-9e24-d1e7dd144f15","pe-section","file"
"a91e0cf4-452e-47ad-b4ff-627281227ace",17388,"Other","size-in-bytes",57856,"",0,1655076065,"size-in-bytes","","cca2623a-ecc8-4ebd-9e24-d1e7dd144f15","pe-section","file"
"7e6695fa-8d82-463b-9f6d-fa0e4ff445f4",17388,"Other","float",6.46401,"",0,1655076065,"entropy","","cca2623a-ecc8-4ebd-9e24-d1e7dd144f15","pe-section","file"
"96f62c3c-407b-48cc-8d1a-13173bf48039",17388,"Other","text",".rdata","",0,1655076065,"name","","0efc45da-76e6-446b-b319-db7e967d4cb8","pe-section","file"
"1d5ae085-da5d-4de6-affa-9527840b8375",17388,"Payload delivery","md5","43367edb8f5dbae256f779a8e2602b0a","",1,1655076065,"md5","","0efc45da-76e6-446b-b319-db7e967d4cb8","pe-section","file"
"cd45ac2c-9856-4a7c-b9c5-aa838acbc07b",17388,"Payload delivery","sha1","7dd20d1aad74fdd21b8060675e917596b103ebd4","",1,1655076065,"sha1","","0efc45da-76e6-446b-b319-db7e967d4cb8","pe-section","file"
"250d668f-5678-48c5-b803-a4934d0f8c95",17388,"Payload delivery","sha256","0e13977b7c3f9a12a55f266eb2eba2a9494138604860eb2adb5986545dd98580","",1,1655076065,"sha256","","0efc45da-76e6-446b-b319-db7e967d4cb8","pe-section","file"
"e119c3e8-659d-4869-a446-c8e0a30a3f88",17388,"Other","size-in-bytes",17920,"",0,1655076065,"size-in-bytes","","0efc45da-76e6-446b-b319-db7e967d4cb8","pe-section","file"
"8bf57167-51ed-4f21-aa0d-a4c285e2a3de",17388,"Other","float",4.74228,"",0,1655076065,"entropy","","0efc45da-76e6-446b-b319-db7e967d4cb8","pe-section","file"
"79ddc0d6-40f8-4e72-a257-ee9a5468dd72",17388,"Other","text",".data","",0,1655076065,"name","","cd6dffb7-4580-42a2-997a-f53eb4232996","pe-section","file"
"e5fda4ee-5e78-4e9c-bc62-dc8f18f11356",17388,"Payload delivery","md5","8ff56ec8830573a68c9848170082c3e0","",1,1655076065,"md5","","cd6dffb7-4580-42a2-997a-f53eb4232996","pe-section","file"
"743e3017-70a1-4742-9887-fc0292abe050",17388,"Payload delivery","sha1","dd8372a906aaeb856f3b0166a1b595fd8a629f9a","",1,1655076065,"sha1","","cd6dffb7-4580-42a2-997a-f53eb4232996","pe-section","file"
"05edee82-62d4-4aeb-94b7-817875cc37d8",17388,"Payload delivery","sha256","b75dbae109dc47edd5187bfd61531a5ba572f0b541ce9bc7430af14dcbfc7a2c","",1,1655076065,"sha256","","cd6dffb7-4580-42a2-997a-f53eb4232996","pe-section","file"
"8087e9f2-00bc-4b69-9b20-df1c81d4a7b4",17388,"Other","size-in-bytes",5120,"",0,1655076065,"size-in-bytes","","cd6dffb7-4580-42a2-997a-f53eb4232996","pe-section","file"
"15d88434-a874-41bb-be90-25c29c49aa84",17388,"Other","float",2.09046,"",0,1655076065,"entropy","","cd6dffb7-4580-42a2-997a-f53eb4232996","pe-section","file"
"c73f3363-e01a-43fe-954f-b3532292e0fa",17388,"Other","text",".pdata","",0,1655076066,"name","","110c373a-1662-4cc5-a488-3fc984c5d758","pe-section","file"
"be80caf8-9d8f-40ad-b425-05be64dd5be5",17388,"Payload delivery","md5","bb227c4699b1164ede9893e3e7388fe7","",1,1655076066,"md5","","110c373a-1662-4cc5-a488-3fc984c5d758","pe-section","file"
"6c5e8cb9-74d5-4a31-8394-3fce4c3fccb3",17388,"Payload delivery","sha1","87af85e3e6e4b6605b68370d16c3ce02064ec65c","",1,1655076066,"sha1","","110c373a-1662-4cc5-a488-3fc984c5d758","pe-section","file"
"fdfd8506-e42f-4755-a6ab-98f1327f364a",17388,"Payload delivery","sha256","8e27d0920c1a861a12900e91d34947dcf97012e04c8d2ebebd127fd637093adf","",1,1655076066,"sha256","","110c373a-1662-4cc5-a488-3fc984c5d758","pe-section","file"
"60f8b79a-4365-413e-b7c5-73509edc5254",17388,"Other","size-in-bytes",3072,"",0,1655076066,"size-in-bytes","","110c373a-1662-4cc5-a488-3fc984c5d758","pe-section","file"
"257557d8-d490-441d-ae70-da953e449676",17388,"Other","float",4.77711,"",0,1655076066,"entropy","","110c373a-1662-4cc5-a488-3fc984c5d758","pe-section","file"
"fbd3637b-1e2a-48b6-8d41-40aa538ef0c0",17388,"Other","text",".rsrc","",0,1655076066,"name","","444f2bf5-7bb5-4be5-9390-bdcb2d3463ac","pe-section","file"
"816084ff-8e6f-4223-95c4-6f49c78930e6",17388,"Payload delivery","md5","f8cf765c82b762179766e1355745db4f","",1,1655076066,"md5","","444f2bf5-7bb5-4be5-9390-bdcb2d3463ac","pe-section","file"
"bc5c4b10-80a2-4b92-87e8-7d99d7b6aca9",17388,"Payload delivery","sha1","3f7a0f877f40296c1cb5a70b1c8020dbfbe93905","",1,1655076066,"sha1","","444f2bf5-7bb5-4be5-9390-bdcb2d3463ac","pe-section","file"
"3606e23b-2a24-4907-865b-71220809ebbd",17388,"Payload delivery","sha256","d3d4795c7de290e58530a27a74fcf7a6a4712c62c72379b6273384b8ab7430be","",1,1655076066,"sha256","","444f2bf5-7bb5-4be5-9390-bdcb2d3463ac","pe-section","file"
"2cdd609b-45aa-4c2b-ba4f-3d11a2b891f0",17388,"Other","size-in-bytes",366080,"",0,1655076066,"size-in-bytes","","444f2bf5-7bb5-4be5-9390-bdcb2d3463ac","pe-section","file"
"5214f99c-c06d-4764-95f6-8f6403b129fd",17388,"Other","float",6.16291,"",0,1655076066,"entropy","","444f2bf5-7bb5-4be5-9390-bdcb2d3463ac","pe-section","file"
"a7dfd3be-155c-4339-88b1-fa67ec40f0fc",17388,"Other","text",".reloc","",0,1655076066,"name","","33111452-8cec-4e50-b541-cfbccec4faff","pe-section","file"
"925034f5-aa79-4ba9-a1e8-dafafed5deaa",17388,"Payload delivery","md5","e987315fc6836b51db4092eb193be5fe","",1,1655076066,"md5","","33111452-8cec-4e50-b541-cfbccec4faff","pe-section","file"
"f763c4a9-3605-4d71-b492-3b62fbb93463",17388,"Payload delivery","sha1","5968ac745339d2891340a5a4ed7273e3d4eee6ea","",1,1655076066,"sha1","","33111452-8cec-4e50-b541-cfbccec4faff","pe-section","file"
