uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"2a83b7c5-ee57-4113-b4fd-f55ecf57f445",38655,"Payload delivery","filename","boatnet.arm5","",0,1682267224,"","","","",""
"22ee35f9-63ce-4c48-97bb-89391642f913",38655,"Payload delivery","md5","b86c4a382f2615be8a87db2e44838d72","",1,1682267224,"","","","",""
"208bf303-ffff-4bc1-8ca5-3909cf66b93b",38655,"Payload delivery","sha1","b30439c4135dc3a59fbc5a59cc4add8d433e7438","",1,1682267224,"","","","",""
"311a6e46-60d3-4b63-9cf7-2bf01547949a",38655,"Payload delivery","sha256","051ee232558460348856dfe74c82f64329157f919efbe37066c63404ff9dc383","",1,1682267224,"","","","",""
"2c883f56-15e8-4941-be91-49fd3f4317d1",38655,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped","",0,1682267224,"","","","",""
"b8b78bc5-3d64-4466-8055-af42d4997ff6",38655,"Network activity","url","http://45.92.126.10/hiddenbin/boatnet.arm5","",1,1682267224,"","","","",""
"dffdebda-7ffd-400f-9293-5b9fc76fa335",38655,"Network activity","ip-dst","45.92.126.10","",1,1682267224,"","","","",""
"08dda7c9-7ebe-40b1-ac64-118a8866c400",38655,"External analysis","link","https://www.virustotal.com/gui/file/051ee232558460348856dfe74c82f64329157f919efbe37066c63404ff9dc383/detection","",0,1682267224,"permalink","","9fb74527-ea1d-462a-85c5-258e78b20f9f","virustotal-report","misc"
"18792784-1ca6-4f13-8e41-dd4a06519e33",38655,"Other","datetime","2023-04-23T15:02:13.000000+0000","",0,1682267224,"last-submission","","9fb74527-ea1d-462a-85c5-258e78b20f9f","virustotal-report","misc"
"0e6e48f3-d088-43d2-af2a-e135a4e6b5e0",38655,"Other","text","40/61","",0,1682267224,"detection-ratio","","9fb74527-ea1d-462a-85c5-258e78b20f9f","virustotal-report","misc"

