uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"1b54f5f1-b491-48f3-9a60-211752ab937c",61613,"Payload delivery","filename","installer.exe","",0,1632672495,"","","","",""
"c80ac5ee-2693-4669-96e0-8a10f43a5a0c",61613,"Payload delivery","md5","ec61d5aac4a89827d48c64ea34a51e56","",1,1632672495,"","","","",""
"c1182cbf-205a-49b9-a4f9-3468a3af21ef",61613,"Payload delivery","sha1","630ef867923a7894ef564ccecd1b43e8a8f6480c","",1,1632672495,"","","","",""
"bfb5566d-db27-4869-8a4c-db68b509cf04",61613,"Payload delivery","sha256","fe7afde2eadd2af2212e29c638ec902d297b1d1f30ea98279cd3a3a65bb47f35","",1,1632672495,"","","","",""
"090fec1f-31b3-46d5-8dde-e54e8fc59044",61613,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1632672495,"","","","",""
"10c483da-d246-4129-b398-fba2f2fc5c3b",61613,"Payload delivery","imphash","3786a4cf8bfee8b4821db03449141df4","",0,1632672495,"","","","",""
"ba3d34c4-a24e-422d-b8c6-754e11c986d2",61613,"Network activity","url","http://134.0.115.76/installer.exe","",1,1632672495,"","","","",""
"864d3bf1-c787-4ba3-a4f6-b52bb6e73806",61613,"Network activity","ip-dst","134.0.115.76","",1,1632672495,"","","","",""
"1a712543-1765-46f1-af42-abc7c2842f16",61613,"Other","text",".text","",0,1632672496,"name","","f5e870d8-4bf9-4610-a05a-47ee46e363d7","pe-section","file"
"b539f424-5579-4a6c-949b-9aae3f9aca43",61613,"Payload delivery","md5","8c9346b8cd91e8d7aa2e1586eb1a1b30","",1,1632672496,"md5","","f5e870d8-4bf9-4610-a05a-47ee46e363d7","pe-section","file"
"a1539d85-1372-4269-9464-57d3e5128363",61613,"Payload delivery","sha1","b89caf4e5d6b26ae7c31f5883bd6f65b800c62ec","",1,1632672496,"sha1","","f5e870d8-4bf9-4610-a05a-47ee46e363d7","pe-section","file"
"5c3b9870-9f6a-4c22-9a23-2e1d64b062e8",61613,"Payload delivery","sha256","99f2799afc0c62e358c674048ff12ff8ff6cfbd043fd7dbfdfa6074a4a4abb26","",1,1632672496,"sha256","","f5e870d8-4bf9-4610-a05a-47ee46e363d7","pe-section","file"
"b0752105-aaf5-4369-9eb9-6de8f0b0869c",61613,"Other","size-in-bytes",104960,"",0,1632672496,"size-in-bytes","","f5e870d8-4bf9-4610-a05a-47ee46e363d7","pe-section","file"
"0791bbe9-4fc0-490b-be58-dbe2347ab117",61613,"Other","float",6.60849,"",0,1632672496,"entropy","","f5e870d8-4bf9-4610-a05a-47ee46e363d7","pe-section","file"
"1405ae01-9881-4577-9705-6e45d7a940e9",61613,"Other","text",".rdata","",0,1632672496,"name","","21a8c473-fd77-44fc-bd86-9181c13b9bcb","pe-section","file"
"413bdba2-27bb-499b-a1b6-e892772cdd20",61613,"Payload delivery","md5","5e256dc61db6deff01801e77de19d038","",1,1632672496,"md5","","21a8c473-fd77-44fc-bd86-9181c13b9bcb","pe-section","file"
