uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"0d78ed4a-bfd0-48e2-b147-927a3eac4c70",4711,"Payload delivery","filename","sora.arm7","",0,1688918223,"","","","",""
"0872fe65-1809-4ca4-918f-9a94eaaa382a",4711,"Payload delivery","md5","028e9920764b80758b3fb3ae90836728","",1,1688918223,"","","","",""
"298bb8d4-14f4-4690-883a-456f7c958534",4711,"Payload delivery","sha1","51dc10fef82da4bf251ace3b079a204c9294a6b6","",1,1688918223,"","","","",""
"6504a0df-6433-47d9-95be-ee066d63ec60",4711,"Payload delivery","sha256","2dc8706826d8dbc523cc5a2afcb9b2744586ff066d004d155b240f03e779c87b","",1,1688918223,"","","","",""
"75415143-c819-4588-9596-0d9be83f5058",4711,"Payload delivery","mime-type","application/x-executable","",0,1688918223,"","","","",""
"c52ddb7a-60a6-4432-9b39-184a02da65d0",4711,"Network activity","url","http://85.208.139.122/bins/sora.arm7","",1,1688918223,"","","","",""
"739bb2c6-5c4e-4924-a94b-b16ec183036e",4711,"Network activity","ip-dst","85.208.139.122","",1,1688918223,"","","","",""
"28e28436-a008-47b4-b7c0-1e54030d0a51",4711,"External analysis","link","https://www.virustotal.com/gui/file/2dc8706826d8dbc523cc5a2afcb9b2744586ff066d004d155b240f03e779c87b/detection","",0,1688918223,"permalink","","bfe667ef-ac9a-425c-aaca-18b94362336c","virustotal-report","misc"
"dbc7f81d-e3f5-4fc8-a318-ecbdf081da29",4711,"Other","datetime","2023-07-08T21:25:34.000000+0000","",0,1688918223,"last-submission","","bfe667ef-ac9a-425c-aaca-18b94362336c","virustotal-report","misc"
"cff3a4eb-8611-443b-bf6c-d52e4a73b8e4",4711,"Other","text","22/61","",0,1688918223,"detection-ratio","","bfe667ef-ac9a-425c-aaca-18b94362336c","virustotal-report","misc"

