uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"dd556535-8613-4a7f-b9cc-518fe29d616d",63896,"Payload delivery","filename","uranium.arm6","",0,1634456299,"","","","",""
"76648cae-282a-40ad-baef-3b25df7ad722",63896,"Payload delivery","md5","36c77a605b782483fd6461fced9b213d","",1,1634456299,"","","","",""
"ecf8bb5f-70be-45b3-a605-2cb078f1fec1",63896,"Payload delivery","sha1","87c193aa22fda9a1c539a5ac0f56a4a360c0e2c0","",1,1634456299,"","","","",""
"859be010-271d-4c65-96b1-8c25ea62df45",63896,"Payload delivery","sha256","ee6c53d94fd1e24caaae0a5c09e6bd6d0baee2728b2f1efe9f72ed9ca02e20f6","",1,1634456299,"","","","",""
"9a866008-a991-4278-aa03-be3407fb2208",63896,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, stripped","",0,1634456299,"","","","",""
"8e1950e7-5fe1-4453-ab8e-c310bbf3b5d7",63896,"Network activity","url","http://172.245.142.20/uranium/uranium.arm6","",1,1634456299,"","","","",""
"3936f816-4b39-45e2-89ce-c90b0751365e",63896,"Network activity","ip-dst","172.245.142.20","",1,1634456299,"","","","",""
"e21dfe5b-f3e0-4b3d-bae0-4fbcfb7711eb",63896,"External analysis","link","https://www.virustotal.com/gui/file/ee6c53d94fd1e24caaae0a5c09e6bd6d0baee2728b2f1efe9f72ed9ca02e20f6/detection","",0,1634456312,"permalink","","048900b5-73f5-4f5a-9742-c616b5b9a6a9","virustotal-report","misc"
"a3cbf646-155b-4e56-ab2f-4ec5e92566cc",63896,"Other","datetime","2021-10-17T06:05:12.000000+0000","",0,1634456315,"last-submission","","048900b5-73f5-4f5a-9742-c616b5b9a6a9","virustotal-report","misc"
"134214a6-4f5a-42a5-8eee-8ce5e5440228",63896,"Other","text","35/60","",0,1634456316,"detection-ratio","","048900b5-73f5-4f5a-9742-c616b5b9a6a9","virustotal-report","misc"

