uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"aa41a4d1-7185-4067-b954-1d4dec71eab6",10981,"Payload delivery","filename","bit.mipsel","",0,1650481323,"","","","",""
"148e4ed9-795c-4ade-a73f-2b547a96ccbb",10981,"Payload delivery","md5","8967089be2d9014a6040382c0e0909ae","",1,1650481323,"","","","",""
"498c3590-0e2a-4f1c-9fc4-28908750d2c3",10981,"Payload delivery","sha1","94668727c67379682ea5495182b4474de76bf1d1","",1,1650481323,"","","","",""
"223b3d22-e2d0-4ff6-be92-8dec0caed3ab",10981,"Payload delivery","sha256","8c948b750fceab46b6c9e59fc050022c3dca17dddec3efebbc27fb9f0b1f56b4","",1,1650481323,"","","","",""
"c2ee304f-6e42-4213-915a-9a6fb721dbb0",10981,"Payload delivery","mime-type","ELF 32-bit LSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, not stripped","",0,1650481323,"","","","",""
"eb66a808-2fd9-4dfc-ab42-096d0413b16e",10981,"Network activity","url","http://62.138.16.13/bit.mipsel","",1,1650481323,"","","","",""
"c6126848-b23b-4a08-b338-15b8c845a153",10981,"Network activity","ip-dst","62.138.16.13","",1,1650481323,"","","","",""
"3b0bc89c-872b-4d01-b874-6467d9c140d2",10981,"External analysis","link","https://www.virustotal.com/gui/file/8c948b750fceab46b6c9e59fc050022c3dca17dddec3efebbc27fb9f0b1f56b4/detection","",0,1650481323,"permalink","","2ef8c66f-dcfd-4b08-8502-54c40b52990f","virustotal-report","misc"
"5639995f-9d12-4259-bfd4-00d0483cae0e",10981,"Other","datetime","2022-03-03T16:28:27.000000+0000","",0,1650481323,"last-submission","","2ef8c66f-dcfd-4b08-8502-54c40b52990f","virustotal-report","misc"
"b49517ed-ac27-4add-8b8d-fa0f05940a6c",10981,"Other","text","35/61","",0,1650481323,"detection-ratio","","2ef8c66f-dcfd-4b08-8502-54c40b52990f","virustotal-report","misc"

