uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"03937f8f-05a8-4311-9ab3-c9acd81a8a78",20454,"Payload delivery","filename","yakuza.x32","",0,1658620924,"","","","",""
"15f8a3fd-8fb8-4724-9262-a17ed9e9e910",20454,"Payload delivery","md5","51e7f2f04c25421181adb2745d690bdf","",1,1658620924,"","","","",""
"81df1544-48e3-4782-a1d7-b5218cbc011b",20454,"Payload delivery","sha1","f6753c2c5b6673501196591679f88be3dca23c97","",1,1658620924,"","","","",""
"645bb5c5-7b18-4bf7-8364-527dec79b001",20454,"Payload delivery","sha256","8892440dc696bc9652687e208eb98c5c57044b5788763b82e2fadca7a6806825","",1,1658620924,"","","","",""
"f203cdef-2066-4d58-ae04-d43251cbf2ec",20454,"Payload delivery","mime-type","ELF 32-bit LSB executable, Intel 80386, version 1 (SYSV), statically linked, not stripped","",0,1658620924,"","","","",""
"a5db32b3-1e83-4c3b-877d-ec87cf7dbe0d",20454,"Network activity","url","http://158.101.165.14/yakuza.x32","",1,1658620924,"","","","",""
"81bfdaf2-82d8-4b87-8bc0-bb54ef5c72b5",20454,"Network activity","ip-dst","158.101.165.14","",1,1658620924,"","","","",""
"d61fec54-ffa3-47db-8fa6-21f3deb235fb",20454,"External analysis","link","https://www.virustotal.com/gui/file/8892440dc696bc9652687e208eb98c5c57044b5788763b82e2fadca7a6806825/detection","",0,1658620924,"permalink","","46a78c87-4fd3-4bc8-8a81-cc773ff91dff","virustotal-report","misc"
"21b62187-466d-4120-9dba-689071f7619c",20454,"Other","datetime","2021-10-26T07:19:58.000000+0000","",0,1658620924,"last-submission","","46a78c87-4fd3-4bc8-8a81-cc773ff91dff","virustotal-report","misc"
"cbe77535-4400-4bcf-88fe-11f9c3aae59a",20454,"Other","text","42/62","",0,1658620924,"detection-ratio","","46a78c87-4fd3-4bc8-8a81-cc773ff91dff","virustotal-report","misc"

