uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"9d6c1804-7fb8-434a-bc32-4eaeabedc311",65676,"Payload delivery","filename","trWnMwkilljews.mkv","",0,1637001848,"","","","",""
"98fbd260-34f1-4405-829a-e196d6ff49cd",65676,"Payload delivery","md5","a4b45b64f05a4a9f253fbb3ff67dd4cb","",1,1637001848,"","","","",""
"2100f901-5320-4a73-81a6-96bb4cdee58a",65676,"Payload delivery","sha1","3adcdbd41ed3e21e21d6eeb2c838bb97ec40c79d","",1,1637001848,"","","","",""
"350d095d-3898-4de2-9b3e-29d07cefc2d4",65676,"Payload delivery","sha256","0f1f8983b1310bb089759c5a39da3b2abadbe09bf68e420859ca01286400a927","",1,1637001848,"","","","",""
"65bfe200-015b-439f-b2ce-c8cb63a9956c",65676,"Payload delivery","mime-type","PE32 executable (DLL) (GUI) Intel 80386, for MS Windows","",0,1637001848,"","","","",""
"88f00546-c8c7-4e86-80a2-0414c195f5d2",65676,"Payload delivery","imphash","ed0ae6bea252d4206293da47dc65c508","",0,1637001848,"","","","",""
"cba326a5-5d64-4032-99b6-c3d628109040",65676,"Network activity","url","https://cdn.discordapp.com/attachments/908712469780889674/909803360788570182/trWnMwkilljews.mkv","",1,1637001848,"","","","",""
"52d05f72-3a39-4407-977f-f02a056703a1",65676,"Network activity","domain","cdn.discordapp.com","",1,1637001848,"","","","",""
"3035cfb1-0f2e-4ce1-a51d-4aa1a96df7c2",65676,"Other","text",".text","",0,1637001848,"name","","5b09cf9e-7fbe-4aac-a4e3-83ef80d8bbe3","pe-section","file"
"b29dd563-a43d-41e9-bde4-d2deb9172644",65676,"Payload delivery","md5","094434aaa533ed5ac64bada026addff8","",1,1637001848,"md5","","5b09cf9e-7fbe-4aac-a4e3-83ef80d8bbe3","pe-section","file"
"dba4562d-8663-4972-bc31-a6695e343bc3",65676,"Payload delivery","sha1","0b0396fca7c252c04c2bbbc1466efa336e844703","",1,1637001848,"sha1","","5b09cf9e-7fbe-4aac-a4e3-83ef80d8bbe3","pe-section","file"
"27db54b1-fe94-4041-a03f-ee962927fa46",65676,"Payload delivery","sha256","5a7490805a4e6e33610528a3ef5a066c73c5a8e56c585acb69580a31ff97033b","",1,1637001848,"sha256","","5b09cf9e-7fbe-4aac-a4e3-83ef80d8bbe3","pe-section","file"
"f17ad6b5-0d2b-4f14-999a-05b2710957a5",65676,"Other","size-in-bytes",28672,"",0,1637001848,"size-in-bytes","","5b09cf9e-7fbe-4aac-a4e3-83ef80d8bbe3","pe-section","file"
"a1864be6-76f2-4503-aecf-28bfb94190e6",65676,"Other","float",4.72555,"",0,1637001848,"entropy","","5b09cf9e-7fbe-4aac-a4e3-83ef80d8bbe3","pe-section","file"
"63de40fd-f938-41e7-bd8e-fcc3d36b88c0",65676,"Other","text",".rdata","",0,1637001849,"name","","87043214-10f7-4dcc-a665-ecd0c07fd3ca","pe-section","file"
"d405d6c2-6320-42cb-843f-e5b378f3fa83",65676,"Payload delivery","md5","2a31a7dfd7d148504404ad8552ce7b77","",1,1637001849,"md5","","87043214-10f7-4dcc-a665-ecd0c07fd3ca","pe-section","file"
"f5260876-fca2-43ad-9d00-307133b89260",65676,"Payload delivery","sha1","140df724db117d04f52b45648603ce873bf5c483","",1,1637001849,"sha1","","87043214-10f7-4dcc-a665-ecd0c07fd3ca","pe-section","file"
"7ebc2c80-459d-440d-ba65-24d875629e14",65676,"Payload delivery","sha256","14d68c910779cc17b657fa58cfe2e7474f58e35e697c07dd2813026a3c818591","",1,1637001849,"sha256","","87043214-10f7-4dcc-a665-ecd0c07fd3ca","pe-section","file"
"013fd5e6-5759-497e-846e-dc372a70014d",65676,"Other","size-in-bytes",675840,"",0,1637001849,"size-in-bytes","","87043214-10f7-4dcc-a665-ecd0c07fd3ca","pe-section","file"
"7e7ec268-4497-4cce-b13c-377a9d51c5cb",65676,"Other","float",7.28099,"",0,1637001849,"entropy","","87043214-10f7-4dcc-a665-ecd0c07fd3ca","pe-section","file"
"17b35493-5e30-4f34-b521-67b76e9c1590",65676,"Other","text",".data","",0,1637001849,"name","","110eabba-b3e3-4d6d-9038-46d74a484bba","pe-section","file"
"161eb9a7-fad3-4ff2-913e-5ad8794bf6ca",65676,"Payload delivery","md5","8be52b9b75bc0322ecfd62e4bcea2eaa","",1,1637001849,"md5","","110eabba-b3e3-4d6d-9038-46d74a484bba","pe-section","file"
"149b2383-7f6f-49ed-921c-7dd62977ad8b",65676,"Payload delivery","sha1","bb93742dd378eac7c11c431fe98a8f1039c4d76a","",1,1637001849,"sha1","","110eabba-b3e3-4d6d-9038-46d74a484bba","pe-section","file"
"7dad8481-996a-4315-95cc-e63814e8de5f",65676,"Payload delivery","sha256","4f5c118bb76700d142e01e55528a33077e84b0a9dde6dd7793a4ec1e4aa783ee","",1,1637001849,"sha256","","110eabba-b3e3-4d6d-9038-46d74a484bba","pe-section","file"
"1faeb05c-4127-4913-8e4d-faa3a758b2c5",65676,"Other","size-in-bytes",36864,"",0,1637001849,"size-in-bytes","","110eabba-b3e3-4d6d-9038-46d74a484bba","pe-section","file"
"3005783b-571e-41b9-88cf-3f25a668428b",65676,"Other","float",6.50374,"",0,1637001849,"entropy","","110eabba-b3e3-4d6d-9038-46d74a484bba","pe-section","file"
"39bf1430-0446-4f30-9002-146ddb4da16a",65676,"Other","text",".rsrc","",0,1637001850,"name","","92bfb3b3-1217-4c26-bb0a-1fb2433787df","pe-section","file"
"548c2757-3948-44cf-9ec1-bfa062d72607",65676,"Payload delivery","md5","cabd709de663cb553f9cb8da3c10be8d","",1,1637001850,"md5","","92bfb3b3-1217-4c26-bb0a-1fb2433787df","pe-section","file"
"15ba4fd4-99dc-46f6-bf34-04eaaee5fa72",65676,"Payload delivery","sha1","b45a4a556cd80c365e44ae220670e412e66e9676","",1,1637001850,"sha1","","92bfb3b3-1217-4c26-bb0a-1fb2433787df","pe-section","file"
"40daefc3-9a42-4663-81ea-b290213aa8e0",65676,"Payload delivery","sha256","fa667b2ce20179bc307da0a44a0e075e75b7038030632581833d8f7c487b2e83","",1,1637001850,"sha256","","92bfb3b3-1217-4c26-bb0a-1fb2433787df","pe-section","file"
"f4583065-efe3-4c23-94e5-8241c0822745",65676,"Other","size-in-bytes",4096,"",0,1637001850,"size-in-bytes","","92bfb3b3-1217-4c26-bb0a-1fb2433787df","pe-section","file"
"9b21b99d-165a-4c45-a993-ef517bc871ca",65676,"Other","float",0.780704,"",0,1637001850,"entropy","","92bfb3b3-1217-4c26-bb0a-1fb2433787df","pe-section","file"
"2123e29b-2423-47b6-8979-77886da843a0",65676,"Other","text",".reloc","",0,1637001850,"name","","c94261cf-c137-4954-9939-979a36cd7895","pe-section","file"
"383df724-d477-4a6b-b831-90110209ac61",65676,"Payload delivery","md5","4fe724e3bb17290d305e1f766ee68e84","",1,1637001850,"md5","","c94261cf-c137-4954-9939-979a36cd7895","pe-section","file"
"f79fb267-ad62-422e-aa9c-25731fc8d99c",65676,"Payload delivery","sha1","914978f7ce6e91b5024285078993f73c8cb0a69b","",1,1637001850,"sha1","","c94261cf-c137-4954-9939-979a36cd7895","pe-section","file"
