uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"07628a8d-8353-4761-ad29-d01ff72595f9",6786,"Payload delivery","filename","c.arm","",0,1719558783,"","","","",""
"81ff6833-1707-4005-bd9b-d5397dd7eeab",6786,"Payload delivery","md5","e26a4e7e395b52dc9a41985e6aeb0e54","",1,1719558783,"","","","",""
"06f59abb-6583-467d-b7f8-b0488ffc3897",6786,"Payload delivery","sha1","285739ea076920c82f6415dc1e7172b272b9160c","",1,1719558783,"","","","",""
"2af79c3c-b56a-496f-97a5-03af6be3352d",6786,"Payload delivery","sha256","8728ee353cc388b25bad8178c41d54e87315191d2e2a21fc78a63f57b3aa6863","",1,1719558783,"","","","",""
"408f3371-d6cb-42fb-9002-17278acc5683",6786,"Payload delivery","mime-type","application/x-executable","",0,1719558783,"","","","",""
"7f6aa557-bb7a-4361-aa2e-397fa4cce1d8",6786,"Network activity","url","http://5.59.248.211/bins/c.arm","",1,1719558783,"","","","",""
"bbddaae9-04d0-4c45-bee2-ae2792bb7878",6786,"Network activity","ip-dst","5.59.248.211","",1,1719558783,"","","","",""
"fa8f629d-da74-43c7-8534-125acc649805",6786,"External analysis","link","https://www.virustotal.com/gui/file/8728ee353cc388b25bad8178c41d54e87315191d2e2a21fc78a63f57b3aa6863/detection","",0,1719558783,"permalink","","2dc49087-40c3-4cff-a6bd-a07e16d16a78","virustotal-report","misc"
"76031696-d65f-4277-8fb5-4d6bc1de3ca6",6786,"Other","datetime","2024-06-28T04:03:58.000000+0000","",0,1719558783,"last-submission","","2dc49087-40c3-4cff-a6bd-a07e16d16a78","virustotal-report","misc"
"75dadc4b-b45c-42ab-9c61-602db84c432a",6786,"Other","text","40/78","",0,1719558783,"detection-ratio","","2dc49087-40c3-4cff-a6bd-a07e16d16a78","virustotal-report","misc"

