uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"1adcbc80-ad35-4475-8d2f-6d3c2552494a",26933,"Payload delivery","filename","Bermudabins.sh","",0,1598271609,"","","","",""
"2b9c8063-cfd1-4993-b1f3-b93957709604",26933,"Payload delivery","md5","e8cb9359a065e331cb41e01729563f84","",1,1598271609,"","","","",""
"1ed67a77-0be0-4250-9862-d20025200a4c",26933,"Payload delivery","sha1","13b3600ced9d11d5ccd08a1bac2a3f43f2c9bc75","",1,1598271610,"","","","",""
"bb8aa688-0dd9-42d8-948c-4f19be6fe624",26933,"Payload delivery","sha256","e26764f748c259ba6a5d3458bf32e99aeb1a4b33071fcd843d52ce8cbff365f2","",1,1598271610,"","","","",""
"6949c359-598e-4a1b-88ef-06bb2dcbdd60",26933,"Payload delivery","mime-type","Bourne-Again shell script, ASCII text executable","",0,1598271610,"","","","",""
"66fbb9b9-df91-4d48-9a05-b8ce81277cbb",26933,"Network activity","url","http://194.87.138.69/Bermudabins.sh","",1,1598271610,"","","","",""
"85b9fb61-132e-4233-b4fe-fafa4fb8ead2",26933,"Network activity","ip-dst","194.87.138.69","",1,1598271610,"","","","",""
"51ea8711-6de3-480f-b052-0df425ccd6fd",26933,"External analysis","link","https://www.virustotal.com/gui/file/e26764f748c259ba6a5d3458bf32e99aeb1a4b33071fcd843d52ce8cbff365f2/detection","",0,1598271612,"permalink","","9751fac8-1cdc-4e06-a3ee-bb20f468d3b2","virustotal-report","misc"
"6f4415c1-fefa-4d52-824e-6daef0d1a9b2",26933,"Other","datetime","2020-08-24T00:47:47.000000+0000","",0,1598271612,"last-submission","","9751fac8-1cdc-4e06-a3ee-bb20f468d3b2","virustotal-report","misc"
"26635f21-880d-4af7-81d9-91f166b4eb45",26933,"Other","text","31/54","",0,1598271612,"detection-ratio","","9751fac8-1cdc-4e06-a3ee-bb20f468d3b2","virustotal-report","misc"

