uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"53af29e1-f012-4d10-b80b-94daca906c2f",4296,"Payload delivery","filename","Wasabi-2.0.7.1.msi","",0,1716550110,"","","","",""
"ff116647-02da-4d7c-8533-adeb899c0456",4296,"Payload delivery","md5","bba74646cb963f62204a5cd21c308912","",1,1716550110,"","","","",""
"5739a33e-5070-4c0f-b545-642891f21874",4296,"Payload delivery","sha1","81691fddbb971d22ef3392fab8c46bf082dbef14","",1,1716550110,"","","","",""
"b58bbb56-e7ea-4ca1-bb8c-b8eff29eb8fa",4296,"Payload delivery","sha256","499b909faf7c3e51c582693b0b67401d20efe23e65f781fc68b6f9d8e52ef2fb","",1,1716550110,"","","","",""
"87681b26-2a77-4cfe-a9a7-b33eedd27cc4",4296,"Payload delivery","mime-type","application/x-msi","",0,1716550110,"","","","",""
"2aaf672c-160f-4b0b-968e-883ef96ae08b",4296,"Network activity","url","https://mediaclubspot.com/Wasabi-2.0.7.1.msi","",1,1716550110,"","","","",""
"a2ef7e96-9050-4791-a082-4924eab41f53",4296,"Network activity","domain","mediaclubspot.com","",1,1716550110,"","","","",""
"580d4c7c-8544-4700-a3ae-e4a6919a8f03",4296,"External analysis","link","https://www.virustotal.com/gui/file/499b909faf7c3e51c582693b0b67401d20efe23e65f781fc68b6f9d8e52ef2fb/detection","",0,1716550110,"permalink","","85521dba-e8da-4b36-94fa-1283e078dbe8","virustotal-report","misc"
"3c53aff2-53a8-49f4-b6d8-57c6d301e06f",4296,"Other","datetime","2024-05-24T11:07:34.000000+0000","",0,1716550110,"last-submission","","85521dba-e8da-4b36-94fa-1283e078dbe8","virustotal-report","misc"
"8366016d-0537-4971-98d4-c1456bd86598",4296,"Other","text","1/63","",0,1716550110,"detection-ratio","","85521dba-e8da-4b36-94fa-1283e078dbe8","virustotal-report","misc"

