uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"58039324-94b1-498b-beb7-8099eff73324",20965,"Payload delivery","filename","AppGate2103v01.exe","",0,1711690934,"","","","",""
"a210fe28-97e1-489e-8c76-88449d5082ef",20965,"Payload delivery","md5","f5ef8b010e9bb5b75535c9a8ec88970f","",1,1711690934,"","","","",""
"96ebb7b0-5706-404b-b130-d0cc60f60f0f",20965,"Payload delivery","sha1","730e36b4be105059f818314cbed7661199c926d2","",1,1711690934,"","","","",""
"9986cfd9-7154-49a2-8b06-75139cb16485",20965,"Payload delivery","sha256","9a5a3f9f413f7398910bd04891d796268e4fde4022d174c95f9ad1f2c43994da","",1,1711690934,"","","","",""
"3b103cbd-c4d1-45ee-b484-c576f35f4aff",20965,"Payload delivery","mime-type","application/x-dosexec","",0,1711690934,"","","","",""
"12cfe864-7458-4c6e-aec8-d91aa8f56161",20965,"Payload delivery","imphash","5b3a146c04cf8f1737cce8fb13ae7683","",0,1711690934,"","","","",""
"3b610796-8687-4425-bd15-665b5afee36f",20965,"Network activity","url","https://staging-brandixsoft.co.uk/wp-content/server/AppGate2103v01.exe","",1,1711690934,"","","","",""
"40926b7a-6bd5-440c-ab6d-e9440a2f72ae",20965,"Network activity","domain","staging-brandixsoft.co.uk","",1,1711690934,"","","","",""
"0641f7a3-31dc-4f36-83b5-2ef8a65f2ab7",20965,"Other","text",".idata","",0,1711690936,"name","","17414257-ec11-465a-a8a3-71368248aac0","pe-section","file"
"373a66bc-457e-4322-ac67-b3768d11c7a9",20965,"Payload delivery","md5","2110fc066b6b630a2e0e1ac6264d5e77","",1,1711690936,"md5","","17414257-ec11-465a-a8a3-71368248aac0","pe-section","file"
"49cc6a52-d3b2-4418-b8ab-c88f49a8798d",20965,"Payload delivery","sha1","a7e3fb1a724e882894b03cdea5d1e0393e972d9c","",1,1711690936,"sha1","","17414257-ec11-465a-a8a3-71368248aac0","pe-section","file"
"f0d5ebbd-5470-47e0-affa-991724ea9892",20965,"Payload delivery","sha256","bce7090ba7fc03e99093726c09ff9bbf2f65c8b29aa2d27424f8e95fc78e0b4d","",1,1711690936,"sha256","","17414257-ec11-465a-a8a3-71368248aac0","pe-section","file"
"374a3c31-3701-41ac-ad46-00754a01f2de",20965,"Other","size-in-bytes",512,"",0,1711690936,"size-in-bytes","","17414257-ec11-465a-a8a3-71368248aac0","pe-section","file"
"acbad2b5-cc8c-4831-89d5-3f5bdf24bc2e",20965,"Other","float",2.53575,"",0,1711690936,"entropy","","17414257-ec11-465a-a8a3-71368248aac0","pe-section","file"
"846c5499-c2fd-4395-a1f7-8120d741b585",20965,"Other","text",".tls","",0,1711690936,"name","","51cd50cb-3fff-4951-abb7-e7a591af5115","pe-section","file"
"8b4c3fc7-6922-4a43-af80-14609b937704",20965,"Payload delivery","md5","bf9a5eff9dfa0716300b37f5b0e75160","",1,1711690936,"md5","","51cd50cb-3fff-4951-abb7-e7a591af5115","pe-section","file"
"6081e8fa-39da-4bcb-9f32-0721673ed4e7",20965,"Payload delivery","sha1","41abd8f2b494f9554934cb0dfc7d42c489267091","",1,1711690936,"sha1","","51cd50cb-3fff-4951-abb7-e7a591af5115","pe-section","file"
"171333cb-89d3-4ea9-98f6-35dbe3b4f300",20965,"Payload delivery","sha256","1b2d5677d42f0a935c310b2a8894cda1a5c3511febb7ba1e5125907468fda61a","",1,1711690936,"sha256","","51cd50cb-3fff-4951-abb7-e7a591af5115","pe-section","file"
"47d325e0-d615-47f7-8f63-7586f7b4a19e",20965,"Other","size-in-bytes",512,"",0,1711690936,"size-in-bytes","","51cd50cb-3fff-4951-abb7-e7a591af5115","pe-section","file"
"d9b16b6b-5610-4021-9f22-519abb7a0660",20965,"Other","float",0.27823,"",0,1711690936,"entropy","","51cd50cb-3fff-4951-abb7-e7a591af5115","pe-section","file"
"db376a88-a04c-427b-8580-c275e8cff522",20965,"Other","text",".rsrc","",0,1711690937,"name","","7f9b1579-cc76-4856-b649-1ebe2ce50c46","pe-section","file"
"9c5a5680-fcd0-4aba-a652-c9ef01bb8a2a",20965,"Payload delivery","md5","be9fdd0d8a047020cd1ea06997d6ca58","",1,1711690937,"md5","","7f9b1579-cc76-4856-b649-1ebe2ce50c46","pe-section","file"
