uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"76f6d804-76af-4e25-b1c7-ec38d003ad64",57914,"Payload delivery","filename","Mozi.m","",0,1625678285,"","","","",""
"286f46fb-87e3-4ace-8591-cdf312665ad8",57914,"Payload delivery","md5","6bde54257b568309ec44f3eef85c8d0c","",1,1625678285,"","","","",""
"3b98b216-d4bf-42f2-9cd1-e91f4240c916",57914,"Payload delivery","sha1","f9343fa90f084fcff831c23d545bfa3881119c77","",1,1625678285,"","","","",""
"7fea2602-1e1b-4a12-9956-98f80fad8864",57914,"Payload delivery","sha256","178a689aac76c92b5c7e9e172dd007ea12bb998db0480a5d5094c9bdb707009c","",1,1625678285,"","","","",""
"37489d03-04d8-495a-ba09-8e02315b5891",57914,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, no section header","",0,1625678285,"","","","",""
"bb837508-9048-4767-8d2b-72855cc9913c",57914,"Network activity","url","http://117.221.179.166:49031/Mozi.m","",1,1625678285,"","","","",""
"b2b0231d-bbc7-4ea3-a1b3-a329b873cf2e",57914,"Network activity","ip-dst","117.221.179.166","",1,1625678285,"","","","",""
"f84ba54e-8350-4553-beb1-0960479e2b80",57914,"Payload delivery","filename","i","",0,1631568068,"","","","",""
"a5658778-140e-43f1-8857-689c9a232e6b",57914,"Network activity","url","http://117.193.110.212:36060/Mozi.m","",1,1631568068,"","","","",""
"d6dde721-fa10-4537-9e21-c8775de2251f",57914,"Network activity","ip-dst","117.193.110.212","",1,1631568068,"","","","",""
"67711d48-9dcb-4771-b867-7121eb2937d1",57914,"Network activity","url","http://117.198.169.70:47542/i","",1,1631866512,"","","","",""
"7c4e5906-8628-461c-b3bf-6a81b936c6fb",57914,"Network activity","ip-dst","117.198.169.70","",1,1631866512,"","","","",""
"1482e267-e595-4ca3-9945-6d9d023dce12",57914,"Network activity","url","http://115.97.143.180:47637/Mozi.m","",1,1632214148,"","","","",""
"efb96301-2baa-46bf-be15-c0eb194ef31a",57914,"Network activity","ip-dst","115.97.143.180","",1,1632214148,"","","","",""
"6ab719fc-52f0-4438-b682-f5b8d681d5bf",57914,"Payload delivery","filename","bin.sh","",0,1632280873,"","","","",""
"00a70566-09ef-4819-9b30-a791a0e5363e",57914,"Network activity","url","http://59.95.77.206:57290/Mozi.m","",1,1632280879,"","","","",""
"0083dd3f-df6b-4ef0-93d5-c6dac79db2f5",57914,"Network activity","ip-dst","59.95.77.206","",1,1632280879,"","","","",""
"b74ee6b8-6e3c-4c41-bc24-011228e47d1e",57914,"Network activity","url","http://14.237.31.75:40293/bin.sh","",1,1632290110,"","","","",""
"1900496b-2385-4ad3-bef6-89695b5b6762",57914,"Network activity","ip-dst","14.237.31.75","",1,1632290110,"","","","",""
"86cfa845-5866-42c8-830a-ec369bb9a07a",57914,"Network activity","url","http://14.237.31.75:40293/i","",1,1634108529,"","","","",""
"b6a3c87c-7ef6-4701-aef6-653e8b880479",57914,"Network activity","url","http://117.201.47.227:56984/Mozi.m","",1,1634168187,"","","","",""
"55177480-333b-41ed-b3f3-63b950670f87",57914,"Network activity","ip-dst","117.201.47.227","",1,1634168187,"","","","",""
"0d03f93e-5511-48c4-82e1-e3fa834549de",57914,"Network activity","url","http://117.201.40.113:46752/Mozi.m","",1,1635624518,"","","","",""
"74e36441-c7e4-4bb0-b184-4d943efeea4f",57914,"Network activity","ip-dst","117.201.40.113","",1,1635624518,"","","","",""
"bdd25623-d398-4189-8a0b-a033d1febd4d",57914,"Network activity","url","http://117.196.62.225:55541/Mozi.m","",1,1635643930,"","","","",""
"43409e9e-1c94-4b7b-949d-00cc979a56d9",57914,"Network activity","ip-dst","117.196.62.225","",1,1635643930,"","","","",""
"477a967b-62ef-412e-bb8c-3a39abb75d16",57914,"External analysis","link","https://www.virustotal.com/gui/file/178a689aac76c92b5c7e9e172dd007ea12bb998db0480a5d5094c9bdb707009c/detection","",0,1625678286,"permalink","","432cde15-864f-46af-afae-d04e0b38f171","virustotal-report","misc"
"f70959c6-e455-4a22-aa8b-16bc3afaf4cd",57914,"Other","datetime","2021-07-07T08:17:29.000000+0000","",0,1625678286,"last-submission","","432cde15-864f-46af-afae-d04e0b38f171","virustotal-report","misc"
"9f8eba78-17b9-47dd-bf5d-f08498689866",57914,"Other","text","25/60","",0,1625678286,"detection-ratio","","432cde15-864f-46af-afae-d04e0b38f171","virustotal-report","misc"

