uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"9f3ddd21-e165-4503-aaf2-2623850de11e",48746,"Payload delivery","filename","i","",0,1614272896,"","","","",""
"bffbe8d5-5fa0-4ad8-9671-800a458be772",48746,"Payload delivery","md5","0bb2e104f611e9b36a858a3f84d29ec7","",1,1614272896,"","","","",""
"f2ce9ea2-dade-41d5-a03a-709a4728d7f4",48746,"Payload delivery","sha1","ffba3b972284dbc091d9e3c18064d00734e8de10","",1,1614272897,"","","","",""
"c8585e56-7c2c-4120-a731-ad877e5b0ec7",48746,"Payload delivery","sha256","2b13fcc5fe6b260ea00ed5c34153f41b44923830bf276fc2ba8b1bd0804e4061","",1,1614272897,"","","","",""
"46d70179-75d8-4200-8818-e002a6db69f0",48746,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, no section header","",0,1614272897,"","","","",""
"eda3f7a5-8e21-46e7-9a07-eaa2e1f363a8",48746,"Network activity","url","http://178.175.95.178:56075/i","",1,1614272897,"","","","",""
"2bcb65d5-f9ba-4ff9-9586-fb75826a5708",48746,"Network activity","ip-dst","178.175.95.178","",1,1614272897,"","","","",""
"efd26e17-dd4f-4a85-93c6-5e561abf9cd2",48746,"External analysis","link","https://www.virustotal.com/gui/file/2b13fcc5fe6b260ea00ed5c34153f41b44923830bf276fc2ba8b1bd0804e4061/detection","",0,1614273184,"permalink","","d4388439-fd9e-4dcd-8ce4-fcdcfe8ef521","virustotal-report","misc"
"47a30e5d-93dc-4e60-b3c7-b715bb27be5c",48746,"Other","datetime","2020-09-16T04:44:28.000000+0000","",0,1614273184,"last-submission","","d4388439-fd9e-4dcd-8ce4-fcdcfe8ef521","virustotal-report","misc"
"3941d65f-19e2-4def-85a9-c7b1159b7cda",48746,"Other","text","10/57","",0,1614273184,"detection-ratio","","d4388439-fd9e-4dcd-8ce4-fcdcfe8ef521","virustotal-report","misc"

