uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"3b15d0e5-2827-4b98-bbbe-4b6648606deb",28586,"Payload delivery","filename","loligang.arm","",0,1598796727,"","","","",""
"2542820f-3090-4c19-b855-de23ce9a9dc7",28586,"Payload delivery","md5","59250bcf00902946ca61e765e9b238e2","",1,1598796727,"","","","",""
"621b43dd-335c-4081-a200-61af315dc278",28586,"Payload delivery","sha1","5b04e3e5bef2bf51a1823f8b83e8f77e68a1aa1f","",1,1598796727,"","","","",""
"25d383eb-ea4b-493e-8b56-29603a533df9",28586,"Payload delivery","sha256","b9deac16e1a7399fd18af52e357bbbd1b73fa0aa91f46f497cbb5cc2acff2c03","",1,1598796727,"","","","",""
"bc709c4a-03f6-4c9c-90b9-19a9fec114ac",28586,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, stripped","",0,1598796727,"","","","",""
"88bd08fb-ebbd-4c33-8fbe-ce90310a1006",28586,"Network activity","url","http://139.99.125.230/lmaoWTF/loligang.arm","",1,1598796728,"","","","",""
"f37ccfab-bfaa-4ba0-ab59-3053622f044e",28586,"Network activity","ip-dst","139.99.125.230","",1,1598796728,"","","","",""
"ce9116ee-fc9f-48f1-aca0-5bbbe2acb9c6",28586,"External analysis","link","https://www.virustotal.com/gui/file/b9deac16e1a7399fd18af52e357bbbd1b73fa0aa91f46f497cbb5cc2acff2c03/detection","",0,1598796728,"permalink","","b37d3b5c-c0b1-4248-b96f-a578066a0842","virustotal-report","misc"
"f7a47ea0-c485-4cb2-96a1-8d2828d0b7af",28586,"Other","datetime","2020-08-30T12:38:05.000000+0000","",0,1598796728,"last-submission","","b37d3b5c-c0b1-4248-b96f-a578066a0842","virustotal-report","misc"
"ca4147e7-45f9-45c5-a618-71fcd78a7552",28586,"Other","text","35/58","",0,1598796728,"detection-ratio","","b37d3b5c-c0b1-4248-b96f-a578066a0842","virustotal-report","misc"

