uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"f7116d5d-4b48-4deb-8d01-86303745a2ed",2780,"Payload delivery","filename","bluesubstantialie64.zip","",0,1687185983,"","","","",""
"63c53341-381b-430a-a3c1-10e2d457603f",2780,"Payload delivery","md5","210ca8164986e2d313de8f93862ec0f0","",1,1687185983,"","","","",""
"2514ea6d-11b5-4e3b-9c56-cb52c9cd5c7e",2780,"Payload delivery","sha1","e3d5048c8dc23e1b33e2ed75aa2abc5bd617e9ae","",1,1687185983,"","","","",""
"db6d905b-ecd0-4d19-9f63-17921f1efbdc",2780,"Payload delivery","sha256","6f3543bc0f2f42083f50afaef738f27d47ca33afe82e8eefb6c081743268d5d0","",1,1687185983,"","","","",""
"348ce43e-a41d-4275-8f7c-09ac88fcbaa7",2780,"Payload delivery","mime-type","application/zip","",0,1687185983,"","","","",""
"50f4eb9e-2c1c-462b-85c6-f039a112a64e",2780,"Network activity","url","http://5.42.66.3/bo/bluesubstantialie64.zip","",1,1687185983,"","","","",""
"23c8a4b6-2f56-407b-86fd-ef399523bd8e",2780,"Network activity","ip-dst","5.42.66.3","",1,1687185983,"","","","",""
"e389d6dc-94e5-40ca-822d-a9854cc2c437",2780,"External analysis","link","https://www.virustotal.com/gui/file/6f3543bc0f2f42083f50afaef738f27d47ca33afe82e8eefb6c081743268d5d0/detection","",0,1687185984,"permalink","","02224b60-3cc5-43e1-98aa-135728d380a4","virustotal-report","misc"
"2995212f-3379-4fcd-be8d-6c749510e6b1",2780,"Other","datetime","2023-06-19T14:30:55.000000+0000","",0,1687185984,"last-submission","","02224b60-3cc5-43e1-98aa-135728d380a4","virustotal-report","misc"
"2eab7a3d-5f02-4e56-91d6-e8d24bb840da",2780,"Other","text","11/64","",0,1687185984,"detection-ratio","","02224b60-3cc5-43e1-98aa-135728d380a4","virustotal-report","misc"

