uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"ed80631c-aab4-4412-8f12-f002e230f28b",24965,"Payload delivery","filename","3079cddst.exe","",0,1596676916,"","","","",""
"56b51c24-3ec7-4e99-97c3-26eae3d22406",24965,"Payload delivery","md5","f8d80c369a619e256bce15af11bc3e27","",1,1596676916,"","","","",""
"66825c36-0852-4e3f-a33a-97c5fc89302f",24965,"Payload delivery","sha1","61814e53bfd08dec5e6792ceab84e58fdc391e49","",1,1596676916,"","","","",""
"c4d09150-c32f-403b-9e5f-30a31f9cf0a7",24965,"Payload delivery","sha256","1a6509f62c5144a8f2de0613044a3486be8f6f7e6992a4a89f9dcb47430b649c","",1,1596676916,"","","","",""
"6f81435e-b039-4ac2-b65e-b2672a56b3e5",24965,"Payload delivery","mime-type","PE32 executable (console) Intel 80386, for MS Windows","",0,1596676916,"","","","",""
"e27042a5-f18d-4594-badc-5e5f03ecdc1e",24965,"Payload delivery","imphash","4a8c5544cd24df05aabef0164d767361","",0,1596676916,"","","","",""
"078a52d9-a679-409a-a184-94de93e6f614",24965,"Network activity","url","http://kiwizon.com/junkreps/3079cddst.exe","",1,1596676916,"","","","",""
"bf44123c-cc15-4672-91cf-0e25d5efd98b",24965,"Network activity","domain","kiwizon.com","",1,1596676916,"","","","",""
"d316b4c0-2b18-4c97-9311-a8bff88f1256",24965,"Other","text",".text","",0,1596676917,"name","","3c324db8-070a-4f01-a32e-97795368919e","pe-section","file"
"de727820-cb7a-465f-a958-5eb449fed65a",24965,"Payload delivery","md5","c2737d577f1c4ff4b4bcd18c24538827","",1,1596676917,"md5","","3c324db8-070a-4f01-a32e-97795368919e","pe-section","file"
"41eceab6-a835-4881-a180-6bc8cf9dd8ff",24965,"Payload delivery","sha1","56df9742b0e301db4619f2b3e423b73bd58fd092","",1,1596676917,"sha1","","3c324db8-070a-4f01-a32e-97795368919e","pe-section","file"
"cf2eecc3-c236-4499-a974-548b64e9d4df",24965,"Payload delivery","sha256","f8e441f3d9ea3bd3e7af79a8b45ca8fc7366b47fedc4477ebe2ccba38a090d41","",1,1596676917,"sha256","","3c324db8-070a-4f01-a32e-97795368919e","pe-section","file"
"7ea93143-0cc8-4859-b072-6d045b3528e9",24965,"Other","size-in-bytes",6144,"",0,1596676917,"size-in-bytes","","3c324db8-070a-4f01-a32e-97795368919e","pe-section","file"
"4c829810-0372-4600-b7a7-16fc021d2f8a",24965,"Other","float",6.10599,"",0,1596676917,"entropy","","3c324db8-070a-4f01-a32e-97795368919e","pe-section","file"
"3fdeef86-cb4c-43ca-8dcc-67a040b6ca71",24965,"Other","text",".rdata","",0,1596676917,"name","","bd0468a0-55d8-4bd4-ac12-12549f3edb58","pe-section","file"
"0f249870-df50-4fd0-ab8e-21fb06bfb407",24965,"Payload delivery","md5","a757d43f12ffbb757b1201388c2299b1","",1,1596676917,"md5","","bd0468a0-55d8-4bd4-ac12-12549f3edb58","pe-section","file"
"2a28f40b-f93a-4a30-a756-361ff8b4d0df",24965,"Payload delivery","sha1","7751cffbba8465f346a1d74b631e0200e3a7971e","",1,1596676917,"sha1","","bd0468a0-55d8-4bd4-ac12-12549f3edb58","pe-section","file"
"333c20d1-b494-4879-ac1b-9776bf7d5a3b",24965,"Payload delivery","sha256","3cbd6367aefc15844e3ef68a0bdec34b332ae3fac50e19b86f9a951f664ac6c8","",1,1596676917,"sha256","","bd0468a0-55d8-4bd4-ac12-12549f3edb58","pe-section","file"
"86d4756e-7c32-478e-a7bd-2aaec9eb66c1",24965,"Other","size-in-bytes",4096,"",0,1596676917,"size-in-bytes","","bd0468a0-55d8-4bd4-ac12-12549f3edb58","pe-section","file"
"56963099-2e01-4172-b1d3-9722723e2f68",24965,"Other","float",5.2693,"",0,1596676917,"entropy","","bd0468a0-55d8-4bd4-ac12-12549f3edb58","pe-section","file"
"33846f51-8a10-41dc-a334-46ff56e3bb9e",24965,"Other","text",".data","",0,1596676918,"name","","a2e1e245-4a4e-4c26-872f-aab253d6bb12","pe-section","file"
"db4548ef-a226-4cbc-a8a8-5e2fe9f3df6c",24965,"Payload delivery","md5","3900e95ec5ddf49746291421547a21a8","",1,1596676918,"md5","","a2e1e245-4a4e-4c26-872f-aab253d6bb12","pe-section","file"
"3841bb79-df87-41c0-8d8d-c174ab5124c0",24965,"Payload delivery","sha1","cc5c045887f8fcca7bd969d95488fd8fc0cd2aa8","",1,1596676918,"sha1","","a2e1e245-4a4e-4c26-872f-aab253d6bb12","pe-section","file"
"ab0e0dea-6d3b-47ea-b43d-a15259fcb7be",24965,"Payload delivery","sha256","44f5710a0815a68d02df24b4b8f92f94c0086c1b8c0d06765ee9012a1e08d4bc","",1,1596676918,"sha256","","a2e1e245-4a4e-4c26-872f-aab253d6bb12","pe-section","file"
"0c98a349-2562-4fcd-89d6-9832f556de5e",24965,"Other","size-in-bytes",512,"",0,1596676918,"size-in-bytes","","a2e1e245-4a4e-4c26-872f-aab253d6bb12","pe-section","file"
"6c71be25-8308-4904-bbdf-c251241f034b",24965,"Other","float",0.46113,"",0,1596676918,"entropy","","a2e1e245-4a4e-4c26-872f-aab253d6bb12","pe-section","file"
"b8a1a474-2bec-4338-be5c-13ab3730c4b8",24965,"Other","text",".rsrc","",0,1596676918,"name","","d13e0cfe-1e49-4f17-9766-76c05dd0bd4e","pe-section","file"
"4648906a-c717-4234-afb7-4f22fff11767",24965,"Payload delivery","md5","9fa9142217f16c55a568f2f1141214ab","",1,1596676918,"md5","","d13e0cfe-1e49-4f17-9766-76c05dd0bd4e","pe-section","file"
"94610465-6f53-4a77-a7c6-98da75d7e703",24965,"Payload delivery","sha1","db915667fba980a327e67ddbd009b7149a2306c4","",1,1596676918,"sha1","","d13e0cfe-1e49-4f17-9766-76c05dd0bd4e","pe-section","file"
"0a1f270b-eb54-4711-b1ff-f575f0d57f65",24965,"Payload delivery","sha256","074c8d80dacfc5f129ef2c0d3b727d525c67462c810b2a00155fd65381662412","",1,1596676918,"sha256","","d13e0cfe-1e49-4f17-9766-76c05dd0bd4e","pe-section","file"
"91c086eb-106b-4fcf-aa11-730b40d16cca",24965,"Other","size-in-bytes",326144,"",0,1596676918,"size-in-bytes","","d13e0cfe-1e49-4f17-9766-76c05dd0bd4e","pe-section","file"
"ccacf154-bf68-4a8b-a8fb-2984f8fe42af",24965,"Other","float",7.66668,"",0,1596676918,"entropy","","d13e0cfe-1e49-4f17-9766-76c05dd0bd4e","pe-section","file"
"f2ea4550-db24-404a-af50-e5909786a839",24965,"External analysis","link","https://www.virustotal.com/gui/file/1a6509f62c5144a8f2de0613044a3486be8f6f7e6992a4a89f9dcb47430b649c/detection","",0,1596676919,"permalink","","d870aee1-a2ca-43f5-8e33-611b947a3dc2","virustotal-report","misc"
"8af9f601-5a54-4372-9ddc-530e4527a7c3",24965,"Other","datetime","2020-08-05T21:01:53.000000+0000","",0,1596676919,"last-submission","","d870aee1-a2ca-43f5-8e33-611b947a3dc2","virustotal-report","misc"
"c52b1077-9e8d-4937-ae3a-51f43a082d63",24965,"Other","text","26/72","",0,1596676919,"detection-ratio","","d870aee1-a2ca-43f5-8e33-611b947a3dc2","virustotal-report","misc"

