uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"99e8981f-c461-47c9-96a2-998405ba3098",19910,"Payload delivery","filename","storj.exe","",0,1658172372,"","","","",""
"8795d869-6ba3-4b14-9551-fa658f0f281c",19910,"Payload delivery","md5","80c0851927d82ccc7efa4772c2d610d4","",1,1658172372,"","","","",""
"59d0070d-6679-4f4c-876b-1090ce168d0c",19910,"Payload delivery","sha1","1db2ec1fc8777270e35d3da93b4f4fc94e7160e7","",1,1658172372,"","","","",""
"4719d255-1660-4e9b-8286-2b0d50ed241f",19910,"Payload delivery","sha256","08647a9cd710c62e225c7891e12527696c5fd83694cc13ebad8d8e0a9d528be1","",1,1658172372,"","","","",""
"49ba1db5-5ff5-4e31-89c5-45b7c8ac4534",19910,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1658172372,"","","","",""
"968528d3-cd39-4f5a-9c70-811ae1c1148c",19910,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1658172372,"","","","",""
"192981eb-a9e8-4e7d-af77-107dbc0be650",19910,"Network activity","url","http://lutanedukasi.co.id/wp-includes/storj.exe","",1,1658172372,"","","","",""
"b8cb3ab6-9018-46af-ae5a-fbff0ca8873b",19910,"Network activity","domain","lutanedukasi.co.id","",1,1658172372,"","","","",""
"1ef0e7f8-400f-4651-a583-eac25ba59ecf",19910,"Other","text",".text","",0,1658172372,"name","","2277c86f-08f8-4ad7-abc2-b2c0061cbbd7","pe-section","file"
"3ee99fec-d5c3-4377-8990-11fa28e63f89",19910,"Payload delivery","md5","99f8513218ddecd3bd06973df674bed1","",1,1658172372,"md5","","2277c86f-08f8-4ad7-abc2-b2c0061cbbd7","pe-section","file"
"34a24108-21c3-47c9-b2dc-9335bade6e9f",19910,"Payload delivery","sha1","6d26daf9f8417e3c248148a36b2c56a5c13f805e","",1,1658172372,"sha1","","2277c86f-08f8-4ad7-abc2-b2c0061cbbd7","pe-section","file"
