uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"8251c610-7723-4214-a9df-8df111b17c6a",29733,"Payload delivery","filename","emptyfilename.tmp","",0,1599246255,"","","","",""
"4c0c7a74-1a4a-4996-8462-62c76dc5a633",29733,"Payload delivery","md5","b3c3c4cb2c805c50460bb8ead90d9318","",1,1599246255,"","","","",""
"6eb084d9-7916-47d6-9417-15bfcbefbd76",29733,"Payload delivery","sha1","99d45ed2637e8884d2ae06fd4a6f35f69da22924","",1,1599246255,"","","","",""
"fff52e9d-cf35-496b-b6e8-40bd5915340a",29733,"Payload delivery","sha256","3991d97eccc43ece6db7b1bb414e4ae73f2183e9143d229463295788fda8c439","",1,1599246255,"","","","",""
"67301be3-c803-42e9-8e13-d6795668549e",29733,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1599246255,"","","","",""
"d6786ce8-2f5b-4e0e-bae5-540dedea81f9",29733,"Payload delivery","imphash","90cf95ecd64949f490339642872dda87","",0,1599246255,"","","","",""
"0e165014-3035-4601-8e3e-ae165ad2603e",29733,"Network activity","url","http://gerotax.de/assets/attach/rEzDDIkWAlZ/","",1,1599246255,"","","","",""
"7534fc2e-d5c6-4159-8d85-68676adea46b",29733,"Network activity","domain","gerotax.de","",1,1599246255,"","","","",""
"c007cb9e-beab-46f6-b246-2b9c0a791d8a",29733,"Other","text",".text","",0,1599246256,"name","","b4ee2ae6-243a-4b64-a44e-c433c5ecd61c","pe-section","file"
"e9880a4a-855d-4dd1-9be3-39c908e64c9b",29733,"Payload delivery","md5","2277b5256c7f8e43f524b458423d35b1","",1,1599246256,"md5","","b4ee2ae6-243a-4b64-a44e-c433c5ecd61c","pe-section","file"
"f30d2958-97a1-4fe7-a2f8-3b9f32110e64",29733,"Payload delivery","sha1","d834596431b5f2392b453eb8d65e97cf7439335e","",1,1599246256,"sha1","","b4ee2ae6-243a-4b64-a44e-c433c5ecd61c","pe-section","file"
"078ed47e-c85b-435f-81ef-8a74dec70d40",29733,"Payload delivery","sha256","22d9036aa06817e8be1ef30bf2056d3bcf0aa628dae474a2da52faa08af0f960","",1,1599246256,"sha256","","b4ee2ae6-243a-4b64-a44e-c433c5ecd61c","pe-section","file"
"a5cb3a83-a988-41e8-85c5-8bb48ec5a0c9",29733,"Other","size-in-bytes",8192,"",0,1599246256,"size-in-bytes","","b4ee2ae6-243a-4b64-a44e-c433c5ecd61c","pe-section","file"
"11c51e26-9d34-4317-8758-802debeb5c4e",29733,"Other","float",4.92558,"",0,1599246256,"entropy","","b4ee2ae6-243a-4b64-a44e-c433c5ecd61c","pe-section","file"
"1bd84f43-260d-4dc1-950b-7c8ce282e780",29733,"Other","text",".rdata","",0,1599246256,"name","","e9f6aad6-36b0-41f6-b86c-ca85e7144712","pe-section","file"
"0b1899bc-f693-4b00-9805-bd6b9cfe8ef7",29733,"Payload delivery","md5","e9462d5a4cdbf33435cddbbf7ca02a8c","",1,1599246257,"md5","","e9f6aad6-36b0-41f6-b86c-ca85e7144712","pe-section","file"
"c26d8e21-aba2-4bef-8849-10e940e5e0c6",29733,"Payload delivery","sha1","a18ce5a8603cfef419f256b9ba63158754e6d31a","",1,1599246257,"sha1","","e9f6aad6-36b0-41f6-b86c-ca85e7144712","pe-section","file"
"fbbaf196-834a-496e-858c-3e1cc455a4c9",29733,"Payload delivery","sha256","d5009193b145c086661942546d18c9ad5e3cd3167f329c6399b0c5f4f81efc16","",1,1599246257,"sha256","","e9f6aad6-36b0-41f6-b86c-ca85e7144712","pe-section","file"
"cfbfd700-ffd1-43f1-832b-0cf80f3f054d",29733,"Other","size-in-bytes",4096,"",0,1599246257,"size-in-bytes","","e9f6aad6-36b0-41f6-b86c-ca85e7144712","pe-section","file"
"30c987b6-d44d-4415-937e-4ec23bd7a36d",29733,"Other","float",4.39986,"",0,1599246257,"entropy","","e9f6aad6-36b0-41f6-b86c-ca85e7144712","pe-section","file"
"f32741d7-3f00-4ef6-bd1a-bdbfc0f13d70",29733,"Other","text",".data","",0,1599246257,"name","","aa152649-2626-416a-98e1-b15c3d7929bc","pe-section","file"
"ae83fd73-cb0c-497c-9af4-56dd395bd722",29733,"Payload delivery","md5","504fd61d4f2417120c1a5641e6acb7d4","",1,1599246257,"md5","","aa152649-2626-416a-98e1-b15c3d7929bc","pe-section","file"
"35872adb-e920-4b90-b99e-170f901e3893",29733,"Payload delivery","sha1","d12752dbf01bd5129d36ba99b098c40c822d2e43","",1,1599246257,"sha1","","aa152649-2626-416a-98e1-b15c3d7929bc","pe-section","file"
"fa7b225d-ba15-4598-8909-b1cc0ce4a2b0",29733,"Payload delivery","sha256","21492adea1dcac4b042bd516152719bf093334c219b45a9487238b7c2830f0bc","",1,1599246257,"sha256","","aa152649-2626-416a-98e1-b15c3d7929bc","pe-section","file"
"15d75e4b-d2d2-4c86-be04-2ba88d287f9c",29733,"Other","size-in-bytes",4096,"",0,1599246257,"size-in-bytes","","aa152649-2626-416a-98e1-b15c3d7929bc","pe-section","file"
"5cdd70bb-384b-4da5-86a0-efa5dd95f742",29733,"Other","float",1.39518,"",0,1599246257,"entropy","","aa152649-2626-416a-98e1-b15c3d7929bc","pe-section","file"
"81cd3510-57be-473b-a735-134a0c866717",29733,"Other","text",".rsrc","",0,1599246257,"name","","6e40c821-9ca5-4bf2-b9ef-af555e2109d2","pe-section","file"
"b3b3cfb5-c5d1-4bae-b8b4-dd5ea7a9494c",29733,"Payload delivery","md5","731bddeecf8361b4aeba6b7ebc92ddf4","",1,1599246257,"md5","","6e40c821-9ca5-4bf2-b9ef-af555e2109d2","pe-section","file"
"e332c999-6fa9-49aa-858c-c89a1f6472b2",29733,"Payload delivery","sha1","5d4e1cdb68256f73ec2dd3bc56aad47a4381112d","",1,1599246257,"sha1","","6e40c821-9ca5-4bf2-b9ef-af555e2109d2","pe-section","file"
"f8f6d49e-d069-4d88-a7e0-09fd74c90df0",29733,"Payload delivery","sha256","0eda8c680c2339ceb7270a09cebd4ebde22c14ebf30545948a4475f6bb7eb9b3","",1,1599246257,"sha256","","6e40c821-9ca5-4bf2-b9ef-af555e2109d2","pe-section","file"
"fe998f99-fdcb-43bb-b26c-de7424786a43",29733,"Other","size-in-bytes",53248,"",0,1599246258,"size-in-bytes","","6e40c821-9ca5-4bf2-b9ef-af555e2109d2","pe-section","file"
"9381409f-e2fb-4b1c-8041-83f0dd291544",29733,"Other","float",7.3893,"",0,1599246258,"entropy","","6e40c821-9ca5-4bf2-b9ef-af555e2109d2","pe-section","file"

