uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"0ff07e43-be8d-428c-9f96-b7504ad3be05",12273,"Payload delivery","filename","nmips","",0,1728053644,"","","","",""
"f337f6f7-af3b-44d9-84bd-04b5c70af029",12273,"Payload delivery","md5","e6062e9f4355399335da2924dc56f41d","",1,1728053644,"","","","",""
"c6eeb39c-85b8-412e-8b0d-ab9880f92bef",12273,"Payload delivery","sha1","24aa4ab81149ca8fe39d5666491227d1be84b68b","",1,1728053644,"","","","",""
"f0f3d50b-40cb-4e1a-a8e6-60756ab8205b",12273,"Payload delivery","sha256","dd14a1f08968a59a61839abf09e8d5ca56ae47c2a2a4b706ea3486bb482675ae","",1,1728053644,"","","","",""
"2989ad80-6ad8-4d5b-b0a5-b850bdef4f0a",12273,"Payload delivery","mime-type","application/x-executable","",0,1728053644,"","","","",""
"02ce978c-05ba-4928-a673-32c6018b367f",12273,"Network activity","url","http://45.88.88.43/nmips","",1,1728053644,"","","","",""
"d31b8dee-fd4e-460a-ba51-700f6d7f6a5b",12273,"Network activity","ip-dst","45.88.88.43","",1,1728053645,"","","","",""
"edec7dbe-76e5-4749-8303-a182c713c54c",12273,"External analysis","link","https://www.virustotal.com/gui/file/dd14a1f08968a59a61839abf09e8d5ca56ae47c2a2a4b706ea3486bb482675ae/detection","",0,1728053645,"permalink","","8447af27-d3d0-41f9-b2f6-5a76e2b13a7a","virustotal-report","misc"
"2f0f7379-59d7-46e0-82a1-80a5440cacef",12273,"Other","datetime","2024-10-04T14:17:11.000000+0000","",0,1728053645,"last-submission","","8447af27-d3d0-41f9-b2f6-5a76e2b13a7a","virustotal-report","misc"
"a3726eaf-a3f0-4b3c-a39b-297b7df3e571",12273,"Other","text","37/76","",0,1728053645,"detection-ratio","","8447af27-d3d0-41f9-b2f6-5a76e2b13a7a","virustotal-report","misc"

