uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"ddfa963c-3f29-4d8a-99f6-cde064235577",45438,"Payload delivery","filename","595265.jpg","",0,1611848346,"","","","",""
"bb8ce0df-d8b9-48b9-98e9-4256d78dd1ba",45438,"Payload delivery","md5","6bc98672db91c58bbb7541685d553025","",1,1611848346,"","","","",""
"a36ee139-88b0-4a06-8e94-247e24f3ce2b",45438,"Payload delivery","sha1","6d5cb2a49f2fab8c5d7d780c6085c1086179c171","",1,1611848346,"","","","",""
"a65a21a9-9d6c-4afa-b0ec-05ea0b1972b7",45438,"Payload delivery","sha256","87c325d4ffa757ca624ae06c15f1bb9409c65ef1a4f94dcc257edf2d876c50c7","",1,1611848346,"","","","",""
"5bc75d4f-3f0c-477d-a140-ef1ad6f09c5a",45438,"Payload delivery","mime-type","PE32 executable (DLL) (GUI) Intel 80386, for MS Windows","",0,1611848346,"","","","",""
"564df91e-57c9-4ba0-946a-422a9f4b2ab2",45438,"Payload delivery","imphash","036a810979f7280ed94331a2216fcf75","",0,1611848346,"","","","",""
"1d6670d6-c8e0-4c9b-85a3-7c2043e9d0db",45438,"Network activity","url","http://toletnewchandigarh.com/dlhkadi/595265.jpg","",1,1611848346,"","","","",""
"ccdf372f-5b90-4179-acf9-0885a8faf222",45438,"Network activity","domain","toletnewchandigarh.com","",1,1611848346,"","","","",""
"3caa83fb-805b-4e34-a279-81031b6a30af",45438,"Other","text",".code","",0,1611848346,"name","","0bcc9d67-d762-4ca0-ace6-02f33dfdcbec","pe-section","file"
"1fbf7ac3-ae9e-4dac-9a66-f9359997517a",45438,"Payload delivery","md5","22605525dd6adb5d4da7c503fda685bb","",1,1611848346,"md5","","0bcc9d67-d762-4ca0-ace6-02f33dfdcbec","pe-section","file"
"9dc8bdf2-389c-46a4-a144-7acc240a60b1",45438,"Payload delivery","sha1","306347fe7df7e7931a4eef11fa8ffb006673a906","",1,1611848346,"sha1","","0bcc9d67-d762-4ca0-ace6-02f33dfdcbec","pe-section","file"
"9158f275-baab-43b0-9fc2-ac4c7aa7bca2",45438,"Payload delivery","sha256","113fb84a55bc89cd18eb33b2a84841f2b432f7069a6a1572d145bacb46501c87","",1,1611848346,"sha256","","0bcc9d67-d762-4ca0-ace6-02f33dfdcbec","pe-section","file"
"83dcde2d-ef83-4605-aa1a-b49af310eb2a",45438,"Other","size-in-bytes",331776,"",0,1611848346,"size-in-bytes","","0bcc9d67-d762-4ca0-ace6-02f33dfdcbec","pe-section","file"
"e0195715-0e3c-402f-bc43-010cdfa23543",45438,"Other","float",6.09214,"",0,1611848346,"entropy","","0bcc9d67-d762-4ca0-ace6-02f33dfdcbec","pe-section","file"
"c19bb509-f8a4-46ae-938d-c95ee726569d",45438,"Other","text",".rdata","",0,1611848347,"name","","67931cc4-0c81-4b52-89f7-f403fa3979d1","pe-section","file"
"fe2ea445-4184-43b8-a602-5b0c0af4f8fe",45438,"Payload delivery","md5","e694a402ecb9e96df23ebb8fe18bb72e","",1,1611848347,"md5","","67931cc4-0c81-4b52-89f7-f403fa3979d1","pe-section","file"
"2d3332ec-bbad-4a90-a046-0c92f6d75ec7",45438,"Payload delivery","sha1","5f449b48d02d3950f881fdbfea1487bbc203a902","",1,1611848347,"sha1","","67931cc4-0c81-4b52-89f7-f403fa3979d1","pe-section","file"
"c24ef65c-0170-4942-844c-01b91d48b2b1",45438,"Payload delivery","sha256","87d00f1f9ab4a6d3b914292b6b9a5800267fc0a1851e20a83f0a676d90fd820c","",1,1611848347,"sha256","","67931cc4-0c81-4b52-89f7-f403fa3979d1","pe-section","file"
"60bf7168-2c18-420d-9f8e-d4a52db0e86d",45438,"Other","size-in-bytes",10752,"",0,1611848347,"size-in-bytes","","67931cc4-0c81-4b52-89f7-f403fa3979d1","pe-section","file"
"dacd36b4-6586-4cf7-93c2-1c9a5847e905",45438,"Other","float",1.1578,"",0,1611848347,"entropy","","67931cc4-0c81-4b52-89f7-f403fa3979d1","pe-section","file"

