uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"0c0b3ada-b42a-4ae0-9b67-59b023c453d1",61233,"Payload delivery","filename","863387648.exe","",0,1632246307,"","","","",""
"d1682b95-2982-48bc-a6d5-3595af2f7b78",61233,"Payload delivery","md5","8df6d5b6ce4864ae629684b7566ebaa7","",1,1632246307,"","","","",""
"2274ed5f-16fc-45ec-b635-389e5e283fdc",61233,"Payload delivery","sha1","47a9b67b6b71f6b55858fafc2c5afc59f0900c63","",1,1632246307,"","","","",""
"9c790729-d016-40cd-bcc5-f8f50be2349d",61233,"Payload delivery","sha256","d83d1ebc7cffb2050517fe68343b2a4cb4e7ed7f45aa2c14a2dff25a8eeb9c8b","",1,1632246307,"","","","",""
"762cfd7d-f0dc-4030-b248-499fbe4e5f13",61233,"Payload delivery","mime-type","PE32+ executable (GUI) x86-64 Mono/.Net assembly, for MS Windows","",0,1632246307,"","","","",""
"aada71af-4437-418c-bce8-4b01c6a57146",61233,"Network activity","url","https://ve0.popmonster.ru/863387648.exe","",1,1632246307,"","","","",""
"98f24f93-ff84-454f-814b-4b712cdaeadb",61233,"Network activity","domain","ve0.popmonster.ru","",1,1632246307,"","","","",""
"2865da55-10a5-4fa5-aea2-c0aaf1f4c79a",61233,"Other","text",".text","",0,1632246307,"name","","dca3cd62-eb74-4dc8-a304-b2cd6af97952","pe-section","file"
"e352c7cc-ff6e-469a-a614-e2375f061f27",61233,"Payload delivery","md5","adca56f9b1054cb92519cff59dec08c9","",1,1632246307,"md5","","dca3cd62-eb74-4dc8-a304-b2cd6af97952","pe-section","file"
"f917872a-f8ef-42e3-af4d-a4d2ea60b101",61233,"Payload delivery","sha1","e645f9586ff26382015d680a18bdc59d00b9f554","",1,1632246307,"sha1","","dca3cd62-eb74-4dc8-a304-b2cd6af97952","pe-section","file"
"4b0db5d7-e889-46e7-924c-12634038f617",61233,"Payload delivery","sha256","05883fe525b119f22ad295c7c6ce0ddeb975c67ed945824364bfd2f2ba64d037","",1,1632246307,"sha256","","dca3cd62-eb74-4dc8-a304-b2cd6af97952","pe-section","file"
"1562830f-4f35-4281-a19f-10dd8356d426",61233,"Other","size-in-bytes",91648,"",0,1632246307,"size-in-bytes","","dca3cd62-eb74-4dc8-a304-b2cd6af97952","pe-section","file"
"950eac84-0445-4998-8fa1-8f8d22f94ae5",61233,"Other","float",6.6484,"",0,1632246307,"entropy","","dca3cd62-eb74-4dc8-a304-b2cd6af97952","pe-section","file"
"dfe1d250-8a43-4582-8f1b-17484d27aa44",61233,"Other","text",".rsrc","",0,1632246308,"name","","e6648394-0dc5-4e5c-8bc0-6c4fe630f945","pe-section","file"
"80ccb27d-87aa-4810-ae71-db934e35f83b",61233,"Payload delivery","md5","fc6c0f3ae3db3af86e2f70dbaf0270b6","",1,1632246308,"md5","","e6648394-0dc5-4e5c-8bc0-6c4fe630f945","pe-section","file"
"dd60fa05-7701-40a4-a77c-02e82beee474",61233,"Payload delivery","sha1","f5ece4d38a3ae88beb188443253e889567f6761e","",1,1632246308,"sha1","","e6648394-0dc5-4e5c-8bc0-6c4fe630f945","pe-section","file"
"48a76898-7ce5-4deb-bec6-602cb619448b",61233,"Payload delivery","sha256","346a38563b89ba5470da2004d719a5a4de8172fbb0b7f549caa2f445a586f4cb","",1,1632246308,"sha256","","e6648394-0dc5-4e5c-8bc0-6c4fe630f945","pe-section","file"
"0f3be382-8558-4e42-8e51-6308d7086455",61233,"Other","size-in-bytes",1536,"",0,1632246308,"size-in-bytes","","e6648394-0dc5-4e5c-8bc0-6c4fe630f945","pe-section","file"
"a69a24f2-e1df-4d8e-a36d-76f7c4edfed8",61233,"Other","float",4.10894,"",0,1632246308,"entropy","","e6648394-0dc5-4e5c-8bc0-6c4fe630f945","pe-section","file"
"a106fcd8-1c82-4112-a631-51f1770feb3b",61233,"External analysis","link","https://www.virustotal.com/gui/file/d83d1ebc7cffb2050517fe68343b2a4cb4e7ed7f45aa2c14a2dff25a8eeb9c8b/detection","",0,1632246308,"permalink","","e4057c24-f880-4a56-8aef-04f79af36af7","virustotal-report","misc"
"b43df53a-2a70-4285-907a-2569a9ebf60d",61233,"Other","datetime","2021-09-21T06:06:01.000000+0000","",0,1632246308,"last-submission","","e4057c24-f880-4a56-8aef-04f79af36af7","virustotal-report","misc"
"5d2534b4-1425-4f46-a912-070f17a6802e",61233,"Other","text","47/69","",0,1632246308,"detection-ratio","","e4057c24-f880-4a56-8aef-04f79af36af7","virustotal-report","misc"

