uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"d2ffa2ea-a40b-4723-9222-72a8ed9d2540",5648,"Payload delivery","filename","next.exe","",0,1717698473,"","","","",""
"62e33905-d0f6-4c4f-bf3a-bffca89985c1",5648,"Payload delivery","md5","801de46b2c66cd9de4e42994e453b705","",1,1717698473,"","","","",""
"2fa74169-0707-4f20-8f7a-0bf4b2113f64",5648,"Payload delivery","sha1","e6f7f7d4e06c9948d062a5bad25da7d6f2ce1199","",1,1717698473,"","","","",""
"d3326f25-cf6c-4e48-8ea3-0766e27f3722",5648,"Payload delivery","sha256","2bd21cf977d4b6792c2170618fd428a4335b7bf8c909f0dd47ecc65aedf9cd9a","",1,1717698473,"","","","",""
"7d1d0d82-a92a-4ea9-9ea0-a5a45447923e",5648,"Payload delivery","mime-type","application/x-dosexec","",0,1717698473,"","","","",""
"2ac98dc2-3487-4e30-993e-c2cc4f7c2084",5648,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1717698473,"","","","",""
"a4d9bcbf-a469-430e-a3a6-284663289c22",5648,"Network activity","url","http://77.91.77.81/lend/next.exe","",1,1717698473,"","","","",""
"b6d472f9-e984-4ec5-b3d1-b77f4c584eda",5648,"Network activity","ip-dst","77.91.77.81","",1,1717698473,"","","","",""
"7a39dd3d-46e8-441a-981a-81084927bce9",5648,"Other","text",".text","",0,1717698473,"name","","46817e3b-f8de-4032-88b6-e9d7c795b0e2","pe-section","file"
"cea0beca-4d6b-407f-8f8f-320ddf58a9a1",5648,"Payload delivery","md5","c46ccda86f27b79156800cb86f782221","",1,1717698473,"md5","","46817e3b-f8de-4032-88b6-e9d7c795b0e2","pe-section","file"
"9f87f047-de1d-4b84-bc2b-4da4703929da",5648,"Payload delivery","sha1","618af13fe3418374c3227ef4c5e12249f3258e2a","",1,1717698473,"sha1","","46817e3b-f8de-4032-88b6-e9d7c795b0e2","pe-section","file"
"a42d17f9-7d2f-4f3f-9ab3-75e48c003346",5648,"Payload delivery","sha256","c2b29a9fb89df94c9c65aaf3f222a2352972c91841a96e0d94943634ae11bfb9","",1,1717698473,"sha256","","46817e3b-f8de-4032-88b6-e9d7c795b0e2","pe-section","file"
"af49fd00-fac0-4950-aa37-f32300211055",5648,"Other","size-in-bytes",17000960,"",0,1717698473,"size-in-bytes","","46817e3b-f8de-4032-88b6-e9d7c795b0e2","pe-section","file"
"4f2c9766-f98a-4797-890e-78c9c1d63d3c",5648,"Other","float",7.99996,"",0,1717698473,"entropy","","46817e3b-f8de-4032-88b6-e9d7c795b0e2","pe-section","file"
"99433d73-710e-4be9-9f41-ff709de96894",5648,"Other","text",".rsrc","",0,1717698473,"name","","61f1f5ca-40b2-4920-b791-a72dac761775","pe-section","file"
"b1bf72ac-1e24-48f3-9ac9-3b60d1e61b8e",5648,"Payload delivery","md5","4e06baf70099e908163461721aae6b0f","",1,1717698473,"md5","","61f1f5ca-40b2-4920-b791-a72dac761775","pe-section","file"
"93dd5cab-3ed6-4ba4-8a7b-63491c1b1976",5648,"Payload delivery","sha1","14d9a9d0955b9bf3244be35dec38bb9c4202ea2f","",1,1717698473,"sha1","","61f1f5ca-40b2-4920-b791-a72dac761775","pe-section","file"
"e18fda1d-eb63-4f9d-989f-05cefbe8abfb",5648,"Payload delivery","sha256","82e472ecdc880914a8dbca4b0d86bc16ad12fe314b8f642d6c96564cf7190353","",1,1717698473,"sha256","","61f1f5ca-40b2-4920-b791-a72dac761775","pe-section","file"
"6962dd9a-9f51-496a-9b93-c4dc294cac7e",5648,"Other","size-in-bytes",1536,"",0,1717698473,"size-in-bytes","","61f1f5ca-40b2-4920-b791-a72dac761775","pe-section","file"
"91fd7a66-6030-4a21-bb1b-6563b3906a7d",5648,"Other","float",3.70547,"",0,1717698473,"entropy","","61f1f5ca-40b2-4920-b791-a72dac761775","pe-section","file"
