uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"2970dbe3-eb6a-4e40-ae78-bf5bdf35521b",8212,"Payload delivery","filename","iknn.exe","",0,1648457346,"","","","",""
"bc489655-fcce-48b9-9f3a-214ed5c1916c",8212,"Payload delivery","md5","8d4a4c48639dc2ea5557ab5b8004b479","",1,1648457346,"","","","",""
"1bcec67a-09fd-45e5-be42-31b187bf9331",8212,"Payload delivery","sha1","35e4de534de576b02ca9e1fea5bcbba917213465","",1,1648457346,"","","","",""
"c1292c95-b24f-45bf-b089-5a4f580e7703",8212,"Payload delivery","sha256","cc7308b7f5cd8fdd0916e83b1463f989c3aa03ef2516c6f2a24db3ebe62a41f3","",1,1648457346,"","","","",""
"36f33de0-acc9-4b15-8614-85359dfe4c7c",8212,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows, Nullsoft Installer self-extracting archive","",0,1648457347,"","","","",""
"9f91530d-d6ae-45df-9379-765529cdf158",8212,"Payload delivery","imphash","7fa974366048f9c551ef45714595665e","",0,1648457347,"","","","",""
"6c9c7897-9c8a-45e4-afce-a8398215ee90",8212,"Network activity","url","http://103.94.127.58/iknn.exe","",1,1648457347,"","","","",""
"274bc5d1-5d3a-4e77-9fd4-80f3881baecd",8212,"Network activity","ip-dst","103.94.127.58","",1,1648457347,"","","","",""
"d3eae1ca-89de-4d1d-992d-f12b613f2246",8212,"Other","text",".text","",0,1648457349,"name","","887acaf8-aadf-4fb5-9bd5-ac3c55b45c07","pe-section","file"
"bd7f3ab2-11b7-4c22-9078-325d88a5b51b",8212,"Payload delivery","md5","6bfa289fc453f683cf6ad42723acbb61","",1,1648457349,"md5","","887acaf8-aadf-4fb5-9bd5-ac3c55b45c07","pe-section","file"
"1548e39f-0d3b-40fd-8e49-00c03bc27d14",8212,"Payload delivery","sha1","49def3a9797292d7b65c2880035ab49b845b288b","",1,1648457349,"sha1","","887acaf8-aadf-4fb5-9bd5-ac3c55b45c07","pe-section","file"
"15ad3990-e07c-4d77-935c-c0b7081fa8ff",8212,"Payload delivery","sha256","37fa86c42a797d209b1fed280d07d24b697069557bc5f6c6925f6e5462e07459","",1,1648457349,"sha256","","887acaf8-aadf-4fb5-9bd5-ac3c55b45c07","pe-section","file"
"9709a5fb-c45a-4115-90d2-4623d0b8df49",8212,"Other","size-in-bytes",23552,"",0,1648457349,"size-in-bytes","","887acaf8-aadf-4fb5-9bd5-ac3c55b45c07","pe-section","file"
