uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"370d0a03-22f1-4d80-ac43-08b99dc575db",34581,"Payload delivery","filename","handdiy_2.exe","",0,1678731575,"","","","",""
"ab580af9-24c2-45c9-9970-35fe23496e78",34581,"Payload delivery","md5","a451f53ee83063ba1d7ca92d76b35f89","",1,1678731575,"","","","",""
"59105493-a6a4-4e6f-b7a3-ff1abfd68bc5",34581,"Payload delivery","sha1","9c283e55e6d15f47106d65950253183f12a01ed9","",1,1678731575,"","","","",""
"d9476964-6bed-4de3-8a89-4fe6723f40e7",34581,"Payload delivery","sha256","4cebc317838f7c29e49e85c4fdae46a636b43fe1a5eb93b6af4e91b6ccb44bf6","",1,1678731575,"","","","",""
"3f35a59f-4c76-473a-b5e9-724c56b58540",34581,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1678731575,"","","","",""
"5b02c0ab-7d6d-4445-8c7c-86e626a91c1d",34581,"Payload delivery","imphash","b1e867ef87efb215fbaa4877aa8fac3e","",0,1678731575,"","","","",""
"55c6820f-02c9-47d8-965c-a8ce9a3c54ce",34581,"Network activity","url","http://www.cpasdrole.com/handdiy_2.exe","",1,1678731575,"","","","",""
"e8534d8a-ee8e-40fb-a8bb-4bb9fa3e7a33",34581,"Network activity","domain","www.cpasdrole.com","",1,1678731575,"","","","",""
"f54a840c-b8b9-4d87-b122-78a32abe46b8",34581,"Other","text",".text","",0,1678731575,"name","","7979bfb7-b253-42ec-abfa-7fd12db0aef6","pe-section","file"
"265134e6-b9f3-46fe-b87b-610be136e245",34581,"Payload delivery","md5","6629b78e2713ad2cc23f082521d81185","",1,1678731575,"md5","","7979bfb7-b253-42ec-abfa-7fd12db0aef6","pe-section","file"
"fba60d1d-d43f-4d28-82e2-61a25d2d339f",34581,"Payload delivery","sha1","7db133bc7bb36697d9af36e24c3dc6eaf2a00b43","",1,1678731575,"sha1","","7979bfb7-b253-42ec-abfa-7fd12db0aef6","pe-section","file"
"f7859aed-cb85-4bfa-96fa-eb72bdb5c2c5",34581,"Payload delivery","sha256","d67e0317f1ac3842519acc020b29c5cdb14d10f0c9bbad1e757e7bcafbc38bde","",1,1678731575,"sha256","","7979bfb7-b253-42ec-abfa-7fd12db0aef6","pe-section","file"
"f71e43f1-7f96-4a75-824d-e4238721652c",34581,"Other","size-in-bytes",1197056,"",0,1678731575,"size-in-bytes","","7979bfb7-b253-42ec-abfa-7fd12db0aef6","pe-section","file"
"40ed1b4c-357d-41de-9f3a-f4a324f8424e",34581,"Other","float",6.56023,"",0,1678731575,"entropy","","7979bfb7-b253-42ec-abfa-7fd12db0aef6","pe-section","file"
"2fc96ab0-59cb-487f-8dab-fc8f2f169ddb",34581,"Other","text",".ubvuvmd","",0,1678731575,"name","","9c40d7c2-15aa-4e19-aba4-376e51bdad1f","pe-section","file"
"190415ce-6558-4b35-88fe-3ee8e4ef24c5",34581,"Payload delivery","md5","885b24c6a8c9d2869b3d050b7ba2439d","",1,1678731575,"md5","","9c40d7c2-15aa-4e19-aba4-376e51bdad1f","pe-section","file"
"3befb92a-79c1-45da-9ebf-99b276a9d813",34581,"Payload delivery","sha1","b280cef5f7842af742e1ac49bab69854d320b1ee","",1,1678731575,"sha1","","9c40d7c2-15aa-4e19-aba4-376e51bdad1f","pe-section","file"
"4c23c340-c1c0-4f88-b22f-15dc3c04cbb9",34581,"Payload delivery","sha256","37ce2b63b4a572532dcdab60206a6f39e4e256095457988d83398a5c42483e7b","",1,1678731575,"sha256","","9c40d7c2-15aa-4e19-aba4-376e51bdad1f","pe-section","file"
"cd44351c-b489-4460-8ff3-7a54b6785e2e",34581,"Other","size-in-bytes",20992,"",0,1678731575,"size-in-bytes","","9c40d7c2-15aa-4e19-aba4-376e51bdad1f","pe-section","file"
"5479471b-31c0-4dc5-8593-5ba440242837",34581,"Other","float",5.98193,"",0,1678731575,"entropy","","9c40d7c2-15aa-4e19-aba4-376e51bdad1f","pe-section","file"
"31b868e5-bd1f-4fd9-908e-713ff73306f0",34581,"Other","text",".rdata","",0,1678731576,"name","","ed3e1a5f-664a-4845-84b0-5330e26f7518","pe-section","file"
"cfa479ef-5cad-4ef8-a12d-0e5691163c83",34581,"Payload delivery","md5","577dab3eb75e026bb32123234fda2aef","",1,1678731576,"md5","","ed3e1a5f-664a-4845-84b0-5330e26f7518","pe-section","file"
"dc855159-c754-4340-9928-918edab1ccd4",34581,"Payload delivery","sha1","73adf95f9b04fb1c2a2944ea9d89d98951d02d8f","",1,1678731576,"sha1","","ed3e1a5f-664a-4845-84b0-5330e26f7518","pe-section","file"
"d34fe3ce-974a-4424-8d88-69dd9fecee94",34581,"Payload delivery","sha256","f8f53f248b01117df672993be1d675d986884157ecd961d4766d26e1011fb3a3","",1,1678731576,"sha256","","ed3e1a5f-664a-4845-84b0-5330e26f7518","pe-section","file"
"19cdedd8-7965-4e91-8436-6da8d0ea30aa",34581,"Other","size-in-bytes",181760,"",0,1678731576,"size-in-bytes","","ed3e1a5f-664a-4845-84b0-5330e26f7518","pe-section","file"
"b7c80047-9da2-45f8-a14a-0c02449d257d",34581,"Other","float",5.87223,"",0,1678731576,"entropy","","ed3e1a5f-664a-4845-84b0-5330e26f7518","pe-section","file"
"a43f1809-45df-4d41-ae25-982661c7e8fd",34581,"Other","text",".data","",0,1678731576,"name","","ce9fe540-8578-479a-8a3b-d289097d7451","pe-section","file"
"fcf7e1e6-28fe-483b-82d4-d664e21f94f1",34581,"Payload delivery","md5","277a5d139a77c4231ed3f9a68f6fb052","",1,1678731576,"md5","","ce9fe540-8578-479a-8a3b-d289097d7451","pe-section","file"
"bc21c9ce-344c-4f51-a7a5-552985d92b98",34581,"Payload delivery","sha1","09ee16767af869cec2905df8ea20969270551846","",1,1678731576,"sha1","","ce9fe540-8578-479a-8a3b-d289097d7451","pe-section","file"
"f34ace6b-3d8f-423f-9292-88e85bab2796",34581,"Payload delivery","sha256","d62cbef1a4599a7236c3c5a8d4b15ea1d6733e830036ac51841a9256639164ae","",1,1678731576,"sha256","","ce9fe540-8578-479a-8a3b-d289097d7451","pe-section","file"
"51d0fa6b-b2d5-4828-a5d3-28ade25b5ba9",34581,"Other","size-in-bytes",11776,"",0,1678731576,"size-in-bytes","","ce9fe540-8578-479a-8a3b-d289097d7451","pe-section","file"
"6f09e284-23cc-4d9a-b8d7-ab7a4b799893",34581,"Other","float",3.92007,"",0,1678731576,"entropy","","ce9fe540-8578-479a-8a3b-d289097d7451","pe-section","file"
"a52d1c35-977c-41ff-b35e-0397f7607b05",34581,"Other","text",".ubvuvmd","",0,1678731576,"name","","95d54bb9-46b3-41fa-89fd-e11d1278299d","pe-section","file"
"97d2a4dd-09f5-4bd7-98eb-151690012033",34581,"Payload delivery","md5","bf619eac0cdf3f68d496ea9344137e8b","",1,1678731576,"md5","","95d54bb9-46b3-41fa-89fd-e11d1278299d","pe-section","file"
"f961077c-c887-42e9-b8a4-794719358817",34581,"Payload delivery","sha1","5c3eb80066420002bc3dcc7ca4ab6efad7ed4ae5","",1,1678731576,"sha1","","95d54bb9-46b3-41fa-89fd-e11d1278299d","pe-section","file"
"a519beb9-9ac3-4907-9eea-66fa3b1e8718",34581,"Payload delivery","sha256","076a27c79e5ace2a3d47f9dd2e83e4ff6ea8872b3c2218f66c92b89b55f36560","",1,1678731576,"sha256","","95d54bb9-46b3-41fa-89fd-e11d1278299d","pe-section","file"
"53c8cac3-1dc7-476c-a136-7cd64dd5237b",34581,"Other","size-in-bytes",512,"",0,1678731576,"size-in-bytes","","95d54bb9-46b3-41fa-89fd-e11d1278299d","pe-section","file"
"fca4cc35-7e81-47bc-83a7-a5f067bb6c3e",34581,"Other","float",0,"",0,1678731576,"entropy","","95d54bb9-46b3-41fa-89fd-e11d1278299d","pe-section","file"
