uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"ce6f432c-c819-4b40-b596-466de250c66b",32077,"Payload delivery","filename","Mozi.m","",0,1674393728,"","","","",""
"e5844456-c971-407a-9a37-69bbfcbe1ac9",32077,"Payload delivery","md5","8d026bd39a6fab958b2eac24e276d97a","",1,1674393728,"","","","",""
"9b69e982-9182-486c-aac9-c55d6ce7dd53",32077,"Payload delivery","sha1","e2f7f9d1ac393b2042fd1d0082e227da6b0b8f12","",1,1674393728,"","","","",""
"7d969d92-0c29-4531-a9b3-5b05b5bedf15",32077,"Payload delivery","sha256","9a1e398702b7730eefa2541f69ea73fa002fca9c15a50579acc5468f452544d7","",1,1674393728,"","","","",""
"7ce72b44-84cb-49bc-ace7-e9213d5e8058",32077,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, no section header","",0,1674393728,"","","","",""
"fa129486-80e2-49a4-9532-f137bb572d1a",32077,"Network activity","url","http://27.45.95.226:51957/Mozi.m","",1,1674393728,"","","","",""
"a807b878-3b59-4190-abf7-0893567f5b18",32077,"Network activity","ip-dst","27.45.95.226","",1,1674393728,"","","","",""
"03810354-7c40-4b5f-b154-e0e341053631",32077,"External analysis","link","https://www.virustotal.com/gui/file/9a1e398702b7730eefa2541f69ea73fa002fca9c15a50579acc5468f452544d7/detection","",0,1674393728,"permalink","","53903b49-2412-4869-9a31-154959650fdf","virustotal-report","misc"
"438ed43e-aa4c-49e1-b144-0e0b91483f2c",32077,"Other","datetime","2022-12-10T07:24:06.000000+0000","",0,1674393728,"last-submission","","53903b49-2412-4869-9a31-154959650fdf","virustotal-report","misc"
"53012537-9fd2-4a82-9c5f-cd0d51164c64",32077,"Other","text","18/63","",0,1674393728,"detection-ratio","","53903b49-2412-4869-9a31-154959650fdf","virustotal-report","misc"

