uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"48391fdc-bd44-49f9-ba50-daa9e67400a6",11180,"Payload delivery","filename","66df15b8b2c4b_omnitracking.exe","",0,1727487583,"","","","",""
"99d9f7ee-f2b8-45fd-8577-f686aa3e8521",11180,"Payload delivery","md5","c86bfa59db258e777196709f7ca36774","",1,1727487583,"","","","",""
"d5889aec-e86d-45ed-b53f-3ffca9318046",11180,"Payload delivery","sha1","cc2d5f8ff4d5405c12b87e01ae13d79f898282f4","",1,1727487583,"","","","",""
"2ed849d6-8b6b-4833-9c3e-69f9a55b0dd5",11180,"Payload delivery","sha256","5659f401e9c479d51bf256092e8d7b0c00abc6286e7f3b2d7f527995a145593d","",1,1727487583,"","","","",""
"98252b0a-1499-4f6b-a697-5a7116e7b231",11180,"Payload delivery","mime-type","application/x-dosexec","",0,1727487583,"","","","",""
"5543e92d-288b-416f-830b-680b70dfd80a",11180,"Payload delivery","imphash","40ab50289f7ef5fae60801f88d4541fc","",0,1727487583,"","","","",""
"9a5dac08-d349-470a-af46-d7eb43fdfa5e",11180,"Network activity","url","http://147.45.44.104/yuop/66df15b8b2c4b_omnitracking.exe","",1,1727487583,"","","","",""
"f456ada9-5069-46da-8272-dd6ea986d4c2",11180,"Network activity","ip-dst","147.45.44.104","",1,1727487583,"","","","",""
"632c131e-5a87-45ef-8c88-06a1e8f24d8e",11180,"Other","text",".text","",0,1727487583,"name","","64bfa4b7-50cb-4283-8da4-6a1eaa88c432","pe-section","file"
"434ca0e4-8eda-4989-b460-dfb91d7b8895",11180,"Payload delivery","md5","b889d302f6fc48a904de33d8d947ae80","",1,1727487583,"md5","","64bfa4b7-50cb-4283-8da4-6a1eaa88c432","pe-section","file"
"9545cc3e-fa12-41c2-a353-0812bd510ecb",11180,"Payload delivery","sha1","631854a32b101ffb32be28f95233f07ada997f31","",1,1727487583,"sha1","","64bfa4b7-50cb-4283-8da4-6a1eaa88c432","pe-section","file"
"b19e9c99-da85-406d-82c9-c8815d349cfb",11180,"Payload delivery","sha256","551f3a998c5d32cff8f58dd5c34a7e2aa5f6311a3e08553f8afc7a5872f0830d","",1,1727487584,"sha256","","64bfa4b7-50cb-4283-8da4-6a1eaa88c432","pe-section","file"
"8140d446-6009-423e-a0be-54bac7b79c0c",11180,"Other","size-in-bytes",677888,"",0,1727487584,"size-in-bytes","","64bfa4b7-50cb-4283-8da4-6a1eaa88c432","pe-section","file"
"c956c435-3879-4251-9700-675a0ff49574",11180,"Other","float",6.37719,"",0,1727487584,"entropy","","64bfa4b7-50cb-4283-8da4-6a1eaa88c432","pe-section","file"
"bd217860-210e-4bbf-9ebc-968ace2d02c1",11180,"Other","text",".itext","",0,1727487584,"name","","5f2679b3-9f15-412a-9fd0-f2e14959d812","pe-section","file"
"d2c7ece3-f0fc-4e17-a8de-0af5ae2471e8",11180,"Payload delivery","md5","588dd0a8ab499300d3701cbd11b017d9","",1,1727487584,"md5","","5f2679b3-9f15-412a-9fd0-f2e14959d812","pe-section","file"
"366d432d-000e-4761-9c15-8aeb00c60ba9",11180,"Payload delivery","sha1","daa72022eeba5d1f662627399109e1ad10259292","",1,1727487584,"sha1","","5f2679b3-9f15-412a-9fd0-f2e14959d812","pe-section","file"
"ac940842-cc83-4572-a250-51b6edace6b0",11180,"Payload delivery","sha256","a82d14af241c308c43746a82a65e8598ba048304ae22b4c5e4fcd981d24c48df","",1,1727487584,"sha256","","5f2679b3-9f15-412a-9fd0-f2e14959d812","pe-section","file"
"481d51d0-12a6-46a3-a9c3-de98d7e57d8e",11180,"Other","size-in-bytes",7168,"",0,1727487584,"size-in-bytes","","5f2679b3-9f15-412a-9fd0-f2e14959d812","pe-section","file"
"2fc16862-4bf1-4559-bcd7-cda1ecb8c1f3",11180,"Other","float",6.10926,"",0,1727487584,"entropy","","5f2679b3-9f15-412a-9fd0-f2e14959d812","pe-section","file"
"a34bbb7e-936b-4064-acf4-597b11f2ccb3",11180,"Other","text",".data","",0,1727487584,"name","","be446b3f-3912-4471-ac00-600bfd15d879","pe-section","file"
"d6919a50-c40e-474b-bf61-653a11e4169d",11180,"Payload delivery","md5","5c0c76e77aef52ebc6702430837ccb6e","",1,1727487584,"md5","","be446b3f-3912-4471-ac00-600bfd15d879","pe-section","file"
"d4fc79fb-1f16-4c18-bf4b-42d2e92a089b",11180,"Payload delivery","sha1","ba7dbb2689a94327d20535cad24689725d9f0dd8","",1,1727487584,"sha1","","be446b3f-3912-4471-ac00-600bfd15d879","pe-section","file"
