uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"58addd34-4308-42dc-9f47-ee1d6700fda2",4019,"Payload delivery","filename","8443nobeacon","",0,1716362609,"","","","",""
"f2d86a62-330a-429c-b4d4-b455b0b6d9a8",4019,"Payload delivery","md5","3c4e95f530affafd33722b75a2910dfa","",1,1716362609,"","","","",""
"00e6104d-5cfa-4616-8bd4-b6909965162a",4019,"Payload delivery","sha1","88ac9e3b7db5acb8810d6a43c1e3194becc07d14","",1,1716362609,"","","","",""
"d593cded-4405-4a11-94cc-149d375d5cd4",4019,"Payload delivery","sha256","82e7dd63f21d794e5925d309ca68adfad60895e89977cffe80d261884220a9c2","",1,1716362609,"","","","",""
"3def5a96-14f3-4d34-b7ea-7a0fb7431b13",4019,"Payload delivery","mime-type","application/x-executable","",0,1716362609,"","","","",""
"771d306d-ceef-4267-9946-328376d83807",4019,"Network activity","url","http://156.245.13.101:8000/8443nobeacon","",1,1716362609,"","","","",""
"48659582-a92b-4355-a500-fbb7763d7d7d",4019,"Network activity","ip-dst","156.245.13.101","",1,1716362609,"","","","",""
"021e8597-59d2-4c6a-9896-286a488b9514",4019,"External analysis","link","https://www.virustotal.com/gui/file/82e7dd63f21d794e5925d309ca68adfad60895e89977cffe80d261884220a9c2/detection","",0,1716362609,"permalink","","046afdd5-2fec-4371-899c-1e4119cb9fcc","virustotal-report","misc"
"52739944-0930-45a1-a059-fc76858eddbf",4019,"Other","datetime","2024-05-07T10:40:54.000000+0000","",0,1716362609,"last-submission","","046afdd5-2fec-4371-899c-1e4119cb9fcc","virustotal-report","misc"
"8befc271-8c85-4112-87d6-91892a7de174",4019,"Other","text","36/64","",0,1716362609,"detection-ratio","","046afdd5-2fec-4371-899c-1e4119cb9fcc","virustotal-report","misc"

