uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"9ac0fec2-c8aa-445d-a68f-741bc474c370",42395,"Payload delivery","filename","assailant.x86","",0,1609569923,"","","","",""
"f9f51bb5-727a-453a-9436-0f21e60c6813",42395,"Payload delivery","md5","6f8ad38727972552918d1590fe7d7045","",1,1609569923,"","","","",""
"67e29be8-fe38-45cf-8264-7b123f7a58a0",42395,"Payload delivery","sha1","258433e38728650470f2ff42e314f33a6ded32f4","",1,1609569923,"","","","",""
"ebc3e755-a88a-4edc-840b-3098e84c681a",42395,"Payload delivery","sha256","62ae5c2294aa7e3440ef5838ec47d02849ae3982c3b65d979d4b02b4bb9bb53c","",1,1609569923,"","","","",""
"236a5d10-b384-436e-9302-8677a93f5d28",42395,"Payload delivery","mime-type","ELF 64-bit LSB executable, x86-64, version 1 (SYSV), statically linked, not stripped","",0,1609569923,"","","","",""
"3c0f4bf1-910a-4197-aca8-322b18ff22a6",42395,"Network activity","url","http://172.245.52.170/assailant.x86","",1,1609569923,"","","","",""
"46da61f0-dd5d-4be3-b726-1e86db2fe205",42395,"Network activity","ip-dst","172.245.52.170","",1,1609569923,"","","","",""
"7b83a7f0-2734-441f-a543-c4b5d0bba0e3",42395,"External analysis","link","https://www.virustotal.com/gui/file/62ae5c2294aa7e3440ef5838ec47d02849ae3982c3b65d979d4b02b4bb9bb53c/detection","",0,1609569924,"permalink","","331f1215-865a-4c80-b2df-baa3432a95b1","virustotal-report","misc"
"1de95bf4-0a32-4648-81b0-544949973c49",42395,"Other","datetime","2020-12-31T09:12:34.000000+0000","",0,1609569924,"last-submission","","331f1215-865a-4c80-b2df-baa3432a95b1","virustotal-report","misc"
"fb00cec0-e729-4ea5-b5f3-0317bdc9bda6",42395,"Other","text","35/63","",0,1609569924,"detection-ratio","","331f1215-865a-4c80-b2df-baa3432a95b1","virustotal-report","misc"

