uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"53474229-3a9c-44cc-8916-251183e1511b",11724,"Payload delivery","filename","66fb253552d8d_sdhgdfsd.exe","",0,1727761810,"","","","",""
"a61e67cc-2918-4d32-b3ff-875e0c5c1618",11724,"Payload delivery","md5","dfd49d1326704cfeee9852999782e4b6","",1,1727761810,"","","","",""
"a34c09e9-f4f3-426e-91d1-153f5e2ddcd9",11724,"Payload delivery","sha1","4bd1c441c55ec55a1cac7ca2bfe786a739cb01a4","",1,1727761810,"","","","",""
"8d35a7da-7ef1-40b5-817c-a87b29900a9e",11724,"Payload delivery","sha256","2280a0c18708cb5fd0e093e2f42350e3afb8f3ca31fd3279fc797a6c535532ef","",1,1727761810,"","","","",""
"a35cdf18-0ac0-4aeb-bdd3-1f9e7967d9ae",11724,"Payload delivery","mime-type","application/x-dosexec","",0,1727761810,"","","","",""
"6703e245-0566-481e-a50f-5e0d6bca9c78",11724,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1727761810,"","","","",""
"dd79110e-1f79-49e8-8b7f-47fed2a37441",11724,"Network activity","url","http://147.45.44.104/ldms/66fb253552d8d_sdhgdfsd.exe","",1,1727761810,"","","","",""
"a32b8511-0562-410b-ac15-7e49daf7a6d6",11724,"Network activity","ip-dst","147.45.44.104","",1,1727761810,"","","","",""
"1328fd54-7734-4653-a722-0fffcbbde35b",11724,"Other","text",".text","",0,1727761810,"name","","9fcf3a79-88b2-43a9-ab31-66ca594bc8ea","pe-section","file"
"7e931288-7c84-4397-8595-6227e03be886",11724,"Payload delivery","md5","742521cf21ed86e55132fe2d2e0f30cb","",1,1727761810,"md5","","9fcf3a79-88b2-43a9-ab31-66ca594bc8ea","pe-section","file"
"d7f27811-ab96-4f33-8cb9-76b2d2bf1c95",11724,"Payload delivery","sha1","3ffe0da3ae57f473c702f67a4de82177a6921221","",1,1727761810,"sha1","","9fcf3a79-88b2-43a9-ab31-66ca594bc8ea","pe-section","file"
"9830ea2c-f9fe-457e-b7f9-26b6b242ffc8",11724,"Payload delivery","sha256","a15fe0935f23b96982086b9d42f7e43f6713ced5923a7aff2f8326cbebee3883","",1,1727761810,"sha256","","9fcf3a79-88b2-43a9-ab31-66ca594bc8ea","pe-section","file"
"749591f2-3cda-4bd8-98fe-72b843c4ec49",11724,"Other","size-in-bytes",322560,"",0,1727761810,"size-in-bytes","","9fcf3a79-88b2-43a9-ab31-66ca594bc8ea","pe-section","file"
"09ceca58-21ed-4e0c-b083-546c8816f1b0",11724,"Other","float",7.99334,"",0,1727761810,"entropy","","9fcf3a79-88b2-43a9-ab31-66ca594bc8ea","pe-section","file"
"63f866fa-3708-4c87-9a91-d4ec108810fe",11724,"Other","text",".rsrc","",0,1727761810,"name","","c26fc681-8e85-45b8-bcb1-1803dfcf9af8","pe-section","file"
