uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"25ff664c-fd98-447d-9da0-9744380b897c",40563,"Payload delivery","filename","cron","",0,1607998165,"","","","",""
"f018358e-96b7-42b0-9003-3e50a06f2736",40563,"Payload delivery","md5","fc71abd319ad80aadfe771f2974acd01","",1,1607998165,"","","","",""
"561f269f-9596-47bc-829f-c9047b1367ba",40563,"Payload delivery","sha1","64aa5d5e2721e0cb87420362b180d35ba7faf246","",1,1607998165,"","","","",""
"3a4e536b-e4e5-433c-b621-a714c82a5b6f",40563,"Payload delivery","sha256","b52cef51e0aba58d68b0307067a7530e23d0cfb9783bbf394b9c8f7440ab4ea8","",1,1607998165,"","","","",""
"ee0804ef-77ee-4eeb-9781-74b26899607b",40563,"Payload delivery","mime-type","ELF 32-bit MSB executable, PowerPC or cisco 4500, version 1 (SYSV), statically linked, not stripped","",0,1607998165,"","","","",""
"9d8009ea-06a6-4814-903a-16ba9985b40d",40563,"Network activity","url","http://104.168.96.11/cron","",1,1607998165,"","","","",""
"d0c80f63-7567-44c2-8eb4-0bee9ce653c9",40563,"Network activity","ip-dst","104.168.96.11","",1,1607998165,"","","","",""
"7bd187a3-8e12-426e-9b66-1292dbfa21a6",40563,"External analysis","link","https://www.virustotal.com/gui/file/b52cef51e0aba58d68b0307067a7530e23d0cfb9783bbf394b9c8f7440ab4ea8/detection","",0,1607998166,"permalink","","120158a9-a765-449e-bac6-a5cc618bbae5","virustotal-report","misc"
"c220639c-6862-460e-88c1-63f525f417da",40563,"Other","datetime","2020-12-14T23:45:51.000000+0000","",0,1607998166,"last-submission","","120158a9-a765-449e-bac6-a5cc618bbae5","virustotal-report","misc"
"e2a6172f-dc69-4029-8c34-fa538a080cba",40563,"Other","text","34/62","",0,1607998166,"detection-ratio","","120158a9-a765-449e-bac6-a5cc618bbae5","virustotal-report","misc"

