uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"2923c108-5548-492e-a743-3f2f53dd95e4",12179,"Payload delivery","filename","Fin.exe","",0,1699266992,"","","","",""
"06f62139-c874-4b8e-ba7f-d2027b579e75",12179,"Payload delivery","md5","9a74b1ba74ac2d16123e5597b8653ea6","",1,1699266992,"","","","",""
"d45c2ebd-aa91-4795-999a-49f1aadb5574",12179,"Payload delivery","sha1","e21f78e5842db9fb0fdae016a5bc122a54a7355c","",1,1699266992,"","","","",""
"7b022d9e-0f5d-467d-8a89-4d350cc443f2",12179,"Payload delivery","sha256","282e06386bd273690ef802e5751ac7e880209eebccdd44ca645c86a799999740","",1,1699266992,"","","","",""
"e4a857b6-74dd-4477-89e2-027943aca6f6",12179,"Payload delivery","mime-type","application/x-dosexec","",0,1699266992,"","","","",""
"6d50e047-af07-4f5f-bf42-61f9674d6647",12179,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1699266992,"","","","",""
"51146621-a0a0-4957-b2da-2bc077b8dd96",12179,"Network activity","url","https://transfer.sh/get/yEluWmSR2b/Fin.exe","",1,1699266992,"","","","",""
"8ff47b9b-09d5-4eea-94c4-0fc2e1453b4d",12179,"Network activity","domain","transfer.sh","Domain listed as False Positive in OSINT.DigitalSide.IT whitelist",0,1699266992,"","","","",""
"033ba303-754d-4277-9ea9-cc2f40f14931",12179,"Other","text",".text","",0,1699266992,"name","","6bd49895-1a2f-416f-8a52-9f2e288be6a1","pe-section","file"
"d435e753-d794-4704-8d06-3d3233ae3126",12179,"Payload delivery","md5","3586d1cd5ac509260127d997bd5f8913","",1,1699266992,"md5","","6bd49895-1a2f-416f-8a52-9f2e288be6a1","pe-section","file"
"84abb454-3632-45eb-8179-0db8278ff921",12179,"Payload delivery","sha1","3c1c38f8d96df47503a4b3b78cfb74ca482b41ce","",1,1699266992,"sha1","","6bd49895-1a2f-416f-8a52-9f2e288be6a1","pe-section","file"
"b5796f3e-2530-4e14-bc7b-91d43bfa94c4",12179,"Payload delivery","sha256","ac06ed971678b40a9156463568c480d2764594d97376f0c05e59e174ade9275b","",1,1699266992,"sha256","","6bd49895-1a2f-416f-8a52-9f2e288be6a1","pe-section","file"
"0191c3bb-ccad-4fd6-b75c-0802a2d1b125",12179,"Other","size-in-bytes",475136,"",0,1699266993,"size-in-bytes","","6bd49895-1a2f-416f-8a52-9f2e288be6a1","pe-section","file"
"85bbb3df-3b2b-4700-986b-d6012e3ee7c1",12179,"Other","float",5.47058,"",0,1699266993,"entropy","","6bd49895-1a2f-416f-8a52-9f2e288be6a1","pe-section","file"
"2b09175e-635e-446f-b7ea-daaf5eb31685",12179,"Other","text",".rsrc","",0,1699266993,"name","","6d119d00-d607-4332-9fca-ac26b8289ae3","pe-section","file"
"f41ce26d-33e8-4026-8991-bcacf16a92c5",12179,"Payload delivery","md5","72e0c39d5992d610acf1830403ec4a82","",1,1699266993,"md5","","6d119d00-d607-4332-9fca-ac26b8289ae3","pe-section","file"
"e5dab871-7fe7-40cc-82f2-810c95a2f0cb",12179,"Payload delivery","sha1","ac8cf4555cf08ba5421c388428d4d5913f4bb65d","",1,1699266993,"sha1","","6d119d00-d607-4332-9fca-ac26b8289ae3","pe-section","file"
"cfa5dc67-2790-4cff-8046-cf04eb00c6ca",12179,"Payload delivery","sha256","8f44d8e63a54a9b206b3eb537ccca4ac37b9d7541ac8a86ec6240c46cb8712a2","",1,1699266993,"sha256","","6d119d00-d607-4332-9fca-ac26b8289ae3","pe-section","file"
"7c401a2f-66e1-4312-9f9f-9fda0ba34fb9",12179,"Other","size-in-bytes",1536,"",0,1699266993,"size-in-bytes","","6d119d00-d607-4332-9fca-ac26b8289ae3","pe-section","file"
"e4f7a052-b5ce-455d-baef-6d838238ff2e",12179,"Other","float",4.07284,"",0,1699266993,"entropy","","6d119d00-d607-4332-9fca-ac26b8289ae3","pe-section","file"
"1ae59f16-845c-4438-966b-6b964cd71970",12179,"Other","text",".reloc","",0,1699266993,"name","","5f5ab0c3-5169-45dd-8b72-1d25770ace14","pe-section","file"
"e05d5884-90e1-4789-a272-f1955cbdb379",12179,"Payload delivery","md5","afd41b20a33dbbc996148846c2a3380f","",1,1699266993,"md5","","5f5ab0c3-5169-45dd-8b72-1d25770ace14","pe-section","file"
"4c5d4d88-84c2-47ba-8539-65fb99b70156",12179,"Payload delivery","sha1","8614f7a4c54a6d0dcb4b8c219731c5186dfdbf14","",1,1699266993,"sha1","","5f5ab0c3-5169-45dd-8b72-1d25770ace14","pe-section","file"
"7cdd3b6f-1b5b-48f9-bcf6-6b570f907828",12179,"Payload delivery","sha256","8500afc47efeb69888303c812a2fcd7e096a81c4cda2381fee832fda4d59c48f","",1,1699266993,"sha256","","5f5ab0c3-5169-45dd-8b72-1d25770ace14","pe-section","file"
"bb6a502d-2d63-4467-a976-129f926d6519",12179,"Other","size-in-bytes",512,"",0,1699266993,"size-in-bytes","","5f5ab0c3-5169-45dd-8b72-1d25770ace14","pe-section","file"
"ec40fdf3-a9ed-47af-9416-dbbe8c776ade",12179,"Other","float",0.10191,"",0,1699266993,"entropy","","5f5ab0c3-5169-45dd-8b72-1d25770ace14","pe-section","file"
"c15c6410-e002-4678-bffe-ab2708713651",12179,"External analysis","link","https://www.virustotal.com/gui/file/282e06386bd273690ef802e5751ac7e880209eebccdd44ca645c86a799999740/detection","",0,1699266993,"permalink","","7370e534-13a1-4de9-9267-bc045b38314d","virustotal-report","misc"
"c485b000-7d6a-41ee-89be-b29e8dc40047",12179,"Other","datetime","2023-11-06T09:30:46.000000+0000","",0,1699266993,"last-submission","","7370e534-13a1-4de9-9267-bc045b38314d","virustotal-report","misc"
"4df6e2b7-10b3-4e1c-92c1-a97cff10d8ec",12179,"Other","text","14/72","",0,1699266993,"detection-ratio","","7370e534-13a1-4de9-9267-bc045b38314d","virustotal-report","misc"

