uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"d8231857-684a-4e3a-9b6c-8bada6b0fd71",15868,"Payload delivery","filename","abstract.url","",0,1706197383,"","","","",""
"ecc6b294-3cb8-4fcb-881a-6543785a28bf",15868,"Payload delivery","md5","e3b601a28343c3eb7c8ffcafc492bb0c","",1,1706197383,"","","","",""
"48387aa0-7d70-46e7-b177-d02b8c488302",15868,"Payload delivery","sha1","3d7871ab5d98636e76aa804952ed31697984fa01","",1,1706197383,"","","","",""
"8f25b0da-abbd-48cb-adea-ca8c99a1a4a3",15868,"Payload delivery","sha256","f8595f1826ffca5976f318dd54266c0314d6fa32a223e605f15338eadb6b65cc","",1,1706197383,"","","","",""
"de6795ee-9409-4473-a3f2-7822a2d3e2dc",15868,"Payload delivery","mime-type","text/plain","",0,1706197383,"","","","",""
"f4a4bcd6-6b59-4801-8b41-079d5dc7c7f6",15868,"Network activity","url","http://5.181.159.76/Downloads/abstract.url","",1,1706197383,"","","","",""
"f142e22d-5dd3-4220-a0b9-409666880f7b",15868,"Network activity","ip-dst","5.181.159.76","",1,1706197383,"","","","",""
"3a4ac5a8-0fde-4b9a-9f76-7a376b88a5fb",15868,"Payload delivery","filename","absence%20.url","",0,1706197443,"","","","",""
"69b9956c-66f2-4a0f-85f3-a547f20e4b5c",15868,"Payload delivery","filename","ache.url","",0,1706197502,"","","","",""
"5fa22494-9465-48a9-bc8f-687c2acfa1b7",15868,"Network activity","url","http://5.181.159.76/Downloads/absence%20.url","",1,1706197503,"","","","",""
"c343a845-0952-4588-b145-1f1ca94a16fe",15868,"Payload delivery","filename","a.url","",0,1706197562,"","","","",""
"7f66c256-bb31-4f59-ad45-440248c69a9f",15868,"Network activity","url","http://5.181.159.76/Downloads/ache.url","",1,1706197562,"","","","",""
"1aa6dd9e-3bc2-4131-8303-d3d3cccad6d6",15868,"Payload delivery","filename","accord.url","",0,1706197622,"","","","",""
"ed853cb6-20d3-48ab-8cb9-58d29a9b8748",15868,"Network activity","url","http://5.181.159.76/Downloads/a.url","",1,1706197622,"","","","",""
"e62e8fac-af6f-4992-a275-390226e7ac56",15868,"Payload delivery","filename","absent%20.url","",0,1706197683,"","","","",""
"83e65c4f-d2f8-482c-bc0f-cc4051ebc4bc",15868,"Network activity","url","http://5.181.159.76/Downloads/accord.url","",1,1706197683,"","","","",""
"a8815f07-434d-4946-969e-38ad6d98e374",15868,"Payload delivery","filename","abusive.url","",0,1706197742,"","","","",""
"14c43fde-0a3c-4897-9d41-00cab146bd3e",15868,"Network activity","url","http://5.181.159.76/Downloads/absent%20.url","",1,1706197742,"","","","",""
"c06e3a7d-6bff-4a56-ad6d-fd923309c05f",15868,"Payload delivery","filename","able%20.url","",0,1706197803,"","","","",""
"a3c3364e-d07e-4ac5-a472-a8132c077ad2",15868,"Network activity","url","http://5.181.159.76/Downloads/abusive.url","",1,1706197803,"","","","",""
"7fcc803a-0b7e-4b5d-8795-98dbea72db48",15868,"Payload delivery","filename","above%20.url","",0,1706197863,"","","","",""
"f0c5edd2-d7c1-4e8c-a476-d2eccafb6349",15868,"Network activity","url","http://5.181.159.76/Downloads/able%20.url","",1,1706197863,"","","","",""
"9d04f659-b27c-46b9-80c2-37e68a485d51",15868,"Payload delivery","filename","ability%20.url","",0,1706197922,"","","","",""
"ecfff319-fe30-4767-b19b-eb9e1a5e6efa",15868,"Network activity","url","http://5.181.159.76/Downloads/above%20.url","",1,1706197922,"","","","",""
"d7c9b8af-7c68-4afa-8552-f784a8124ba4",15868,"Payload delivery","filename","abuse%20.url","",0,1706197983,"","","","",""
"01400272-94fb-4b59-974a-e3bd3f78c69c",15868,"Network activity","url","http://5.181.159.76/Downloads/ability%20.url","",1,1706197983,"","","","",""
"095e84e3-34ff-4e5c-b431-174f009e9032",15868,"Payload delivery","filename","about%20.url","",0,1706198042,"","","","",""
"8a589d30-a648-4c21-96e2-4fd31478cedf",15868,"Network activity","url","http://5.181.159.76/Downloads/abuse%20.url","",1,1706198042,"","","","",""
"2834fda5-4f44-4129-b0d9-1ad670c85bf3",15868,"Payload delivery","filename","accountant.url","",0,1706198103,"","","","",""
"af286763-d5ad-4ea2-abca-7321a46f00e8",15868,"Network activity","url","http://5.181.159.76/Downloads/about%20.url","",1,1706198103,"","","","",""
"dae5598e-629b-439d-b69f-d243194bd95b",15868,"Payload delivery","filename","abroad%20.url","",0,1706198162,"","","","",""
"07fdb9d1-ba1f-4988-b094-a7ec0b4e7769",15868,"Network activity","url","http://5.181.159.76/Downloads/accountant.url","",1,1706198162,"","","","",""
"3e55e043-81b1-48a6-af4e-66965d713e18",15868,"Payload delivery","filename","abandon%20.url","",0,1706198222,"","","","",""
"42803521-24d1-41bd-9a12-e4a4ecde5f6d",15868,"Network activity","url","http://5.181.159.76/Downloads/abroad%20.url","",1,1706198222,"","","","",""

