uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"ba35be94-94a5-4c94-860d-115ff2a7d8f9",21597,"Payload delivery","filename","1.exe","",0,1595276625,"","","","",""
"f2367ecc-46f6-458e-8053-e3fbef4e4b4c",21597,"Payload delivery","md5","dcf7add878e1e15a80ae49a24f193a33","",1,1595276625,"","","","",""
"ad178611-5095-4321-9200-6ca3639c950d",21597,"Payload delivery","sha1","d11535a8533a3a70d49c4ee09315bd61dde06ab2","",1,1595276625,"","","","",""
"4a8ab9f4-558b-4a38-a6df-d9dcef4c74ef",21597,"Payload delivery","sha256","eb531fc8e0491b4361a4519110467f475aeb2e418018f97e7e4f1548bca05862","",1,1595276625,"","","","",""
"6f736e25-8889-4d60-8ec0-ca0c0bd25bc7",21597,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1595276625,"","","","",""
"d6ddc275-8f64-4d8a-aa36-76a131c293bc",21597,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1595276625,"","","","",""
"dfff1e27-4b77-47a9-9b9a-156a64b0be61",21597,"Network activity","url","https://class.britishonline.co/admin/user/1.exe","",1,1595276625,"","","","",""
"899badf9-9dc9-4dce-a816-c45760aac6ba",21597,"Network activity","domain","class.britishonline.co","",1,1595276625,"","","","",""
"6f27c914-629b-42d8-b741-9a54ded39f7b",21597,"Other","text",".text","",0,1595276625,"name","","0a1812cd-931f-4abc-9782-231c227a1997","pe-section","file"
"bdf24ff1-123f-4251-b3b1-05c8be1c3a28",21597,"Payload delivery","md5","9b64b0aa0d5a5086cc4038df30963791","",1,1595276625,"md5","","0a1812cd-931f-4abc-9782-231c227a1997","pe-section","file"
"012386cf-e32a-400f-8a54-3e58053d4829",21597,"Payload delivery","sha1","ed7647e04f041bf9fb4d0a4ac5ac1b50570b44ed","",1,1595276625,"sha1","","0a1812cd-931f-4abc-9782-231c227a1997","pe-section","file"
"12f6227a-f126-4956-a9f5-ed6a47c5e21b",21597,"Payload delivery","sha256","65a430be809e22710a51e8d984f75a31be438e67d5e831cebf0983ff1ad1fba7","",1,1595276625,"sha256","","0a1812cd-931f-4abc-9782-231c227a1997","pe-section","file"
"c1356704-1aa4-4c7b-8fbf-59287c00c7cb",21597,"Other","size-in-bytes",578560,"",0,1595276625,"size-in-bytes","","0a1812cd-931f-4abc-9782-231c227a1997","pe-section","file"
"c3f5628b-5bdd-4bb4-b93c-8e7ace22466a",21597,"Other","float",6.18845,"",0,1595276625,"entropy","","0a1812cd-931f-4abc-9782-231c227a1997","pe-section","file"
"53b89a74-a62b-42dd-a9a0-ed45e213a047",21597,"Other","text",".rsrc","",0,1595276626,"name","","86e866c5-9ef4-402d-9f3e-b4015e44328b","pe-section","file"
"64d8af12-7485-422b-8f0c-4241525fde33",21597,"Payload delivery","md5","287a1a9c636387c7316e46b769dd318a","",1,1595276626,"md5","","86e866c5-9ef4-402d-9f3e-b4015e44328b","pe-section","file"
"bb87233f-6795-4446-9b04-22434863ed34",21597,"Payload delivery","sha1","f36f3bdcd876c7566cb4a7c03d13af911536be91","",1,1595276626,"sha1","","86e866c5-9ef4-402d-9f3e-b4015e44328b","pe-section","file"
