uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"f4f8c8a8-ed16-4e64-b4e8-09d558e9ac06",12351,"Payload delivery","filename","build.exe","",0,1699592355,"","","","",""
"11f6c998-e4c1-41e6-9c58-96c01f274667",12351,"Payload delivery","md5","9cded6231bc11b77032dbf321a65a16b","",1,1699592355,"","","","",""
"a292e725-340a-4a17-bb3d-2848673f8161",12351,"Payload delivery","sha1","a91fd07758ac2189920f62e3e6245ba2b91f091b","",1,1699592355,"","","","",""
"eacb5c1c-c6ed-4650-8672-2512e2298db4",12351,"Payload delivery","sha256","97a504256f3e7627c02025fe05e4330d9d8fdf222db845371238da6dc75ddca1","",1,1699592355,"","","","",""
"ee7fdc37-78b4-4e8c-a337-9afb38b429fb",12351,"Payload delivery","mime-type","application/x-dosexec","",0,1699592355,"","","","",""
"8915de3b-d530-4f28-8e71-f58babe96a54",12351,"Payload delivery","imphash","bdd0d029a2e2ed32505aee0758e09d05","",0,1699592355,"","","","",""
"2e8bde26-9187-46d7-a494-a8ef6099b2b2",12351,"Network activity","url","http://gobo13fc.top/build.exe","",1,1699592355,"","","","",""
"8afbb606-739a-4abe-9a29-5b01500ad203",12351,"Network activity","domain","gobo13fc.top","",1,1699592355,"","","","",""
"e66f56bc-a86c-4ee5-8ec2-3be167b0cb1c",12351,"Other","text",".text","",0,1699592355,"name","","f20b0884-0ac2-4e10-bbad-86780af02717","pe-section","file"
"4564fb66-1388-42d7-89f3-f2a451dacf57",12351,"Payload delivery","md5","8ba80403f6d07540d77283825ae9e1df","",1,1699592355,"md5","","f20b0884-0ac2-4e10-bbad-86780af02717","pe-section","file"
"904a2e5c-7348-4511-8e2e-5fe8f67dd6ac",12351,"Payload delivery","sha1","554b0e005fbfb655fdff9c6c1d2cbdb4d6c7c1a5","",1,1699592355,"sha1","","f20b0884-0ac2-4e10-bbad-86780af02717","pe-section","file"
"9bc28840-5ed9-49de-ae40-8f22b71e37c4",12351,"Payload delivery","sha256","801c1e8cdd9272868ba6b435460aa0f99e995f83738355568b5634e5c6c193b5","",1,1699592355,"sha256","","f20b0884-0ac2-4e10-bbad-86780af02717","pe-section","file"
"dca4e924-1d96-4af8-9e59-2ec5d6690020",12351,"Other","size-in-bytes",185856,"",0,1699592355,"size-in-bytes","","f20b0884-0ac2-4e10-bbad-86780af02717","pe-section","file"
"685b2173-d294-4f80-9818-f1d4927f44a5",12351,"Other","float",7.36619,"",0,1699592355,"entropy","","f20b0884-0ac2-4e10-bbad-86780af02717","pe-section","file"
"3c47629b-5afa-44fd-9d02-23e6f18e6610",12351,"Other","text",".data","",0,1699592356,"name","","249f7385-cd13-4691-92ae-3e0cb5d73602","pe-section","file"
"e8874503-936c-40f4-a056-9f57774bb17d",12351,"Payload delivery","md5","37bf84e73103b4ef136720b0825ddceb","",1,1699592356,"md5","","249f7385-cd13-4691-92ae-3e0cb5d73602","pe-section","file"
"6917a006-fbfd-487e-839e-0bb15c3f0954",12351,"Payload delivery","sha1","0deb84ddf39b6e8883ebafd4d0985cb26bd68d3f","",1,1699592356,"sha1","","249f7385-cd13-4691-92ae-3e0cb5d73602","pe-section","file"
"5d6fa1ca-ca73-471d-9cae-7d9c25bb3042",12351,"Payload delivery","sha256","74cdfeb4115c5cb51ec0c4044da9f671dfdc98a575db7b9d9858a0406a74c874","",1,1699592356,"sha256","","249f7385-cd13-4691-92ae-3e0cb5d73602","pe-section","file"
"947f6969-7bff-4b33-a4df-80e920a4c7c8",12351,"Other","size-in-bytes",19456,"",0,1699592356,"size-in-bytes","","249f7385-cd13-4691-92ae-3e0cb5d73602","pe-section","file"
"c3a38bb6-a8f5-4673-b755-b0099b35a4f3",12351,"Other","float",1.57341,"",0,1699592356,"entropy","","249f7385-cd13-4691-92ae-3e0cb5d73602","pe-section","file"
"fb754e27-c836-4f3f-bc7b-50db9c26d5d1",12351,"Other","text",".rsrc","",0,1699592356,"name","","d62138da-e3d7-419c-8249-663c16c17c35","pe-section","file"
"cf3cedcc-5233-44c1-be04-ba3d9e5a8350",12351,"Payload delivery","md5","fab2eca341b1cbfd9aeb352e14c0a556","",1,1699592356,"md5","","d62138da-e3d7-419c-8249-663c16c17c35","pe-section","file"
"a5edff34-e656-4848-b495-2cff8c138585",12351,"Payload delivery","sha1","077a5a134d3c868d1a0ff4f92ee64ad2bdcdf3fd","",1,1699592356,"sha1","","d62138da-e3d7-419c-8249-663c16c17c35","pe-section","file"
"fccb5022-1ff6-461f-97fb-787fc3ffa993",12351,"Payload delivery","sha256","fd393e09a343e886054e68ee895a739f572424f8ece9f851eadae12bd635aba1","",1,1699592356,"sha256","","d62138da-e3d7-419c-8249-663c16c17c35","pe-section","file"
"11b65ca1-8e79-4867-8621-e781e2524778",12351,"Other","size-in-bytes",68096,"",0,1699592356,"size-in-bytes","","d62138da-e3d7-419c-8249-663c16c17c35","pe-section","file"
"cf59d9c0-d3d2-4fda-ab35-dc005fa9cbef",12351,"Other","float",3.57611,"",0,1699592356,"entropy","","d62138da-e3d7-419c-8249-663c16c17c35","pe-section","file"
"3fe4a08a-5900-41ca-b78e-eb5ba79d4f48",12351,"External analysis","link","https://www.virustotal.com/gui/file/97a504256f3e7627c02025fe05e4330d9d8fdf222db845371238da6dc75ddca1/detection","",0,1699592356,"permalink","","65dd32e1-1891-45aa-84ac-23b1f0de1640","virustotal-report","misc"
"3669e74c-9a32-4d38-b323-09145e9c11ad",12351,"Other","datetime","2023-11-10T04:44:51.000000+0000","",0,1699592356,"last-submission","","65dd32e1-1891-45aa-84ac-23b1f0de1640","virustotal-report","misc"
"7d9a80d4-5e6f-4167-b610-27c9acc21123",12351,"Other","text","47/72","",0,1699592356,"detection-ratio","","65dd32e1-1891-45aa-84ac-23b1f0de1640","virustotal-report","misc"

