uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"593cab3c-d994-4ab1-80b4-945f38c60ff9",32733,"Payload delivery","filename","vbc.exe","",0,1675266851,"","","","",""
"3a0e4087-ea1f-4808-bf1e-6755890be1ee",32733,"Payload delivery","md5","09b35406e447813c6aabe80f34bedc4b","",1,1675266851,"","","","",""
"20e9041e-9f75-4750-9de0-34de7391db36",32733,"Payload delivery","sha1","a322fe8de29290306f5ae7642b4452f4fb432115","",1,1675266851,"","","","",""
"6d34cfc7-514e-4c1a-8cd9-b6444d4fc213",32733,"Payload delivery","sha256","ea98f05d2d90731aae39655b1857b68fd99d342cb900fd9d4e132777ab980f42","",1,1675266851,"","","","",""
"948fe375-2868-4831-83ba-f60346a9f2d7",32733,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1675266851,"","","","",""
"b4a2766b-0ca2-4e90-8eea-f5ea488c792f",32733,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1675266851,"","","","",""
"c45a9a9e-cb8f-4661-beec-e96af96d2b67",32733,"Network activity","url","http://192.3.193.148/260/vbc.exe","",1,1675266851,"","","","",""
"e1107fa1-17a6-4ecd-8599-df4a9a636234",32733,"Network activity","ip-dst","192.3.193.148","",1,1675266851,"","","","",""
"278c6fcb-e39d-4f4d-9ad4-e51538c099e3",32733,"Other","text",".text","",0,1675266851,"name","","413ab4be-8a34-400d-8b03-47a0c23335a9","pe-section","file"
"e14fccd6-6868-4a3c-b9cf-d9f1fdc2db4f",32733,"Payload delivery","md5","c16fc7905aaf5058188e95b175d90b7c","",1,1675266851,"md5","","413ab4be-8a34-400d-8b03-47a0c23335a9","pe-section","file"
"f7c2f828-0696-49de-b33c-55dde523d2c4",32733,"Payload delivery","sha1","a6d2eebb8a2369be3f491b7b7cf7778535629913","",1,1675266851,"sha1","","413ab4be-8a34-400d-8b03-47a0c23335a9","pe-section","file"
"36c2a1e1-e86d-4723-adba-bd61ce0e9730",32733,"Payload delivery","sha256","4efc0f5741aa1e92ae6c48a315622b9a4ed8c0a2322d4605e279fad935104c05","",1,1675266851,"sha256","","413ab4be-8a34-400d-8b03-47a0c23335a9","pe-section","file"
"b3a80679-9a8e-4ae6-b400-e6f7df26dcb9",32733,"Other","size-in-bytes",506880,"",0,1675266851,"size-in-bytes","","413ab4be-8a34-400d-8b03-47a0c23335a9","pe-section","file"
"760dcebd-c9f4-4667-8cca-89b1b98f2577",32733,"Other","float",7.95777,"",0,1675266851,"entropy","","413ab4be-8a34-400d-8b03-47a0c23335a9","pe-section","file"
"94d449a6-f174-4f92-ab0b-9f6da74c9d82",32733,"Other","text",".rsrc","",0,1675266851,"name","","63acd47a-9521-4962-9dde-e2f493897ca7","pe-section","file"
"113f5101-c545-48a9-aa1a-beedbe79a6b6",32733,"Payload delivery","md5","5536132133206688a69f72d40e3a5dd9","",1,1675266851,"md5","","63acd47a-9521-4962-9dde-e2f493897ca7","pe-section","file"
"4895fcea-b06f-4ef8-97b7-3f47c34dc203",32733,"Payload delivery","sha1","462e04af05341e07e9425565afdcf489b7d61f66","",1,1675266851,"sha1","","63acd47a-9521-4962-9dde-e2f493897ca7","pe-section","file"
"34d53557-8c9f-4d21-b829-d1a31ea0e4bc",32733,"Payload delivery","sha256","2587e4b146cf8fbb2c572c3db9886de9f6d84451025742908da63b6d84c478f3","",1,1675266851,"sha256","","63acd47a-9521-4962-9dde-e2f493897ca7","pe-section","file"
"de5e6ee1-4ee9-4cd5-ae83-71ac35fc9570",32733,"Other","size-in-bytes",7168,"",0,1675266851,"size-in-bytes","","63acd47a-9521-4962-9dde-e2f493897ca7","pe-section","file"
"3c67bd95-c86e-4199-b0de-84e31d40235c",32733,"Other","float",7.02284,"",0,1675266851,"entropy","","63acd47a-9521-4962-9dde-e2f493897ca7","pe-section","file"
"1a0220db-30ed-4a36-ba89-f683be425b08",32733,"Other","text",".reloc","",0,1675266852,"name","","f121246b-14ef-46b0-b79b-a702927afac2","pe-section","file"
"7b4cc160-7d80-48d7-81ad-7511d3562e35",32733,"Payload delivery","md5","5a01ae672b800990285335d740ce9279","",1,1675266852,"md5","","f121246b-14ef-46b0-b79b-a702927afac2","pe-section","file"
"10c905fd-4876-4f5c-929a-c2e554f73440",32733,"Payload delivery","sha1","b6f76336f2d652034623a7a72aa3ffa7989663a6","",1,1675266852,"sha1","","f121246b-14ef-46b0-b79b-a702927afac2","pe-section","file"
