uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"dbf4efc0-882e-4a4a-9462-3db6adf1d7d3",27197,"Payload delivery","filename","665Oogfism.exe","",0,1598300586,"","","","",""
"c69f244f-5c47-4272-af85-b0768f6474ac",27197,"Payload delivery","md5","1a259897b2326c50a3dd085f89045b11","",1,1598300586,"","","","",""
"c2f7641f-c1ac-4577-80a2-ddf7a60a2fc2",27197,"Payload delivery","sha1","4be2cbcecd0415fc437658a5779e068167543f81","",1,1598300586,"","","","",""
"0b2fa148-b048-4521-a1e4-b34a283b433b",27197,"Payload delivery","sha256","72059a0857ff29bc486ce3d0c47e902ff18e18ae940eac58af36b24793a0eea4","",1,1598300586,"","","","",""
"51d768b6-1132-49c1-8765-a1bd6dbd40d6",27197,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1598300586,"","","","",""
"a578b8aa-2ce7-4363-b55e-262dede4d3a9",27197,"Payload delivery","imphash","a7d1aa369712d60e985a3977f1030bf9","",0,1598300586,"","","","",""
"431290c3-372e-4ae6-9f89-487c2bf5be9b",27197,"Network activity","url","https://yektairon.com/brands/665Oogfism.exe","",1,1598300586,"","","","",""
"c3fbb42f-9e1c-471e-b181-47c5628e2d54",27197,"Network activity","domain","yektairon.com","",1,1598300586,"","","","",""
"2111a043-9d77-4cb9-97a9-94d8e8298c79",27197,"Other","text",".text","",0,1598300586,"name","","66137bb0-511c-4f76-a58d-d9d3d433f3d3","pe-section","file"
"e1f28c17-f908-4cfd-ad92-52efdaf2ee24",27197,"Payload delivery","md5","a836de3b7554dbf8be02eba5c5fda39a","",1,1598300586,"md5","","66137bb0-511c-4f76-a58d-d9d3d433f3d3","pe-section","file"
"fb5b445e-fbd9-459d-9015-455918ecbc3e",27197,"Payload delivery","sha1","5d2c5b59f699ac2dd1837d5cd4f83c74165f8976","",1,1598300586,"sha1","","66137bb0-511c-4f76-a58d-d9d3d433f3d3","pe-section","file"
"2549cd18-6060-4e1c-983c-5ca5d7491807",27197,"Payload delivery","sha256","bc746a09d87ebdd827f81a8bf034bf7257c3699d1c2eafc2758f9c439844a77c","",1,1598300586,"sha256","","66137bb0-511c-4f76-a58d-d9d3d433f3d3","pe-section","file"
"370ed134-f5e8-4531-8c06-2b71bd7a6a97",27197,"Other","size-in-bytes",245760,"",0,1598300586,"size-in-bytes","","66137bb0-511c-4f76-a58d-d9d3d433f3d3","pe-section","file"
"cf5f16e6-609b-4633-87a7-ac686875a123",27197,"Other","float",6.37908,"",0,1598300586,"entropy","","66137bb0-511c-4f76-a58d-d9d3d433f3d3","pe-section","file"
"20c5a1fd-4a64-442c-8ce4-01f45022ed72",27197,"Other","text",".data","",0,1598300587,"name","","f6c4fe08-a61b-4fae-a650-44cd1562ef42","pe-section","file"
"c0ed9ff7-8c2a-45c0-b1da-16c3b96d23ac",27197,"Payload delivery","md5","620f0b67a91f7f74151bc5be745b7110","",1,1598300587,"md5","","f6c4fe08-a61b-4fae-a650-44cd1562ef42","pe-section","file"
"d8c6edb6-d722-4e71-bcb2-b9dc3d2754f8",27197,"Payload delivery","sha1","1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d","",1,1598300588,"sha1","","f6c4fe08-a61b-4fae-a650-44cd1562ef42","pe-section","file"
"cd7aef72-f129-4529-bf89-5df73ab1d2b5",27197,"Payload delivery","sha256","ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7","",1,1598300588,"sha256","","f6c4fe08-a61b-4fae-a650-44cd1562ef42","pe-section","file"
"e8897ed2-6b05-4ed7-a665-ed2c91a2b07d",27197,"Other","size-in-bytes",4096,"",0,1598300588,"size-in-bytes","","f6c4fe08-a61b-4fae-a650-44cd1562ef42","pe-section","file"
"dc148ae5-c8f9-41cc-a300-57c5fbfc72d1",27197,"Other","float",0.0,"",0,1598300588,"entropy","","f6c4fe08-a61b-4fae-a650-44cd1562ef42","pe-section","file"
"39a9f9f3-4ef1-42b6-92dd-620781ab565f",27197,"Other","text",".rsrc","",0,1598300588,"name","","310305d8-6c49-4610-a4f5-bea30ae9fe4f","pe-section","file"
"80e62cc5-413e-48ef-bac1-f73383c3b403",27197,"Payload delivery","md5","a10fa55be9db3d382a0407e592d21b87","",1,1598300588,"md5","","310305d8-6c49-4610-a4f5-bea30ae9fe4f","pe-section","file"
"30b251fb-d681-4019-8cfa-6819155eca72",27197,"Payload delivery","sha1","2fcfdce10dc71faae92e7ed5bf269ab1be2bf8be","",1,1598300588,"sha1","","310305d8-6c49-4610-a4f5-bea30ae9fe4f","pe-section","file"
"17f24c6b-4fba-4e31-9413-88021ab8275a",27197,"Payload delivery","sha256","291036aaa6608a77f104f1ced2229775e102a809a635a199eb842e22134ba511","",1,1598300588,"sha256","","310305d8-6c49-4610-a4f5-bea30ae9fe4f","pe-section","file"
"a410bd6c-9d33-44e9-a3b7-61b71bcc5283",27197,"Other","size-in-bytes",327680,"",0,1598300588,"size-in-bytes","","310305d8-6c49-4610-a4f5-bea30ae9fe4f","pe-section","file"
"8f0b9526-684b-437c-8ca0-d3221676edc7",27197,"Other","float",5.90396,"",0,1598300588,"entropy","","310305d8-6c49-4610-a4f5-bea30ae9fe4f","pe-section","file"
"48421ab2-707b-45f5-a5a5-7abc45d2108c",27197,"External analysis","link","https://www.virustotal.com/gui/file/72059a0857ff29bc486ce3d0c47e902ff18e18ae940eac58af36b24793a0eea4/detection","",0,1598300589,"permalink","","ea511f21-4bb9-41eb-b053-24c6a7be9e6f","virustotal-report","misc"
"2b3ad1fd-8b9d-4d0a-b37b-8ff89cde74a1",27197,"Other","datetime","2020-08-24T18:37:31.000000+0000","",0,1598300589,"last-submission","","ea511f21-4bb9-41eb-b053-24c6a7be9e6f","virustotal-report","misc"
