uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"8eb1afdc-619a-4f07-bb0c-abde3114aa99",40371,"Payload delivery","filename","Baddy-v2.exe","",0,1607765803,"","","","",""
"820493fb-28a7-43ae-a82d-7d65ded70690",40371,"Payload delivery","md5","f04e4fc1f418df9dc14fb5e653e6c1b7","",1,1607765803,"","","","",""
"29581194-979f-4bbd-8341-1d3a424fee0b",40371,"Payload delivery","sha1","2ca4c9065fc014638d222b7146140012ea54da08","",1,1607765803,"","","","",""
"1238f7f6-de36-401d-9cca-6ab197719111",40371,"Payload delivery","sha256","834760f2f6459dd8cefaa32304b03aa15fc06d165026985db4b87200ba3f402a","",1,1607765803,"","","","",""
"2e8635e3-4ef6-4f0e-a136-c8e9340be762",40371,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1607765803,"","","","",""
"87567dac-7771-40d8-a9ab-34d8d25c1829",40371,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1607765803,"","","","",""
"68471a2d-7c95-49c4-b2e2-e02606a7f69f",40371,"Network activity","url","https://validserver.com/.viva/Baddy-v2.exe","",1,1607765803,"","","","",""
"51615055-a536-46ea-bcd1-913fab384490",40371,"Network activity","domain","validserver.com","",1,1607765803,"","","","",""
"17234c16-6d70-4fef-afac-975ad3e3ce66",40371,"Other","text",".text","",0,1607765803,"name","","7c07c6cb-b7d0-4b78-91d8-e10f7a254805","pe-section","file"
"0851437c-c947-478b-a72c-13b1970f06db",40371,"Payload delivery","md5","be20b7f33040c75ac6ad8aea03092452","",1,1607765803,"md5","","7c07c6cb-b7d0-4b78-91d8-e10f7a254805","pe-section","file"
"f0269d28-b5da-4f96-8cf0-5360caa7a445",40371,"Payload delivery","sha1","46e79c96df7fa8f2941a09be812450f66342f8b6","",1,1607765803,"sha1","","7c07c6cb-b7d0-4b78-91d8-e10f7a254805","pe-section","file"
"5e41dcdd-08da-4aeb-9632-0f06fe7b6046",40371,"Payload delivery","sha256","dafc6c9dafe3cc5342ce2c7243244bd7c688ce3bec6e6730bf298b3179e4b3f3","",1,1607765803,"sha256","","7c07c6cb-b7d0-4b78-91d8-e10f7a254805","pe-section","file"
"31f9d27c-792c-436a-a258-6ead470b14dd",40371,"Other","size-in-bytes",77312,"",0,1607765803,"size-in-bytes","","7c07c6cb-b7d0-4b78-91d8-e10f7a254805","pe-section","file"
"dc84a744-4de8-4b33-a7dd-97eaed177ecd",40371,"Other","float",6.00435,"",0,1607765803,"entropy","","7c07c6cb-b7d0-4b78-91d8-e10f7a254805","pe-section","file"
"9ac1ddf9-a6f8-4c3c-a411-d7491e9c841d",40371,"Other","text",".rsrc","",0,1607765804,"name","","eac848f4-0da4-45f9-b09e-ef1956452e60","pe-section","file"
"1c77bf22-2919-4639-9e22-d0a164bd244e",40371,"Payload delivery","md5","e94513febd9be3b12c18ec4bc6521d5c","",1,1607765804,"md5","","eac848f4-0da4-45f9-b09e-ef1956452e60","pe-section","file"
"66955c25-8ebf-489f-b4a3-b2cbdf8c4d7c",40371,"Payload delivery","sha1","7d5c5354b77d206a5ab9a676ded2790cfdce47ef","",1,1607765804,"sha1","","eac848f4-0da4-45f9-b09e-ef1956452e60","pe-section","file"
"6faee44c-1762-4527-87a5-77a8a3fbea7a",40371,"Payload delivery","sha256","5780c0fd8518ca974944d4dc397f56667d370377b8b28355d255c0dcfb6db7b2","",1,1607765804,"sha256","","eac848f4-0da4-45f9-b09e-ef1956452e60","pe-section","file"
"102e6627-cb3e-4be9-9784-57d6f331662b",40371,"Other","size-in-bytes",1536,"",0,1607765804,"size-in-bytes","","eac848f4-0da4-45f9-b09e-ef1956452e60","pe-section","file"
"e225ce9c-d98b-4c0e-a40b-14d9b2a098f3",40371,"Other","float",4.11823,"",0,1607765804,"entropy","","eac848f4-0da4-45f9-b09e-ef1956452e60","pe-section","file"
"da34c6eb-2b58-402d-a237-3f943bf83a0f",40371,"Other","text",".reloc","",0,1607765804,"name","","25e8be16-412b-41a9-ac10-b7bd46ecbaae","pe-section","file"
"dd365cc9-5a85-4595-9efd-c323c63f5738",40371,"Payload delivery","md5","cacd059c19847a0573e80d54b545153d","",1,1607765804,"md5","","25e8be16-412b-41a9-ac10-b7bd46ecbaae","pe-section","file"
"f78ece0a-13cc-4167-a42e-e6d40399fd12",40371,"Payload delivery","sha1","51fbd3c240f34f41c7dbb8510a4caf7e0505603e","",1,1607765804,"sha1","","25e8be16-412b-41a9-ac10-b7bd46ecbaae","pe-section","file"
"cc4233f1-8da7-424b-b13b-a681fb32654e",40371,"Payload delivery","sha256","79f84d101531ed4c5dfb1ec75b76204a59392ce304a6f85eee367f68f1bac60f","",1,1607765804,"sha256","","25e8be16-412b-41a9-ac10-b7bd46ecbaae","pe-section","file"
"6eab4cc2-65fc-4e37-859d-bde23bb9e9ef",40371,"Other","size-in-bytes",512,"",0,1607765804,"size-in-bytes","","25e8be16-412b-41a9-ac10-b7bd46ecbaae","pe-section","file"
"b4c2b4af-4409-4f44-9931-be3a5d2d9074",40371,"Other","float",0.10191,"",0,1607765804,"entropy","","25e8be16-412b-41a9-ac10-b7bd46ecbaae","pe-section","file"
"6d764475-3069-4c8c-ad54-dd2f4b13c3c6",40371,"External analysis","link","https://www.virustotal.com/gui/file/834760f2f6459dd8cefaa32304b03aa15fc06d165026985db4b87200ba3f402a/detection","",0,1607765805,"permalink","","cdbf2d94-3bdf-4511-859f-d9d25b88e3f0","virustotal-report","misc"
"3dea43c1-4779-4b6d-910f-87b8cef11b14",40371,"Other","datetime","2020-12-12T00:00:57.000000+0000","",0,1607765805,"last-submission","","cdbf2d94-3bdf-4511-859f-d9d25b88e3f0","virustotal-report","misc"
"c1864765-0b67-4a78-8de6-306d0febfbd5",40371,"Other","text","9/71","",0,1607765805,"detection-ratio","","cdbf2d94-3bdf-4511-859f-d9d25b88e3f0","virustotal-report","misc"

