uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"fc895f4f-f1f0-40eb-9e10-7fc3be65d09f",41791,"Payload delivery","filename","emptyfilename.tmp","",0,1609177158,"","","","",""
"f1810124-3484-4608-bae7-90c6da2f8ffd",41791,"Payload delivery","md5","a83332e94ff8c323b60b7ee19e0f2c53","",1,1609177158,"","","","",""
"75e8c592-e87e-4da6-b07a-0f273bbc9042",41791,"Payload delivery","sha1","eebae81317931a0ddb6ed717c25e2429c0f2da04","",1,1609177158,"","","","",""
"e9e82d0a-ada4-4398-a97c-ff836cf728e6",41791,"Payload delivery","sha256","0207b98058cc5318dbac7ca875f3d879f7f73ce0a4b1e21d0882a21885233f2d","",1,1609177158,"","","","",""
"92117308-25db-4d75-9549-4e42fc8f6000",41791,"Payload delivery","mime-type","PE32 executable (DLL) (GUI) Intel 80386, for MS Windows","",0,1609177158,"","","","",""
"2842cdfa-8b97-4e8e-9c50-3c9de0e2f6d2",41791,"Payload delivery","imphash","0c8e7bcd452798b457f58e9bd0178322","",0,1609177158,"","","","",""
"d93b577e-a8e2-4d1e-a81c-6fad64cd7f7d",41791,"Network activity","url","http://www.savedahorses.org/wp-content/xH/","",1,1609177158,"","","","",""
"bbe25489-7ee9-4c4b-a3b3-15baf3e6db59",41791,"Network activity","domain","www.savedahorses.org","",1,1609177158,"","","","",""
"cd35bab3-6110-4992-94cb-89d85d8fb890",41791,"Other","text",".text","",0,1609177158,"name","","2c0ef84d-a9f4-4178-9b45-147466ad28b5","pe-section","file"
"32dd2aa0-c449-403f-863e-094c0dfdf89c",41791,"Payload delivery","md5","6853325c7f91eb34d0bd556e55ebefc3","",1,1609177158,"md5","","2c0ef84d-a9f4-4178-9b45-147466ad28b5","pe-section","file"
"ce5c9db2-091f-4334-95b1-576055636981",41791,"Payload delivery","sha1","bddc4600a12726eb4d4da74dd33ab1f1e56b7410","",1,1609177158,"sha1","","2c0ef84d-a9f4-4178-9b45-147466ad28b5","pe-section","file"
"ac171ac6-e73c-4c02-b7f1-c0dff9316482",41791,"Payload delivery","sha256","17e208bb08701d796df39381f17586ffb38403d7fb937afe94eaab28662296af","",1,1609177158,"sha256","","2c0ef84d-a9f4-4178-9b45-147466ad28b5","pe-section","file"
"ec9eb20e-662f-45fd-a0d1-ce5f495e764a",41791,"Other","size-in-bytes",255488,"",0,1609177158,"size-in-bytes","","2c0ef84d-a9f4-4178-9b45-147466ad28b5","pe-section","file"
"4e00d5b7-7377-48e2-803a-5720f77838f7",41791,"Other","float",5.75453,"",0,1609177158,"entropy","","2c0ef84d-a9f4-4178-9b45-147466ad28b5","pe-section","file"
"dce9d4ac-77db-41bd-9460-66bba7a4175c",41791,"Other","text",".rdata","",0,1609177159,"name","","64742392-c163-4da4-8ab3-536d42bc062e","pe-section","file"
"22375db8-e632-445a-b159-7f48962c0b2b",41791,"Payload delivery","md5","689d8f48dfec5c56e09ccbd40d6a5ceb","",1,1609177160,"md5","","64742392-c163-4da4-8ab3-536d42bc062e","pe-section","file"
"641cc5e7-b6d9-48f1-946a-e7d8ce8d1429",41791,"Payload delivery","sha1","32f416dbdc8ee747356891515cf2c458b4d09203","",1,1609177160,"sha1","","64742392-c163-4da4-8ab3-536d42bc062e","pe-section","file"
"c54707cc-71e9-418b-803c-f6bbdd57c336",41791,"Payload delivery","sha256","67a24801879cfa0c2545701c9cff85ca1f59f1d80795b4437284761241088356","",1,1609177160,"sha256","","64742392-c163-4da4-8ab3-536d42bc062e","pe-section","file"
"368f3d3e-1cdf-4be6-9d8a-9543607600b1",41791,"Other","size-in-bytes",46592,"",0,1609177160,"size-in-bytes","","64742392-c163-4da4-8ab3-536d42bc062e","pe-section","file"
"de20d0ec-c51c-4b1c-9069-2d224911fbf5",41791,"Other","float",3.75312,"",0,1609177160,"entropy","","64742392-c163-4da4-8ab3-536d42bc062e","pe-section","file"
"aa1e1ffd-f642-439d-ab2a-a28307abb844",41791,"Other","text",".data","",0,1609177160,"name","","49da945f-a049-4781-b378-825a17abc9e6","pe-section","file"
"dd377d14-b5e3-4fbd-b585-495f5500b616",41791,"Payload delivery","md5","9d5ed70861a991bcb6b8da9798a050db","",1,1609177160,"md5","","49da945f-a049-4781-b378-825a17abc9e6","pe-section","file"
"31593381-f954-4f82-8460-eaa1577754bb",41791,"Payload delivery","sha1","ce08c632701516adad60447e19d8fd781f01cfd0","",1,1609177160,"sha1","","49da945f-a049-4781-b378-825a17abc9e6","pe-section","file"
"6777514e-c931-4548-b33d-4ec211a4ab85",41791,"Payload delivery","sha256","19a0013a106aaf73b5fee162193cbe938f10c207aa469fa30ed310732e08ddfc","",1,1609177160,"sha256","","49da945f-a049-4781-b378-825a17abc9e6","pe-section","file"
"0c744a99-2bdc-4716-b1a2-e7576d982f47",41791,"Other","size-in-bytes",7680,"",0,1609177160,"size-in-bytes","","49da945f-a049-4781-b378-825a17abc9e6","pe-section","file"
"63f199c6-39ad-424d-a15a-5399c59e6491",41791,"Other","float",3.22428,"",0,1609177160,"entropy","","49da945f-a049-4781-b378-825a17abc9e6","pe-section","file"
"b8233b10-566a-4f80-bb7c-14be43f8b8a6",41791,"Other","text",".idata","",0,1609177160,"name","","d22932f7-e1ce-4af1-9318-d66c94ef3fe2","pe-section","file"
"baca8430-0d31-48bc-9745-c52c84b6d6d9",41791,"Payload delivery","md5","9c750eb3d1ceaa0517949c199fac19a8","",1,1609177160,"md5","","d22932f7-e1ce-4af1-9318-d66c94ef3fe2","pe-section","file"
"c30b07ff-66d6-4bcd-9c1b-3bd8b332167b",41791,"Payload delivery","sha1","cd649eebfe96a2945aec5a80a07da173a200a3c9","",1,1609177160,"sha1","","d22932f7-e1ce-4af1-9318-d66c94ef3fe2","pe-section","file"
"701e9690-aace-410c-bd94-5d0830fbfd89",41791,"Payload delivery","sha256","268f7a543f7c340fa36abe96317c93d736077208c330becd6542746e8efc75d1","",1,1609177160,"sha256","","d22932f7-e1ce-4af1-9318-d66c94ef3fe2","pe-section","file"
"266aed62-a5a4-4418-b09d-5f6f890f5979",41791,"Other","size-in-bytes",5632,"",0,1609177160,"size-in-bytes","","d22932f7-e1ce-4af1-9318-d66c94ef3fe2","pe-section","file"
"3afa27b1-5ac5-40ef-bd24-9fa98f918f21",41791,"Other","float",4.55144,"",0,1609177160,"entropy","","d22932f7-e1ce-4af1-9318-d66c94ef3fe2","pe-section","file"
"9a17bd51-2eeb-403e-a3ad-b7f1ca460999",41791,"Other","text",".rsrc","",0,1609177161,"name","","192c0a48-e1f9-4ecc-8c22-12767631ac64","pe-section","file"
"0e0a324a-c1f4-4137-9d51-4bae3769de3d",41791,"Payload delivery","md5","632b08f5041063dc3956efff828c1afc","",1,1609177161,"md5","","192c0a48-e1f9-4ecc-8c22-12767631ac64","pe-section","file"
"0a4396bd-018b-49ba-bfb5-1497b0bd08c5",41791,"Payload delivery","sha1","bffcf00610921fb3559959f5ff942ebff583e747","",1,1609177161,"sha1","","192c0a48-e1f9-4ecc-8c22-12767631ac64","pe-section","file"
"353cd814-f4bb-404c-ad3b-2270ab014ce6",41791,"Payload delivery","sha256","42028cef1c0d9f91efc565eb5c2a4591f40d08e2bb143226dfb21a55f9439d6b","",1,1609177161,"sha256","","192c0a48-e1f9-4ecc-8c22-12767631ac64","pe-section","file"
"9fa93381-41f5-4937-9310-cc594609b6af",41791,"Other","size-in-bytes",166400,"",0,1609177161,"size-in-bytes","","192c0a48-e1f9-4ecc-8c22-12767631ac64","pe-section","file"
"f0c1ca0a-479e-472f-8a2d-3d333f0ef512",41791,"Other","float",6.8156,"",0,1609177161,"entropy","","192c0a48-e1f9-4ecc-8c22-12767631ac64","pe-section","file"
"51822f72-b6f4-483b-9533-98b9544b582a",41791,"Other","text",".reloc","",0,1609177161,"name","","e8846200-f9cd-4af9-be29-8aceaaca709d","pe-section","file"
"ac6b0e35-6d0b-4c33-b30e-7040a96e2a4e",41791,"Payload delivery","md5","4eae10d16b37c4637e2014ad14dbcdec","",1,1609177161,"md5","","e8846200-f9cd-4af9-be29-8aceaaca709d","pe-section","file"
"518234e8-c918-4c73-818b-3c9a467e5787",41791,"Payload delivery","sha1","a826c0ac73cfd86b447fc179597a0ef4279aef34","",1,1609177161,"sha1","","e8846200-f9cd-4af9-be29-8aceaaca709d","pe-section","file"
"9c2f37e3-f4cf-4dd3-a433-fd0cc71ed74f",41791,"Payload delivery","sha256","3ef855265b581661dd36b3b02dfc0c5daa029c156b2912149543af16240fa279","",1,1609177161,"sha256","","e8846200-f9cd-4af9-be29-8aceaaca709d","pe-section","file"
"f0802aa0-19a1-4491-a586-085e86f684e9",41791,"Other","size-in-bytes",37376,"",0,1609177161,"size-in-bytes","","e8846200-f9cd-4af9-be29-8aceaaca709d","pe-section","file"
