uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"781b9bbd-44a2-4157-bef4-5e6962276ad2",64361,"Payload delivery","filename","search21.exe","",0,1635225080,"","","","",""
"82424d31-fb88-4382-8d3f-28853d2fbc48",64361,"Payload delivery","md5","afb91ac1a0e9057bcb501cb91306b40c","",1,1635225080,"","","","",""
"b8c655e0-13ed-42cd-b8a6-c27b2d77d101",64361,"Payload delivery","sha1","1a3688766243f0b268a7e1c8adce79c4d7227e2b","",1,1635225080,"","","","",""
"70b769da-885c-44dd-8b43-c2f2ba29ed69",64361,"Payload delivery","sha256","ae9951a76e4840f886bf15c9fce66bb4eecc42802c03ce43529b0cc81ddba9c2","",1,1635225080,"","","","",""
"5c9af5f5-1b3b-44c4-b7b0-89fe3dbeba8d",64361,"Payload delivery","mime-type","PE32 executable (console) Intel 80386, for MS Windows","",0,1635225080,"","","","",""
"461915ae-64af-44b9-abb5-9b33ac37de91",64361,"Payload delivery","imphash","324eb7eba0d6f4cd042276a6e19d7718","",0,1635225080,"","","","",""
"62137197-d220-48a6-b5d6-1393ea394c79",64361,"Network activity","url","http://2.56.59.42/WW/search21.exe","",1,1635225080,"","","","",""
"3b4246d6-96de-47ef-998e-da186a904485",64361,"Network activity","ip-dst","2.56.59.42","",1,1635225080,"","","","",""
"71c2a9dd-c56c-47eb-8afd-afef6462f2f8",64361,"Other","text",".text","",0,1635225082,"name","","502df37c-147f-473e-8f4c-ebe02f445279","pe-section","file"
"5823e655-bc8e-4ead-ac95-0965d1c46a5c",64361,"Payload delivery","md5","c402b3a4113baa70efc4caeeb4cdd72a","",1,1635225082,"md5","","502df37c-147f-473e-8f4c-ebe02f445279","pe-section","file"
"71fca5b1-3174-4954-a4c2-4f07bde6c411",64361,"Payload delivery","sha1","1e585bb15f035f97cea3be1dd90036a17799187d","",1,1635225083,"sha1","","502df37c-147f-473e-8f4c-ebe02f445279","pe-section","file"
"7490ccc8-c44d-4751-878e-408a12c3d65c",64361,"Payload delivery","sha256","cfe70c2ced4ff04a7557704d129f3dc0a2f663141f0942f2de587e3d0dbfa044","",1,1635225084,"sha256","","502df37c-147f-473e-8f4c-ebe02f445279","pe-section","file"
"b1f8ee2a-843e-4f59-8ed4-6fd285913533",64361,"Other","size-in-bytes",76288,"",0,1635225086,"size-in-bytes","","502df37c-147f-473e-8f4c-ebe02f445279","pe-section","file"
"f3b8af75-a870-4d64-9563-705c0e26d1b3",64361,"Other","float",7.25577,"",0,1635225089,"entropy","","502df37c-147f-473e-8f4c-ebe02f445279","pe-section","file"
"39bd7bdf-463a-4494-aba9-ba205aba6918",64361,"Other","text",".rdata","",0,1635225090,"name","","d52ed586-57ff-4408-a343-8ac7d62e299f","pe-section","file"
"05423313-156a-42e1-abde-ed974833ca11",64361,"Payload delivery","md5","d7487791010e6e86ab845ae12f3030b7","",1,1635225090,"md5","","d52ed586-57ff-4408-a343-8ac7d62e299f","pe-section","file"
"d3d5b547-fdec-42f3-a832-ce57008ab422",64361,"Payload delivery","sha1","8c1e944daafec68e3ea4bff7e564c541e58ecee3","",1,1635225090,"sha1","","d52ed586-57ff-4408-a343-8ac7d62e299f","pe-section","file"
"1b9de96e-6ad3-4b88-b4d6-eebf9ffbcdd6",64361,"Payload delivery","sha256","00036b9c5f87c0dfb2c27dc4664f07a2d0cd94578afac8c23f93a652aaca6b38","",1,1635225090,"sha256","","d52ed586-57ff-4408-a343-8ac7d62e299f","pe-section","file"
