uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f810119-f863-4519-a247-73af849c096f",36787,"Payload delivery","filename","KibbledActionably.exe","",0,1680488407,"","","","",""
"35660954-dd19-4c1d-9a0f-69c20e11eec9",36787,"Payload delivery","md5","b639bd399837f1e0c1424313f0f1a18e","",1,1680488407,"","","","",""
"2b6e5f18-774e-4faf-8f7d-89fe5f72f926",36787,"Payload delivery","sha1","a53c3f3b5480e89831d1a30793d8164993ab3a07","",1,1680488407,"","","","",""
"1d813e9c-6e15-400b-a2ee-1e88892bdd26",36787,"Payload delivery","sha256","92e13766256632bced366751543252ccc72a9b82fdacdfd95e0074309e1aa25e","",1,1680488407,"","","","",""
"bc04dcd6-fec0-4112-99ec-9278e3d4953e",36787,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1680488407,"","","","",""
"eeed65c7-2dc2-472b-aa4e-538c38edaf5b",36787,"Payload delivery","imphash","2872f2807be0ca81e71b7944856cdb17","",0,1680488407,"","","","",""
"9fb4a133-b8c3-4109-a3d6-41361aec2a44",36787,"Network activity","url","http://193.233.20.36/lend/KibbledActionably.exe","",1,1680488407,"","","","",""
"7f4c8700-da6c-482b-9f46-673d2b82b14c",36787,"Network activity","ip-dst","193.233.20.36","",1,1680488407,"","","","",""
"132b8217-3e4d-4ced-ab83-66419fa20c70",36787,"Other","text",".text","",0,1680488408,"name","","5ddfa8a4-9d18-4432-a612-edc73c723050","pe-section","file"
"cbf37f03-fba3-4d12-a1b8-fde84b7c650a",36787,"Payload delivery","md5","7f2ecfb3c4d8b930ccbba9aa7b1726d9","",1,1680488408,"md5","","5ddfa8a4-9d18-4432-a612-edc73c723050","pe-section","file"
"bef9eb69-e726-4502-8b0c-0ffbef1e6684",36787,"Payload delivery","sha1","96a58b3eda09fb692671dc3cbcf20cdafad221ed","",1,1680488408,"sha1","","5ddfa8a4-9d18-4432-a612-edc73c723050","pe-section","file"
"0f6a1023-a479-43f0-b77e-f930ce40d340",36787,"Payload delivery","sha256","fd4acc43caaa8e96f71e83bbf03f924e44af873b678db5390be7a459760b3173","",1,1680488408,"sha256","","5ddfa8a4-9d18-4432-a612-edc73c723050","pe-section","file"
"eca6d00e-011b-46b7-bd6a-7db774feb80a",36787,"Other","size-in-bytes",305152,"",0,1680488408,"size-in-bytes","","5ddfa8a4-9d18-4432-a612-edc73c723050","pe-section","file"
"3cffc246-7f01-4451-98d1-774740e5f126",36787,"Other","float",7.70573,"",0,1680488408,"entropy","","5ddfa8a4-9d18-4432-a612-edc73c723050","pe-section","file"
"ec3282e2-0ec6-475a-b81e-748126050a08",36787,"Other","text",".data","",0,1680488409,"name","","a0aa009e-0769-4680-85b5-b6f1920aee09","pe-section","file"
"acd714b2-df21-46ef-83a8-35e9b3289e08",36787,"Payload delivery","md5","f245652cd4de04899d871944ed4fb8da","",1,1680488409,"md5","","a0aa009e-0769-4680-85b5-b6f1920aee09","pe-section","file"
"40c54dd3-eae6-44c7-aec4-8b0531be1432",36787,"Payload delivery","sha1","a8901e241dea54a94ef1f14830058013c000972e","",1,1680488409,"sha1","","a0aa009e-0769-4680-85b5-b6f1920aee09","pe-section","file"
