uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"2d6cda3f-6141-44c1-9bb6-8722516c2830",32806,"Payload delivery","filename","file.zip","",0,1675364414,"","","","",""
"06d2658b-a7af-42e9-ae8b-696e621216eb",32806,"Payload delivery","md5","9693a8e69c00108c973fd666beb5f65b","",1,1675364414,"","","","",""
"5ce576d6-527f-4a89-af61-daa6db393739",32806,"Payload delivery","sha1","c4c1584dac9efac98f477c021d51b9e321a9d81c","",1,1675364414,"","","","",""
"bce0da82-7656-4d7f-a50a-3dd1f24a8104",32806,"Payload delivery","sha256","6bbcb61f2da9d0d5f720e5c3a49cdb6d77ad70bf07fdbff1afe7ef08922a3e0a","",1,1675364414,"","","","",""
"a7317ae2-9cba-4f16-8311-9e296af98fb2",32806,"Payload delivery","mime-type","Zip archive data, at least v2.0 to extract","",0,1675364414,"","","","",""
"8db79b39-d85e-418c-9963-76e184cee822",32806,"Network activity","url","https://shop-take.click/file.zip","",1,1675364414,"","","","",""
"4b8d15cd-4b1f-4786-9a00-3f131a6caa28",32806,"Network activity","domain","shop-take.click","",1,1675364414,"","","","",""
"7cee0c01-e6c1-4427-9167-0f8e5fdc2505",32806,"External analysis","link","https://www.virustotal.com/gui/file/6bbcb61f2da9d0d5f720e5c3a49cdb6d77ad70bf07fdbff1afe7ef08922a3e0a/detection","",0,1675364414,"permalink","","3ee2c618-36f7-4b12-b25c-e14a89baba20","virustotal-report","misc"
"24681d31-92c3-4d91-aa71-1d856f7e6c72",32806,"Other","datetime","2023-02-02T15:43:01.000000+0000","",0,1675364414,"last-submission","","3ee2c618-36f7-4b12-b25c-e14a89baba20","virustotal-report","misc"
"113e0852-113b-4827-bb16-c4d8f7c36897",32806,"Other","text","19/61","",0,1675364414,"detection-ratio","","3ee2c618-36f7-4b12-b25c-e14a89baba20","virustotal-report","misc"

