uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"ad388abd-aa51-4982-8330-5a9ee1eed701",48617,"Payload delivery","filename","hacker.mips","",0,1614075514,"","","","",""
"69621d3e-198c-4f19-991f-ab14dd4a9386",48617,"Payload delivery","md5","2d1a800046bca7d320a1077f2c403cd6","",1,1614075514,"","","","",""
"2dc0998b-3e5e-4a1d-9750-225da530755e",48617,"Payload delivery","sha1","2747bd8b770c065a251e03661cbfa4a2a4b0f70c","",1,1614075514,"","","","",""
"b149b555-b2fb-4432-b7e1-dbe3c36e59c9",48617,"Payload delivery","sha256","ed3a928c31beade96dd2fd2cedd325e5252b60df13cc55658eb25d995d845af7","",1,1614075514,"","","","",""
"8e204746-ab98-4a0e-a208-68571897cb68",48617,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, no section header","",0,1614075514,"","","","",""
"c90e76d1-9828-4ccf-a44e-82753db27264",48617,"Network activity","url","http://45.84.196.150/hacker.mips","",1,1614075514,"","","","",""
"94a77243-424f-48f8-8148-4bf79e9ed3b0",48617,"Network activity","ip-dst","45.84.196.150","",1,1614075514,"","","","",""
"90345004-c36d-48eb-b28b-29d195529678",48617,"External analysis","link","https://www.virustotal.com/gui/file/ed3a928c31beade96dd2fd2cedd325e5252b60df13cc55658eb25d995d845af7/detection","",0,1614075514,"permalink","","55104e76-2bf7-4bf7-87c2-cd85bac6ac68","virustotal-report","misc"
"a5a5ab34-530e-429c-b049-3a654dc75585",48617,"Other","datetime","2021-02-19T00:59:34.000000+0000","",0,1614075514,"last-submission","","55104e76-2bf7-4bf7-87c2-cd85bac6ac68","virustotal-report","misc"
"da0ecfab-4990-4157-bbcd-baf076842116",48617,"Other","text","34/62","",0,1614075514,"detection-ratio","","55104e76-2bf7-4bf7-87c2-cd85bac6ac68","virustotal-report","misc"

