uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"6e5a49c5-25d0-4ebf-bc65-66fd85e4de68",40201,"Payload delivery","filename","File_pass1234.7z","",0,1683719832,"","","","",""
"73faa03f-7e48-4c0c-98f7-cdd925b64499",40201,"Payload delivery","md5","5540ddb41d0a63d4979f901f4d202df4","",1,1683719832,"","","","",""
"46c9ac63-4998-4e1c-9ecf-15752dd50f73",40201,"Payload delivery","sha1","42e5c599e0b7a0fc2fd83bcec3875d6459f379e7","",1,1683719832,"","","","",""
"e12d59af-efc9-42fb-84ff-b830393f343d",40201,"Payload delivery","sha256","65d92a5d853023d1c27966234ed9c9d3eb821e8265bfc68273ecb9a30100d7d8","",1,1683719832,"","","","",""
"223d9e32-386b-4881-abf3-582bdd32f7b7",40201,"Payload delivery","mime-type","7-zip archive data, version 0.4","",0,1683719832,"","","","",""
"6c3e6b48-217a-4029-a605-03a613bcfe3a",40201,"Network activity","url","https://mehtikahrizi.ir/wp-content/download/File_pass1234.7z","",1,1683719832,"","","","",""
"0c67006f-4d56-44d8-adb3-a6c0a30cc1e5",40201,"Network activity","domain","mehtikahrizi.ir","",1,1683719832,"","","","",""
"3ce3b67a-d157-4e6a-bc3e-93949053e2b0",40201,"External analysis","link","https://www.virustotal.com/gui/file/65d92a5d853023d1c27966234ed9c9d3eb821e8265bfc68273ecb9a30100d7d8/detection","",0,1683719832,"permalink","","daf1dcfa-00c2-41db-8b95-ea80de52114a","virustotal-report","misc"
"41c4151d-546f-4111-9609-44aa56096578",40201,"Other","datetime","2023-05-10T11:24:45.000000+0000","",0,1683719832,"last-submission","","daf1dcfa-00c2-41db-8b95-ea80de52114a","virustotal-report","misc"
"d3d3cbf4-e9d3-4121-a448-84dc44158741",40201,"Other","text","0/58","",0,1683719832,"detection-ratio","","daf1dcfa-00c2-41db-8b95-ea80de52114a","virustotal-report","misc"

