uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"23446934-84ad-4b65-8c95-8f726a78e9fd",59175,"Payload delivery","filename","button_cou47.png","",0,1627494606,"","","","",""
"95f6c4de-77f6-4bae-881f-4e4755e6e66f",59175,"Payload delivery","md5","779e038e1958246fb87628384b52fda4","",1,1627494606,"","","","",""
"45888676-4bf1-4bb5-8dee-de9b5fd4e384",59175,"Payload delivery","sha1","fffed1b234dc4c23c6a64761c8b6be5d8e984323","",1,1627494606,"","","","",""
"9e93f826-4462-4a6d-8152-f575a8b5ca7c",59175,"Payload delivery","sha256","18212cfa287efab4d07f3566ff0dcab8e74c180f26289dedbac2ec96705746a5","",1,1627494606,"","","","",""
"09855b9f-ed88-40b9-a7cd-0a7de4d71e29",59175,"Payload delivery","mime-type","PE32 executable (DLL) (GUI) Intel 80386, for MS Windows","",0,1627494606,"","","","",""
"5dc8520d-8a5e-42ec-bb9c-96a7ee77bc37",59175,"Payload delivery","imphash","de31dd75abe38332ca3d0df9db913835","",0,1627494606,"","","","",""
"c0d68c79-146f-4096-99d9-2ca8c2291587",59175,"Network activity","url","http://documentupdates.com:8088/app/button_cou47.png","",1,1627494606,"","","","",""
"a90588d8-0e6a-451f-a767-3790dde3f9ff",59175,"Network activity","domain","documentupdates.com","",1,1627494606,"","","","",""
"8b85c2a0-21ea-4002-9c52-83c8e9cf5bd9",59175,"Other","text",".text","",0,1627494607,"name","","daf4322b-48a5-42d3-8444-07a2b7bc575c","pe-section","file"
"09adbe96-9993-4f5d-9586-b298e6f03460",59175,"Payload delivery","md5","746da902cdd74d75d394a77745c58b2a","",1,1627494607,"md5","","daf4322b-48a5-42d3-8444-07a2b7bc575c","pe-section","file"
"c1abc517-9300-46cf-9e56-4b3e917ef5bb",59175,"Payload delivery","sha1","bbc3650b9340d07f197dba07a56c23c62b437771","",1,1627494607,"sha1","","daf4322b-48a5-42d3-8444-07a2b7bc575c","pe-section","file"
"328908f7-b971-4a87-b15c-05cae6a64c06",59175,"Payload delivery","sha256","f27bb8c22e9cd51b53cc28354683d04c53207c87d937688286ac823e00fbbaa2","",1,1627494607,"sha256","","daf4322b-48a5-42d3-8444-07a2b7bc575c","pe-section","file"
"e918b391-0a53-4d31-ab45-a6958d2ed7d9",59175,"Other","size-in-bytes",23552,"",0,1627494607,"size-in-bytes","","daf4322b-48a5-42d3-8444-07a2b7bc575c","pe-section","file"
