uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"e49f886d-3fae-4276-a9d6-868848dfe9d7",38133,"Payload delivery","filename","m-p.s-l.Sakura","",0,1681889825,"","","","",""
"0c20417e-93f5-44c5-ad06-7e96521efdef",38133,"Payload delivery","md5","cff6217e289c7570c7f8973adf150f55","",1,1681889825,"","","","",""
"a111e66f-3f00-4dcb-b178-7d11aebaf095",38133,"Payload delivery","sha1","1f0193dccb193f68ba503dadbc04ba26deaa589c","",1,1681889825,"","","","",""
"a9f324a6-8035-4771-bdce-a90b3ecb2aaf",38133,"Payload delivery","sha256","3da267a589e64084e07e7e0918da61f0324c4c68604928a4fd73a767aa40d741","",1,1681889825,"","","","",""
"df0675d9-12a3-4542-aff3-d49b6c46f21f",38133,"Payload delivery","mime-type","ELF 32-bit LSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, not stripped","",0,1681889825,"","","","",""
"9526766d-1194-4b66-ab39-ea4be8a9b16e",38133,"Network activity","url","http://79.137.207.119/m-p.s-l.Sakura","",1,1681889825,"","","","",""
"0f23f7de-ed52-4f01-8957-26fc04230037",38133,"Network activity","ip-dst","79.137.207.119","",1,1681889825,"","","","",""
"132d180b-e1e5-4be5-96f9-ccbb7090ffc5",38133,"External analysis","link","https://www.virustotal.com/gui/file/3da267a589e64084e07e7e0918da61f0324c4c68604928a4fd73a767aa40d741/detection","",0,1681889825,"permalink","","21cbad81-1c05-4822-84a9-87bc32ad3d92","virustotal-report","misc"
"c80b3795-94c5-4c32-8fc9-1001cc113cd1",38133,"Other","datetime","2023-04-19T07:10:46.000000+0000","",0,1681889825,"last-submission","","21cbad81-1c05-4822-84a9-87bc32ad3d92","virustotal-report","misc"
"b8420fba-14ba-4c4f-89cf-2ac64fb63f48",38133,"Other","text","41/61","",0,1681889825,"detection-ratio","","21cbad81-1c05-4822-84a9-87bc32ad3d92","virustotal-report","misc"

