uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"ec721ba2-2229-4d37-9408-2bf58b40e99c",7636,"Payload delivery","filename","emptyfilename.tmp","",0,1648041079,"","","","",""
"4d426e48-d9e3-4137-90a1-86976799e535",7636,"Payload delivery","md5","9e21be5dd12d52347e622683e6f78eb5","",1,1648041080,"","","","",""
"22a67c8f-8b87-42c2-9c2b-6f18326df012",7636,"Payload delivery","sha1","2b515f4003fc5d294b84d4d71748f4ccf03ac9b7","",1,1648041080,"","","","",""
"0ab6ee96-9d93-4c6e-aba2-c75bb41f82ad",7636,"Payload delivery","sha256","5430334d7c637c953754713648cf9a9f81418f7b8227524477f485a70a340d66","",1,1648041080,"","","","",""
"75f4db27-560d-43cb-9879-8437a6725913",7636,"Payload delivery","mime-type","PE32 executable (DLL) (GUI) Intel 80386, for MS Windows","",0,1648041080,"","","","",""
"99392500-ef62-491a-8bf9-ee70b331be2d",7636,"Payload delivery","imphash","70b8cfa68ef2c7898ee65b9a0ce218ac","",0,1648041080,"","","","",""
"d8d3ac80-da32-43e9-9075-2a7d873c1aff",7636,"Network activity","url","https://www.cgaei.com/fonts/ABuQi/","",1,1648041080,"","","","",""
"558120af-9285-4d66-a814-b38855eea36d",7636,"Network activity","domain","www.cgaei.com","",1,1648041080,"","","","",""
"82c750d6-cc5f-4bf3-93bd-ee27bb46d4c3",7636,"Other","text",".text","",0,1648041089,"name","","32f967bb-5fc8-405d-b273-82521682f1f2","pe-section","file"
"502ced76-39b8-4449-895e-9ea1e4122f8f",7636,"Payload delivery","md5","6c5c96d7cf842f8945b2c31f06759264","",1,1648041089,"md5","","32f967bb-5fc8-405d-b273-82521682f1f2","pe-section","file"
"88d4b825-dcb0-4c45-9594-447e426e387b",7636,"Payload delivery","sha1","f3807ae67448214d690fa2e5de46e76c025643f8","",1,1648041089,"sha1","","32f967bb-5fc8-405d-b273-82521682f1f2","pe-section","file"
"4d5bc66e-dcc4-4007-a99b-9651e7cc8c9a",7636,"Payload delivery","sha256","34e0c65d0edd429ed0d40e67f59a3d51329468624685c25b69612e7967dd9353","",1,1648041089,"sha256","","32f967bb-5fc8-405d-b273-82521682f1f2","pe-section","file"
