uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"759ff67a-8f73-4ab7-ac17-babadc2a10c8",5653,"Payload delivery","filename","lega.exe","",0,1690213025,"","","","",""
"2dc62fc7-36d1-42fb-b9d9-d17a5b32c74e",5653,"Payload delivery","md5","d16c0ccbc05832b0744a8ebd4adbe092","",1,1690213025,"","","","",""
"4f7c80a3-2cc9-47b8-bc65-c096caee2b87",5653,"Payload delivery","sha1","1f636067c11da38b0b409afa953df42224744d13","",1,1690213025,"","","","",""
"0b7eed5c-9073-4fd4-8e9d-18360a4207ee",5653,"Payload delivery","sha256","ce3f6c84d6b68c669b0ed4d255d368260acfb286299e341de94ed689db6baf21","",1,1690213025,"","","","",""
"4f4d7927-c37f-4ad9-b38a-bb58f71a561f",5653,"Payload delivery","mime-type","application/x-dosexec","",0,1690213025,"","","","",""
"9169fb62-1b4e-494b-abe5-067c2f3c1367",5653,"Payload delivery","imphash","646167cce332c1c252cdcb1839e0cf48","",0,1690213025,"","","","",""
"1dfd4d58-9aa4-4136-8e8f-d7dee7113370",5653,"Network activity","url","http://5.42.92.67/file/lega.exe","",1,1690213025,"","","","",""
"0886799f-09ec-464b-8173-6554b42d61b8",5653,"Network activity","ip-dst","5.42.92.67","",1,1690213025,"","","","",""
"546a1bae-3c7f-4326-8c1c-a49ea182a200",5653,"Other","text",".text","",0,1690213025,"name","","387a657d-9a1d-4b9e-bd7e-e6ed52e7d2aa","pe-section","file"
"a6dd1a1f-248f-4204-84b7-574f0723f2d5",5653,"Payload delivery","md5","b0b66b32f4ca82e2e157c51b24da0be7","",1,1690213025,"md5","","387a657d-9a1d-4b9e-bd7e-e6ed52e7d2aa","pe-section","file"
"d0dcdaeb-ac79-4495-a435-53290d7972d3",5653,"Payload delivery","sha1","52b56b3acafb7b2513e38cf9215a01016f9d1674","",1,1690213025,"sha1","","387a657d-9a1d-4b9e-bd7e-e6ed52e7d2aa","pe-section","file"
"b4079a90-643b-4215-8580-bf072f067f8b",5653,"Payload delivery","sha256","0c9d0b7a20bb354b9657ef41d6f5308cbbc048c452b00a09dc9aa34af47f4260","",1,1690213025,"sha256","","387a657d-9a1d-4b9e-bd7e-e6ed52e7d2aa","pe-section","file"
"3b91a5f1-113f-457c-a2de-62264856795d",5653,"Other","size-in-bytes",25600,"",0,1690213025,"size-in-bytes","","387a657d-9a1d-4b9e-bd7e-e6ed52e7d2aa","pe-section","file"
"e041663d-01df-4d91-ab8e-dffa2cccd9c1",5653,"Other","float",6.31416,"",0,1690213025,"entropy","","387a657d-9a1d-4b9e-bd7e-e6ed52e7d2aa","pe-section","file"
"8fe48c48-60b1-43d0-82a7-0cc9e1ff0a9e",5653,"Other","text",".data","",0,1690213025,"name","","cb18b50c-3ff6-4e73-a891-eb66eb7b37dc","pe-section","file"
"83c5936d-fdd2-4d20-aeb6-bdebad930a1d",5653,"Payload delivery","md5","7b9890a93c0516bb070e1170cfde54d5","",1,1690213025,"md5","","cb18b50c-3ff6-4e73-a891-eb66eb7b37dc","pe-section","file"
"674ac742-b5f9-440a-a9d1-7cc8730ba4ae",5653,"Payload delivery","sha1","9c268b36dcf88164c756c6557ee5339ddd593e21","",1,1690213025,"sha1","","cb18b50c-3ff6-4e73-a891-eb66eb7b37dc","pe-section","file"
"b5eb4de5-8804-4a46-8833-38af6dd47289",5653,"Payload delivery","sha256","f8c66e81a1fc8e3021ffdba20f5fd57b4efb06957d5262c03e4902f4261f9e15","",1,1690213025,"sha256","","cb18b50c-3ff6-4e73-a891-eb66eb7b37dc","pe-section","file"
"7d33cd36-04e8-4da9-8c35-2197f26101c2",5653,"Other","size-in-bytes",512,"",0,1690213025,"size-in-bytes","","cb18b50c-3ff6-4e73-a891-eb66eb7b37dc","pe-section","file"
