uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"fd84931d-d8f1-47c5-8ca4-0507d85940c8",21197,"Payload delivery","filename","jik.exe","",0,1659548585,"","","","",""
"545c8332-a82d-4015-b0db-5b36e5e861c2",21197,"Payload delivery","md5","52d12cdba1e96ce2bc18685e16c6904e","",1,1659548585,"","","","",""
"6d1adad0-3309-4c25-9dca-c958087ab686",21197,"Payload delivery","sha1","70ab79ca3303cb52ee21e57d38d67504b97e704f","",1,1659548585,"","","","",""
"dc2091e3-1f63-4c3c-8dd3-5fbfe1d3b3d1",21197,"Payload delivery","sha256","dca2d6e3f3b63d15829cad917515c62528de68fd2d0c2592a4106ac7b26d097f","",1,1659548585,"","","","",""
"5f74b5e3-a257-43da-9388-4e6fa49ce608",21197,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1659548585,"","","","",""
"a57af4be-9996-4243-90c7-8c822b526b9d",21197,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1659548585,"","","","",""
"eff6351e-64da-4793-ba6d-2706d99b1c2e",21197,"Network activity","url","http://35.158.92.205/jik/jik.exe","",1,1659548585,"","","","",""
"b14dbce1-aba3-4917-b523-6d8e9170de45",21197,"Network activity","ip-dst","35.158.92.205","",1,1659548585,"","","","",""
"e39c4d42-f1de-46f3-aa2c-d47c7bedcc52",21197,"Other","text",".text","",0,1659548585,"name","","5cfa13b0-7ea7-4b4a-9477-1bdff443a1d6","pe-section","file"
"8f64fa69-aa89-4cbb-9c0d-5039dd6d74e2",21197,"Payload delivery","md5","745889493760049d0afa50d67855a3b8","",1,1659548585,"md5","","5cfa13b0-7ea7-4b4a-9477-1bdff443a1d6","pe-section","file"
