uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"fca88cd8-3484-403f-9a3e-f5f46d556def",10999,"Payload delivery","filename","SOA.exe","",0,1650532085,"","","","",""
"a3394d04-a625-4ee0-8a9c-79119bce3151",10999,"Payload delivery","md5","93e3bdea9d02c1fe0a20fbf37bab7c47","",1,1650532085,"","","","",""
"15fda42a-6d11-4270-9a98-3787959b9a1a",10999,"Payload delivery","sha1","f52f4c0fe649e9d890bc8527c30f2420b1cfb607","",1,1650532085,"","","","",""
"2d28d05d-6655-453a-b32c-c93cb57aea0c",10999,"Payload delivery","sha256","505039af192a0d6c1ff7ff30ce294fee8fef7e02c01927c8a5407411b0257e34","",1,1650532085,"","","","",""
"f97517f1-b289-4b36-91c5-92930e2f2d7b",10999,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1650532085,"","","","",""
"2b97bfa7-80a7-41b1-a7d2-ace874bc8810",10999,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1650532085,"","","","",""
"5dc9b9dc-9607-4b3c-9aa4-648e44fd0b3c",10999,"Network activity","url","http://172.245.27.27/SOA.exe","",1,1650532085,"","","","",""
"4ecaa5be-ec12-4d9b-bda5-b6021a814394",10999,"Network activity","ip-dst","172.245.27.27","",1,1650532085,"","","","",""
"d778eac9-1f94-472b-8e8e-de6eed8fd0df",10999,"Other","text",".text","",0,1650532086,"name","","9ca8395c-b402-46e7-8d08-8d67a0437362","pe-section","file"
"74f56e7d-60ae-4f98-beec-6b7be7836e6a",10999,"Payload delivery","md5","ce51b52549152c49fde6d23b14918895","",1,1650532086,"md5","","9ca8395c-b402-46e7-8d08-8d67a0437362","pe-section","file"
"b29ce271-63fa-46ff-ad87-73687fd01681",10999,"Payload delivery","sha1","4b3dfd3c26aad0bc71d606a622193049e2c7b59c","",1,1650532086,"sha1","","9ca8395c-b402-46e7-8d08-8d67a0437362","pe-section","file"
"ab495bd1-9562-4753-8ed9-96546cb7620e",10999,"Payload delivery","sha256","a9d9ed22b641e71359e7285c8aa88c51ea418ff2a887d3adc3e1f72b9ce453a8","",1,1650532086,"sha256","","9ca8395c-b402-46e7-8d08-8d67a0437362","pe-section","file"
