uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5523232d-3674-45a3-a44d-57216424063e",41460,"Payload delivery","filename","WinRing0x64.sys","",0,1685176084,"","","","",""
"de992912-612c-4bad-bdc3-6876ca0c20e8",41460,"Payload delivery","md5","0c0195c48b6b8582fa6f6373032118da","",1,1685176084,"","","","",""
"d0df61b1-a094-4f5d-9458-840f0ce32699",41460,"Payload delivery","sha1","d25340ae8e92a6d29f599fef426a2bc1b5217299","",1,1685176084,"","","","",""
"24a837f8-d583-4e22-83b0-cb2e661bc264",41460,"Payload delivery","sha256","11bd2c9f9e2397c9a16e0990e4ed2cf0679498fe0fd418a3dfdac60b5c160ee5","",1,1685176084,"","","","",""
"d381987c-64a1-404a-8354-e0a530a9c32b",41460,"Payload delivery","mime-type","PE32+ executable (native) x86-64, for MS Windows","",0,1685176084,"","","","",""
"b76654e5-2023-4ef5-86e8-3dd0a66b2189",41460,"Payload delivery","imphash","d41fa95d4642dc981f10de36f4dc8cd7","",0,1685176084,"","","","",""
"3626a454-184b-4518-8cec-02e6842eecca",41460,"Network activity","url","https://raw.githubusercontent.com/S1lentHash/file_to_dwnld/main/WinRing0x64.sys","",1,1685176084,"","","","",""
"d5e2860c-4a12-4415-b1f9-9394ef168447",41460,"Network activity","domain","raw.githubusercontent.com","",1,1685176084,"","","","",""
"434444fa-7bc5-4dc5-b1e7-d9db7a4b0c8d",41460,"Other","text",".text","",0,1685176085,"name","","87437daf-8835-4673-a52f-3ee0fa8bffcb","pe-section","file"
"dbc0bf6b-727c-4c9f-9182-d93113ea8027",41460,"Payload delivery","md5","1c3d5bb2285dafcf3b7746bf717c1a51","",1,1685176085,"md5","","87437daf-8835-4673-a52f-3ee0fa8bffcb","pe-section","file"
"55a02538-901f-44e2-a0e3-4fdb989530f4",41460,"Payload delivery","sha1","fb3662c00e041cc3fd4632fc3af1a6ee1e9adf65","",1,1685176085,"sha1","","87437daf-8835-4673-a52f-3ee0fa8bffcb","pe-section","file"
"ca00c826-0c63-4133-88ee-61cf38bf0a43",41460,"Payload delivery","sha256","bb6ff767614c7b790f14fa23afd68cda015814f1313d87495946dc89016db1fb","",1,1685176085,"sha256","","87437daf-8835-4673-a52f-3ee0fa8bffcb","pe-section","file"
"9bd9080c-5a43-4ffd-944e-833a6905db44",41460,"Other","size-in-bytes",2048,"",0,1685176085,"size-in-bytes","","87437daf-8835-4673-a52f-3ee0fa8bffcb","pe-section","file"
"f214c168-1cc8-4524-8027-b520f7bdec0a",41460,"Other","float",5.39102,"",0,1685176085,"entropy","","87437daf-8835-4673-a52f-3ee0fa8bffcb","pe-section","file"
"e64ef59b-6e43-4775-adf2-7490a1eafe12",41460,"Other","text",".rdata","",0,1685176085,"name","","71199e16-57fe-400c-94e1-06eb73ac4773","pe-section","file"
"20ea1a6e-991b-4592-99d2-91f86bcef401",41460,"Payload delivery","md5","08362d1269d5a5ef4e7560cab993590d","",1,1685176085,"md5","","71199e16-57fe-400c-94e1-06eb73ac4773","pe-section","file"
"31a6a212-d740-43b2-8cd2-772c149adacd",41460,"Payload delivery","sha1","316fe35ff30c114253ea682a9c9929679bbb3459","",1,1685176085,"sha1","","71199e16-57fe-400c-94e1-06eb73ac4773","pe-section","file"
"8bcec39d-8984-4f16-83b3-93e98186dc38",41460,"Payload delivery","sha256","9bee45685c1797fe5f69f58bb4324a3dcf6295a7c345a56a0b17fe8fb595b372","",1,1685176085,"sha256","","71199e16-57fe-400c-94e1-06eb73ac4773","pe-section","file"
"a08d6d30-4475-48bf-aa48-bfc2ed31188b",41460,"Other","size-in-bytes",512,"",0,1685176085,"size-in-bytes","","71199e16-57fe-400c-94e1-06eb73ac4773","pe-section","file"
"e07d8276-d93f-456a-8561-804d5cf0c0c5",41460,"Other","float",3.28451,"",0,1685176085,"entropy","","71199e16-57fe-400c-94e1-06eb73ac4773","pe-section","file"
"beb8abf1-fefa-4eec-8ce1-072614942147",41460,"Other","text",".data","",0,1685176085,"name","","f82985eb-9909-472e-85e0-09663d42abf4","pe-section","file"
"476a3995-4b5c-40b3-912e-a6cda71a05ee",41460,"Payload delivery","md5","043c46095689123e1f5be96c109c2f46","",1,1685176085,"md5","","f82985eb-9909-472e-85e0-09663d42abf4","pe-section","file"
"0e68ebdd-e2cd-419a-aa68-a0dcce575db8",41460,"Payload delivery","sha1","1dac2e85e0b0e26cd7b1735882681682853b6b46","",1,1685176085,"sha1","","f82985eb-9909-472e-85e0-09663d42abf4","pe-section","file"
"e91fb6af-b534-4814-9422-9a0e83cabaf5",41460,"Payload delivery","sha256","6d9f1ceff88895d9855aa37608ab958f1256662a77d8674f39a6d8211be48723","",1,1685176085,"sha256","","f82985eb-9909-472e-85e0-09663d42abf4","pe-section","file"
"3a886833-521b-486a-b65f-0e2685edc1d9",41460,"Other","size-in-bytes",512,"",0,1685176085,"size-in-bytes","","f82985eb-9909-472e-85e0-09663d42abf4","pe-section","file"
"943880ed-5747-46d3-8316-c0b1cb41dfda",41460,"Other","float",0.301407,"",0,1685176085,"entropy","","f82985eb-9909-472e-85e0-09663d42abf4","pe-section","file"
"b4451fc7-f8ae-4779-8e8f-a22f135ee59d",41460,"Other","text",".pdata","",0,1685176085,"name","","a193bcda-4955-4972-9092-60661a45a084","pe-section","file"
"9de412b0-9754-4361-b21a-b2125957f1d4",41460,"Payload delivery","md5","077af14197899077aa36d2c72ba1773f","",1,1685176085,"md5","","a193bcda-4955-4972-9092-60661a45a084","pe-section","file"
