uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"606f0cc3-0200-4cd3-9a77-bd82d510a046",56069,"Payload delivery","filename","boss.arm5n","",0,1622703306,"","","","",""
"97e6bd39-23b2-4fc3-8534-1f2ba50fed7c",56069,"Payload delivery","md5","0d549f0cd1c0e3688b6099dd9961ad3c","",1,1622703306,"","","","",""
"959d3939-fd36-46aa-b4eb-8e32a4bd482f",56069,"Payload delivery","sha1","99c0b066e3589d96e1365ef5fb402650878fdeb2","",1,1622703306,"","","","",""
"b9dfeb01-2b11-46a8-a7a8-e8a837f7f30c",56069,"Payload delivery","sha256","206f44b870dec43ffc6ab8b47b66ab0b5a8e15645fcdf49427b41bb2c870d27e","",1,1622703306,"","","","",""
"37efe6ca-5ae1-4a0a-b12b-1a0d0db0685e",56069,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped","",0,1622703306,"","","","",""
"ea8c968c-00b6-4335-ad59-c1b7b80e7531",56069,"Network activity","url","http://45.144.225.232/bins/boss.arm5n","",1,1622703306,"","","","",""
"52129c27-2a16-44bb-9f71-77ba21b98f8b",56069,"Network activity","ip-dst","45.144.225.232","",1,1622703306,"","","","",""
"9cd0cfa2-8ef0-446b-9b27-0f84843ac822",56069,"External analysis","link","https://www.virustotal.com/gui/file/206f44b870dec43ffc6ab8b47b66ab0b5a8e15645fcdf49427b41bb2c870d27e/detection","",0,1622703307,"permalink","","b460ceec-dc8d-4331-ad0a-252e895f0616","virustotal-report","misc"
"fc30e846-b6f6-4808-99c1-30835fa3b637",56069,"Other","datetime","2021-05-14T13:21:37.000000+0000","",0,1622703307,"last-submission","","b460ceec-dc8d-4331-ad0a-252e895f0616","virustotal-report","misc"
"e03d7f2c-b182-43d2-9aae-8f8f71fa2052",56069,"Other","text","35/61","",0,1622703307,"detection-ratio","","b460ceec-dc8d-4331-ad0a-252e895f0616","virustotal-report","misc"

