uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"adfe8241-768a-4748-a5cb-5a58dfcd349a",57772,"Payload delivery","filename","Mozi.m","",0,1625465526,"","","","",""
"77e9a763-1f6d-4c9c-829c-f5dfde765aef",57772,"Payload delivery","md5","d2481e539e52b70e58137e018178dcf6","",1,1625465526,"","","","",""
"05ec2100-60cc-448b-a30b-9eb386156815",57772,"Payload delivery","sha1","ee3292b37182b80207b4954a431dfebe26ddb6b3","",1,1625465526,"","","","",""
"403a2cf0-3133-4949-958f-3f7ae1b28f50",57772,"Payload delivery","sha256","8090bb4e9389bef0b65250a5463e010cc17804ff714c79eaa75aebf0482050a3","",1,1625465526,"","","","",""
"dc9f9607-46a7-4b1b-bd8a-fd6d1819e8e2",57772,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, no section header","",0,1625465526,"","","","",""
"ba78cf67-81d3-4f7d-b4a2-1ef16a257825",57772,"Network activity","url","http://42.238.132.175:44348/Mozi.m","",1,1625465526,"","","","",""
"22e22a36-5c1f-4e03-8188-2805f7b98470",57772,"Network activity","ip-dst","42.238.132.175","",1,1625465526,"","","","",""
"1eea33ae-0714-4779-a93a-a7a264e51634",57772,"External analysis","link","https://www.virustotal.com/gui/file/8090bb4e9389bef0b65250a5463e010cc17804ff714c79eaa75aebf0482050a3/detection","",0,1625465526,"permalink","","22ac9377-b100-471a-bcb6-328c2e5fcea4","virustotal-report","misc"
"0e93b13d-5662-43a2-98ae-c0f71839e72b",57772,"Other","datetime","2021-07-03T11:11:51.000000+0000","",0,1625465526,"last-submission","","22ac9377-b100-471a-bcb6-328c2e5fcea4","virustotal-report","misc"
"23e793c0-0567-4978-99c6-239eef1946f0",57772,"Other","text","30/61","",0,1625465526,"detection-ratio","","22ac9377-b100-471a-bcb6-328c2e5fcea4","virustotal-report","misc"

