uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"c00d05dc-aabd-4904-80e0-16181c3a8572",58960,"Payload delivery","filename","Mozi.m","",0,1627274646,"","","","",""
"381a4e69-7c4f-4f8e-9a2b-a42a6704bd96",58960,"Payload delivery","md5","06a426dcd48d71cb92ee038fab0695e1","",1,1627274646,"","","","",""
"5ca2f402-6286-4067-9af8-1ca2a797477c",58960,"Payload delivery","sha1","724fb18873bdfd8a56c560a22d3d01ed116283a9","",1,1627274646,"","","","",""
"c7d6707f-f58c-42a8-bdbb-464b53a260e9",58960,"Payload delivery","sha256","9b4fae2c14959e9b7c1f313e4419b57c079d4f17a78e770715e4941d0c40d50b","",1,1627274646,"","","","",""
"cf5574cf-82fa-45ad-ae1d-eb638963856d",58960,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, no section header","",0,1627274646,"","","","",""
"0bfbd7fc-a4b1-4aa2-a504-d1de78ef587b",58960,"Network activity","url","http://27.6.240.41:56482/Mozi.m","",1,1627274646,"","","","",""
"3a7e0965-b450-4afb-962d-a0edcacadb84",58960,"Network activity","ip-dst","27.6.240.41","",1,1627274646,"","","","",""
"770e3549-c827-4cd1-a6d3-c4c7e9215936",58960,"Network activity","url","http://117.201.193.102:46401/Mozi.m","",1,1627468385,"","","","",""
"a61d20fa-c40a-4573-80b4-b65c415f13e9",58960,"Network activity","ip-dst","117.201.193.102","",1,1627468385,"","","","",""
"8f38bd6b-75f9-4d60-8fa1-ad13310b52a5",58960,"External analysis","link","https://www.virustotal.com/gui/file/9b4fae2c14959e9b7c1f313e4419b57c079d4f17a78e770715e4941d0c40d50b/detection","",0,1627274646,"permalink","","a92dd8ae-0415-4c2b-a425-9cef491240a5","virustotal-report","misc"
"cd7304f5-16bc-4744-993d-c1afd8dfb0f1",58960,"Other","datetime","2021-07-25T18:04:27.000000+0000","",0,1627274646,"last-submission","","a92dd8ae-0415-4c2b-a425-9cef491240a5","virustotal-report","misc"
"98b64317-0975-4e81-b08e-416e21d44d62",58960,"Other","text","30/61","",0,1627274646,"detection-ratio","","a92dd8ae-0415-4c2b-a425-9cef491240a5","virustotal-report","misc"

