uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"42a29932-7cf8-4fe3-b2ed-20fe6f9f2229",6897,"Payload delivery","filename","cundi.m68k","",0,1693195451,"","","","",""
"e13bae9d-1d9f-45ba-9d1c-d693ded6d9f9",6897,"Payload delivery","md5","e5f7414e9244f8dc20158e5e41f96aea","",1,1693195451,"","","","",""
"e25a9e0b-6965-4e72-aadf-7470e1276737",6897,"Payload delivery","sha1","abbf2f179af7c5341c6b5407510a7c311f59ce23","",1,1693195451,"","","","",""
"d9a7724f-fccb-4997-9701-f732661ca178",6897,"Payload delivery","sha256","17811a90f750accd5e9211c8251c267cf22f6a77b7a79325a01ee33259a9587c","",1,1693195451,"","","","",""
"2d6226f6-118c-4779-a76b-3ffacfef02de",6897,"Payload delivery","mime-type","application/x-executable","",0,1693195451,"","","","",""
"7dfded4c-7d45-431a-81db-8e3f5c9d9d54",6897,"Network activity","url","http://79.110.62.158/cundi.m68k","",1,1693195451,"","","","",""
"ccf944d3-8649-4eb5-a0b0-182065b6bff4",6897,"Network activity","ip-dst","79.110.62.158","",1,1693195451,"","","","",""
"1a107f99-ce25-4b06-959b-5e3c0b76f0e1",6897,"External analysis","link","https://www.virustotal.com/gui/file/17811a90f750accd5e9211c8251c267cf22f6a77b7a79325a01ee33259a9587c/detection","",0,1693195451,"permalink","","15b65941-f518-4306-9581-95998579aab8","virustotal-report","misc"
"b4a7ce63-1779-4a69-91bc-812a44707565",6897,"Other","datetime","2023-08-26T21:32:25.000000+0000","",0,1693195451,"last-submission","","15b65941-f518-4306-9581-95998579aab8","virustotal-report","misc"
"ce0e5dd7-9bf4-4224-8e9d-38a8f55c6b37",6897,"Other","text","23/56","",0,1693195451,"detection-ratio","","15b65941-f518-4306-9581-95998579aab8","virustotal-report","misc"

