uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"4621fba0-150c-4612-bc33-3d2e84a215fb",12407,"Payload delivery","filename","66c88e6d46f4d_crypted.exe","",0,1728129672,"","","","",""
"195e9e1b-a99d-4fd3-9ccf-6f590f2e865f",12407,"Payload delivery","md5","95fe51bf6712dabad88f0dff35b9cc2a","",1,1728129672,"","","","",""
"cac8778e-7bce-48b7-81e9-3fa671da636d",12407,"Payload delivery","sha1","923a6370d5acbfccebaefcb467bceda66a8b8f1f","",1,1728129672,"","","","",""
"7d0fd145-e9fe-4c03-b4b4-954fb6eacc9b",12407,"Payload delivery","sha256","beed06c4844fec238d982f8389a95e2a1dcd18ef1c2f1d9870a0561d20702073","",1,1728129672,"","","","",""
"89974e6f-dd59-4690-a874-2d21ff5518f3",12407,"Payload delivery","mime-type","application/x-dosexec","",0,1728129672,"","","","",""
"37548667-8681-459d-a58e-adcd7685f68c",12407,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1728129672,"","","","",""
"8b95e3df-3c29-40a7-aef5-02b5a8ff2c6d",12407,"Network activity","url","http://jask.powerforxes.shop/yuop/66c88e6d46f4d_crypted.exe","",1,1728129672,"","","","",""
"becbd413-9f66-40e5-9004-98f66b5ced54",12407,"Network activity","domain","jask.powerforxes.shop","",1,1728129672,"","","","",""
"c10669c2-62f4-46cd-ad94-1deb0ef70350",12407,"Other","text",".text","",0,1728129672,"name","","4f9fa103-1033-42e4-9173-5a025b305264","pe-section","file"
"557d63bf-1bab-4f27-b23c-d57764704890",12407,"Payload delivery","md5","a397b56abe52b45a7198306b11b1b348","",1,1728129672,"md5","","4f9fa103-1033-42e4-9173-5a025b305264","pe-section","file"
"6e7fa67d-6182-4319-a007-2f7a9effcc9a",12407,"Payload delivery","sha1","eeb753be81aafdee9c098f7a40eb3416fbacc5e0","",1,1728129672,"sha1","","4f9fa103-1033-42e4-9173-5a025b305264","pe-section","file"
"8f4679b4-8188-4950-ab9c-9cbaafa8c4a1",12407,"Payload delivery","sha256","4f73fc331f30a9af774807592b6ff34f52d8ba1c9926dfb878a61b165b5240ff","",1,1728129672,"sha256","","4f9fa103-1033-42e4-9173-5a025b305264","pe-section","file"
"13259363-ffbd-485f-b798-61b80231e8db",12407,"Other","size-in-bytes",318464,"",0,1728129672,"size-in-bytes","","4f9fa103-1033-42e4-9173-5a025b305264","pe-section","file"
"c6e81474-d4e0-457f-bc0e-034b629ecfd0",12407,"Other","float",7.99595,"",0,1728129672,"entropy","","4f9fa103-1033-42e4-9173-5a025b305264","pe-section","file"
"453b390f-1c64-4f55-b75c-81b3c2247719",12407,"Other","text",".rsrc","",0,1728129672,"name","","2e127658-7001-43d0-aa12-935e1f98145e","pe-section","file"
"e0e1bdf5-af10-4758-a24c-78f8933108b0",12407,"Payload delivery","md5","55e4aeb3ea57926e2cb00ef422ea3777","",1,1728129672,"md5","","2e127658-7001-43d0-aa12-935e1f98145e","pe-section","file"
"56c7f77b-e45b-43ef-b319-5ec1fcf95b16",12407,"Payload delivery","sha1","4803a94e342b2df3e030aaa9683cf5696df199b2","",1,1728129672,"sha1","","2e127658-7001-43d0-aa12-935e1f98145e","pe-section","file"
"150c635a-356d-470f-9b55-b7e4bb1fe744",12407,"Payload delivery","sha256","612f1a3188d25a7d269dbb1ed65487774cccdaff7124b0f9d97c991903e5e59b","",1,1728129672,"sha256","","2e127658-7001-43d0-aa12-935e1f98145e","pe-section","file"
"cc98f8ec-a7a1-40bf-87ac-82e1dfaa1148",12407,"Other","size-in-bytes",1536,"",0,1728129672,"size-in-bytes","","2e127658-7001-43d0-aa12-935e1f98145e","pe-section","file"
"aa0c6623-244e-49bf-8428-f3d9e70d01f4",12407,"Other","float",4.10905,"",0,1728129672,"entropy","","2e127658-7001-43d0-aa12-935e1f98145e","pe-section","file"
"24edfce4-9d80-4118-8f80-e39a4c02c4e2",12407,"Other","text",".reloc","",0,1728129672,"name","","678a40f0-3caa-4484-8fe5-a4d8095be7bd","pe-section","file"
"a907dc90-fee6-4227-8884-bbd0f3adfeda",12407,"Payload delivery","md5","f47a00f16e1e5de937d465e971f70214","",1,1728129672,"md5","","678a40f0-3caa-4484-8fe5-a4d8095be7bd","pe-section","file"
