uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"1d21722b-68bc-466f-9a3a-102189959563",34399,"Payload delivery","filename","gadfe.x86","",0,1601832245,"","","","",""
"a852a31d-443e-44e5-96b1-2c69ba2deaef",34399,"Payload delivery","md5","e6d9758b515386de91038b963cb4f234","",1,1601832245,"","","","",""
"d6545d7c-fe6d-4b26-95ef-e26539ecf321",34399,"Payload delivery","sha1","16f59d86fcfd4e305dc6f684ff0fa649cd92d991","",1,1601832245,"","","","",""
"0ae8b74c-0ab1-4e1b-a2df-48335add7a44",34399,"Payload delivery","sha256","5b97ce89eb3dc96d78ef144d21f4d9e803dc392a7b389070d4bead4d03ef30cf","",1,1601832245,"","","","",""
"ccec403b-9435-46fe-b857-e98e03c95e50",34399,"Payload delivery","mime-type","ELF 64-bit LSB executable, x86-64, version 1 (SYSV), statically linked, not stripped","",0,1601832245,"","","","",""
"bfebad8b-c002-4131-b264-a311f07b9763",34399,"Network activity","url","http://192.129.175.148/gadfe.x86","",1,1601832245,"","","","",""
"cd0355b8-5392-40d7-8d82-3e7db785dd12",34399,"Network activity","ip-dst","192.129.175.148","",1,1601832245,"","","","",""
"ef65f4a0-ea7d-408e-baea-d7c9e47291ab",34399,"External analysis","link","https://www.virustotal.com/gui/file/5b97ce89eb3dc96d78ef144d21f4d9e803dc392a7b389070d4bead4d03ef30cf/detection","",0,1601832245,"permalink","","e8f0edc0-1553-424c-a13e-437820b6a6ad","virustotal-report","misc"
"68a28b26-ca20-4915-8a56-df8a723e9016",34399,"Other","datetime","2020-10-02T10:24:50.000000+0000","",0,1601832245,"last-submission","","e8f0edc0-1553-424c-a13e-437820b6a6ad","virustotal-report","misc"
"0aa55668-ca34-465e-b61a-b562aaebefec",34399,"Other","text","33/58","",0,1601832245,"detection-ratio","","e8f0edc0-1553-424c-a13e-437820b6a6ad","virustotal-report","misc"

