uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"3e733acc-1cfb-4886-973a-5a76d42f2517",11905,"Payload delivery","filename","uidiscord.exe","",0,1727870648,"","","","",""
"8bde3994-1f81-48e0-adf5-6d913a56d351",11905,"Payload delivery","md5","7aef605f69c095df3fdb7e957f49c240","",1,1727870648,"","","","",""
"2f400c1a-d705-48c5-9d65-f20ce81d810c",11905,"Payload delivery","sha1","ba625175d4dbfd63ed4e26e32da37a23bf34507c","",1,1727870648,"","","","",""
"85515d9f-19ee-47ae-b68c-383d5995f4f1",11905,"Payload delivery","sha256","7ae7526ab8be88b3d5266cd86d23fbab9aec7410d81aac1b9631a29ef44f6dc5","",1,1727870648,"","","","",""
"7b996a19-d09e-4273-92a6-139426417b93",11905,"Payload delivery","mime-type","application/x-dosexec","",0,1727870648,"","","","",""
"b2b5d9b6-460f-4a27-b9a8-104006ebc5eb",11905,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1727870648,"","","","",""
"c54a5f7f-078a-4452-a913-8e06aedb26af",11905,"Network activity","url","http://103.91.190.180/uidiscord.exe","",1,1727870648,"","","","",""
"676215d2-5224-4f81-91d3-668d7296ecf2",11905,"Network activity","ip-dst","103.91.190.180","",1,1727870648,"","","","",""
"3268a4a5-3b48-4e01-8fd6-9c20faa91f14",11905,"Other","text",".text","",0,1727870648,"name","","8e424f99-8083-48b8-b253-90a69b2294b4","pe-section","file"
"6cbeed4d-fb08-4d8b-84a5-f6856d6c57d2",11905,"Payload delivery","md5","50ff33240c83ac6fa01e1fa06a9938e4","",1,1727870648,"md5","","8e424f99-8083-48b8-b253-90a69b2294b4","pe-section","file"
"ea1eabd1-9116-4a89-ae89-3de387b1d8c4",11905,"Payload delivery","sha1","2262f553d458f39d071dea69adc3e4a7befa7161","",1,1727870648,"sha1","","8e424f99-8083-48b8-b253-90a69b2294b4","pe-section","file"
"a617514f-3263-48a9-8d2e-606dc7e3509c",11905,"Payload delivery","sha256","6df084568e215cab803c912cf24cede5b07b533c23518e0e929c233ff81ad370","",1,1727870648,"sha256","","8e424f99-8083-48b8-b253-90a69b2294b4","pe-section","file"
"4693d591-235f-49b3-bc74-b0dcaa69ba31",11905,"Other","size-in-bytes",38912,"",0,1727870648,"size-in-bytes","","8e424f99-8083-48b8-b253-90a69b2294b4","pe-section","file"
