uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"a91b672d-0681-497e-8812-16e62837a9cb",62936,"Payload delivery","filename","new.exe","",0,1633598292,"","","","",""
"41c27a00-100b-4719-b4c1-a8ced054dc72",62936,"Payload delivery","md5","e13c7ba670a1ceb573c5d297b888df6c","",1,1633598294,"","","","",""
"3db25999-6b64-40fd-95c6-43a24700c634",62936,"Payload delivery","sha1","2bfe27ead8d9acd340349c5943fecdf1e8e8775b","",1,1633598294,"","","","",""
"38f279c0-86dd-4ca5-8592-032eb75e3d1a",62936,"Payload delivery","sha256","60bdba6fc20036919b398083a3d70f044c68295fac92973b8994eda040493198","",1,1633598294,"","","","",""
"638cff74-faa0-4798-a0a2-5fafcf5b4766",62936,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows, Nullsoft Installer self-extracting archive","",0,1633598294,"","","","",""
"21209ded-e37f-4af2-8feb-89be80ac8341",62936,"Payload delivery","imphash","b76363e9cb88bf9390860da8e50999d2","",0,1633598295,"","","","",""
"c2bb27a5-88e1-4110-aa59-13ca323a2e90",62936,"Network activity","url","http://172.245.163.145/new/new.exe","",1,1633598295,"","","","",""
"b59eb305-2330-4dc4-9b8d-579ee0e38dfd",62936,"Network activity","ip-dst","172.245.163.145","",1,1633598295,"","","","",""
"c014d95e-4fe7-45f0-8d92-5445cf9e360e",62936,"Other","text",".text","",0,1633598295,"name","","04a52d68-5627-4754-9d51-e8e24a4070eb","pe-section","file"
"eab0e008-8925-4b93-b428-9db157f45a55",62936,"Payload delivery","md5","d22b359417726295d1d61eaac63c3d95","",1,1633598295,"md5","","04a52d68-5627-4754-9d51-e8e24a4070eb","pe-section","file"
"4b6048c6-60e5-4a6e-88c4-0be44d1a296f",62936,"Payload delivery","sha1","409ff93efa270a4277afa70e0ea6e60804a9ff2e","",1,1633598295,"sha1","","04a52d68-5627-4754-9d51-e8e24a4070eb","pe-section","file"
"94950c4e-e0c3-4660-b375-c73f2066fbac",62936,"Payload delivery","sha256","a1ce721f4b8c474851a5054e5b681cd17dc68322cae93477d010f389e5ab3f67","",1,1633598295,"sha256","","04a52d68-5627-4754-9d51-e8e24a4070eb","pe-section","file"
"b06f1e3a-1e58-4469-a76e-dcb673798e72",62936,"Other","size-in-bytes",24576,"",0,1633598295,"size-in-bytes","","04a52d68-5627-4754-9d51-e8e24a4070eb","pe-section","file"
"6c8c9c91-625b-469a-9573-8e3c954c1d79",62936,"Other","float",6.44066,"",0,1633598295,"entropy","","04a52d68-5627-4754-9d51-e8e24a4070eb","pe-section","file"
"b09f9380-75f4-4878-b9b7-e4659cd7775d",62936,"Other","text",".rdata","",0,1633598295,"name","","937f01a7-d3c1-4c6c-85ef-c716383c09ae","pe-section","file"
"92484d1d-2fe5-4ff8-b0c1-bada3a059255",62936,"Payload delivery","md5","68295528d67e59e0536c9d80519cbe96","",1,1633598295,"md5","","937f01a7-d3c1-4c6c-85ef-c716383c09ae","pe-section","file"
"4524f3e7-eddb-4f58-a102-cee929d0c95e",62936,"Payload delivery","sha1","9b91f1480a4292c85fe41396025856f8b6f5a52a","",1,1633598295,"sha1","","937f01a7-d3c1-4c6c-85ef-c716383c09ae","pe-section","file"
"22bd7725-dca5-43d9-843d-ebf6f7f8d625",62936,"Payload delivery","sha256","efaf6c9b5cf1537cb8d5542dbd56be023061b754d96998d96bdc335163531177","",1,1633598295,"sha256","","937f01a7-d3c1-4c6c-85ef-c716383c09ae","pe-section","file"
"98c6f8ad-0236-4253-b25e-14e48956ef95",62936,"Other","size-in-bytes",5120,"",0,1633598295,"size-in-bytes","","937f01a7-d3c1-4c6c-85ef-c716383c09ae","pe-section","file"
"a2e82719-24a9-4c53-8cc7-793d22717027",62936,"Other","float",5.05833,"",0,1633598295,"entropy","","937f01a7-d3c1-4c6c-85ef-c716383c09ae","pe-section","file"
"42d864ec-ce2c-4667-acc0-f8bff61d3686",62936,"Other","text",".data","",0,1633598296,"name","","0f0edc22-b493-4b41-a97a-17f48559fca9","pe-section","file"
"fc4e38ac-f927-4104-92d6-a9dbb6c014ca",62936,"Payload delivery","md5","82232fd09381275af53acb18fd24a88b","",1,1633598296,"md5","","0f0edc22-b493-4b41-a97a-17f48559fca9","pe-section","file"
"052ea2ba-5a43-44b9-b034-2c621d355e07",62936,"Payload delivery","sha1","720e58c4eb1e785378eac9750e52233a936ce94b","",1,1633598296,"sha1","","0f0edc22-b493-4b41-a97a-17f48559fca9","pe-section","file"
"6e51a32d-ae64-4ab6-8883-68a407e467da",62936,"Payload delivery","sha256","d821108f8d336a774de3f108d19c9368762b4445f7a78ec0420aa61ec6015916","",1,1633598296,"sha256","","0f0edc22-b493-4b41-a97a-17f48559fca9","pe-section","file"
"ae8ff0a5-0d2f-4055-b41a-8e16d17669f1",62936,"Other","size-in-bytes",1536,"",0,1633598296,"size-in-bytes","","0f0edc22-b493-4b41-a97a-17f48559fca9","pe-section","file"
"eff13b56-8e8b-4e69-a0d4-6f7531f410e8",62936,"Other","float",4.18773,"",0,1633598296,"entropy","","0f0edc22-b493-4b41-a97a-17f48559fca9","pe-section","file"
"1d3387b8-20f4-49a6-835f-a776a4754474",62936,"Other","text",".ndata","",0,1633598297,"name","","119cdc72-365d-4848-b22c-76ba8593eece","pe-section","file"
"b3743f4a-db81-4767-b57a-2f7196684d0f",62936,"Payload delivery","md5","d41d8cd98f00b204e9800998ecf8427e","",1,1633598297,"md5","","119cdc72-365d-4848-b22c-76ba8593eece","pe-section","file"
"dd78e3ea-dd05-4f72-bf41-ed6d111a5f9b",62936,"Payload delivery","sha1","da39a3ee5e6b4b0d3255bfef95601890afd80709","",1,1633598297,"sha1","","119cdc72-365d-4848-b22c-76ba8593eece","pe-section","file"
"6def8089-6520-4091-9e5e-8cda06213668",62936,"Payload delivery","sha256","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","",1,1633598297,"sha256","","119cdc72-365d-4848-b22c-76ba8593eece","pe-section","file"
"86265b91-b06b-4fa7-a6b1-744c2ef5d716",62936,"Other","size-in-bytes",0,"",0,1633598297,"size-in-bytes","","119cdc72-365d-4848-b22c-76ba8593eece","pe-section","file"
"90364477-7845-4150-9db6-391d07d1488e",62936,"Other","float",0,"",0,1633598297,"entropy","","119cdc72-365d-4848-b22c-76ba8593eece","pe-section","file"
"d811a2a3-083e-4dd2-8257-d8a472a86cf1",62936,"Other","text",".rsrc","",0,1633598297,"name","","d13ba0e4-f59b-4e5e-9288-d736f62ad75f","pe-section","file"
"d0ff2e05-b1c9-447e-9e29-cab92e951334",62936,"Payload delivery","md5","3381a6704ae87a5129a5d153b641ddb6","",1,1633598297,"md5","","d13ba0e4-f59b-4e5e-9288-d736f62ad75f","pe-section","file"
"99de05b2-d73c-4e2b-be7a-7d778be3770c",62936,"Payload delivery","sha1","46763185abc465bd17c022c94a907e9f407cba0f","",1,1633598297,"sha1","","d13ba0e4-f59b-4e5e-9288-d736f62ad75f","pe-section","file"
"007c14b6-bdbc-4dd4-8f88-b79ac720c346",62936,"Payload delivery","sha256","50637e77508582bbe340997e37bf4487c1a57ce86c757b6761121a9a5d591f83","",1,1633598297,"sha256","","d13ba0e4-f59b-4e5e-9288-d736f62ad75f","pe-section","file"
"8f23ddfb-f378-4324-91d6-e3d8a87536ad",62936,"Other","size-in-bytes",2560,"",0,1633598297,"size-in-bytes","","d13ba0e4-f59b-4e5e-9288-d736f62ad75f","pe-section","file"
"99a9cec7-cea7-431c-91b0-f1253eebac46",62936,"Other","float",4.49687,"",0,1633598297,"entropy","","d13ba0e4-f59b-4e5e-9288-d736f62ad75f","pe-section","file"
"c8041493-2f12-4dd5-a758-cd6dd06cb36e",62936,"External analysis","link","https://www.virustotal.com/gui/file/60bdba6fc20036919b398083a3d70f044c68295fac92973b8994eda040493198/detection","",0,1633598297,"permalink","","131eee2f-714d-4b31-901d-2e52fceba268","virustotal-report","misc"
"7f1bd367-26cc-4ba5-8c7c-dc6be8cbe092",62936,"Other","datetime","2021-10-07T07:38:34.000000+0000","",0,1633598297,"last-submission","","131eee2f-714d-4b31-901d-2e52fceba268","virustotal-report","misc"
"8e3b0f2c-8f82-4ff8-b2d2-570a718d61b8",62936,"Other","text","28/66","",0,1633598297,"detection-ratio","","131eee2f-714d-4b31-901d-2e52fceba268","virustotal-report","misc"

